scenario_id,coverage_qualified,p63_combined_fossil_mw,epa_covered_grid_gross_mw,statewide_total_reconciliation_factor,eligible_unmapped_present_gross_mw,excluded_reported_gross_mw,eligible_missing_gross_rows,p63_total_generation_mw,estimated_total_generation_mw,statewide_conservation_error_mw,reconciliation_factor_is_plant_net_conversion,geographic_coverage_complete,internal_interfaces_used_in_prior
S1_2019_SUMMER_PEAK_PUBLIC,True,16683.8275,16210.3,1.0292115198361536,0.0,0.0,143,27170.361666666668,27170.361666666668,0.0,False,False,False
S2_2019_WINTER_PEAK_PUBLIC,True,10689.0,10135.0,1.054662062160829,0.0,,160,22058.0,22058.0,0.0,False,False,False
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,True,2724.1666666666665,2377.0,1.1460524470621232,0.0,,279,10953.75,10953.750000000002,1.8189894035458565e-12,False,False,False
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,True,17167.0,16566.09,1.0362734960391982,0.0,12.0,137,26393.416666666668,26393.416666666664,-3.637978807091713e-12,False,False,False
S5_2019_HIGH_TOTAL_EAST_PUBLIC,True,10267.74888888889,9567.65,1.073173547202175,0.0,12.0,221,19878.985555555555,19878.985555555555,0.0,False,False,False
S6_2019_LOW_TOTAL_EAST_PUBLIC,True,6270.333333333333,5901.95,1.0624172236859568,0.0,12.0,258,14686.666666666666,14686.666666666668,1.8189894035458565e-12,False,False,False
S1_2025_SUMMER_PEAK_PUBLIC,True,20563.083333333332,19999.58,1.0281757583575921,0.0,23.0,55,28899.416666666668,28899.41666666666,-7.275957614183426e-12,False,False,False
S2_2025_WINTER_PEAK_PUBLIC,True,10887.833333333334,10523.6,1.0346110963295196,0.0,,156,19051.75,19051.75,0.0,False,False,False
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,True,2839.1147222222226,2741.0,1.0357952288297054,0.0,,199,10514.269166666667,10514.269166666669,1.8189894035458565e-12,False,False,False
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,True,20469.19138888889,19930.9,1.0270078816756336,0.0,24.0,71,29078.309444444443,29078.309444444447,3.637978807091713e-12,False,False,False
S5_2025_HIGH_TOTAL_EAST_PUBLIC,True,16024.145,15943.99,1.0050272861435563,0.0,0.0,96,25322.23277777778,25322.23277777778,0.0,False,False,False
S6_2025_LOW_TOTAL_EAST_PUBLIC,True,14823.75,14263.16,1.0393033521323465,0.0,24.0,130,22724.416666666668,22724.41666666667,3.637978807091713e-12,False,False,False
V1_2025_JAN15_EVENING,True,10475.833333333332,10062.4,1.041086950760587,0.0,,149,18741.833333333336,18741.833333333332,-3.637978807091713e-12,False,False,False
V2_2025_APR15_MIDDAY,True,6109.6241666666665,6044.4,1.010790842212075,0.0,,182,14681.541666666666,14681.541666666666,0.0,False,False,False
V3_2025_JUL15_EVENING,True,16477.185833333333,15937.2,1.033882101833028,0.0,12.0,101,25027.241111111114,25027.241111111107,-7.275957614183426e-12,False,False,False
V4_2025_JUL25_NIGHT,True,10620.416666666668,10416.0,1.0196252560163852,0.0,25.0,152,16786.666666666668,16786.666666666668,0.0,False,False,False
