scenario_id,timestamp,interface_name,model_flow_benchmark_mw,model_flow_public_scale_mw,electrical_qualified,used_in_optimizer,exact_public_operator
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,Dysinger_East,740.445113918521,2064.46361372696,1,0,0
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,West_Central,408.999235882916,1140.34656269651,1,0,0
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,Moses_South,489.266792153661,1364.14363579323,1,0,0
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,Central_East,1209.3578146217,3371.8572211925,1,0,0
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,Total_East_proxy,1629.65450289565,4543.70264714124,1,0,0
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,UPNY_ConEd,986.203119652137,2749.67099923344,1,0,0
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,Dunwoodie_South,1139.09552622049,3175.95622178709,1,0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,Dysinger_East,559.504497823599,1559.97609513634,1,0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,West_Central,487.790846464752,1360.0284946257,1,0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,Moses_South,322.609024950489,899.478679716843,1,0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,Central_East,899.30566147968,2507.38884063695,1,0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,Total_East_proxy,1121.2024399424,3126.06781700998,1,0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,UPNY_ConEd,709.152931095197,1977.21667047824,1,0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,Dunwoodie_South,1062.33934455965,2961.94934782874,1,0,0
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,Dysinger_East,546.6472937883,1524.12842809635,1,0,0
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,West_Central,125.450969563932,349.774692415631,1,0,0
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,Moses_South,843.369583678751,2351.43130219971,1,0,0
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,Central_East,1050.08731732062,2927.7889975828,1,0,0
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,Total_East_proxy,1354.07233362131,3775.34135963407,1,0,0
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,UPNY_ConEd,1191.79648237166,3322.89379263136,1,0,0
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,Dunwoodie_South,1204.60492644418,3358.60551013631,1,0,0
