ptid,source_label_utc,label_interpretation,integration_method,coverage_seconds,maximum_bracketing_gap_seconds,independently_averaged_P58B_mw,published_P58C_mw,residual_mw
61752,2025-07-01T04:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,1840.3417083333334,1831.225,9.116708333333463
61752,2025-07-01T05:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,1840.3417083333334,1776.8249,63.5168083333333
61752,2025-07-01T05:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,1781.55405,1776.8249,4.7291499999998905
61752,2025-07-01T06:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,1781.55405,1772.4968,9.057250000000067
61752,2025-07-01T06:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,1778.2330416666666,1772.4968,5.736241666666729
61752,2025-07-01T07:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,1778.2330416666666,1756.2429,21.99014166666666
61752,2025-07-01T07:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,1757.0827,1756.2429,0.8397999999999683
61752,2025-07-01T08:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,1757.0827,1768.2839,-11.201199999999972
61752,2025-07-01T08:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,1763.472325,1768.2839,-4.811574999999948
61752,2025-07-01T09:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,1763.472325,1817.3274,-53.85507499999994
61752,2025-07-01T09:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,1813.2960249999999,1817.3274,-4.0313750000000255
61752,2025-07-01T10:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,1813.2960249999999,1899.5538,-86.25777500000004
61752,2025-07-01T10:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,1885.9137601111113,1899.5538,-13.640039888888623
61752,2025-07-01T11:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,1885.9137601111113,1995.4862,-109.57243988888877
61752,2025-07-01T11:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,1981.599475,1995.4862,-13.88672500000007
61752,2025-07-01T12:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,1981.599475,2069.0007,-87.40122500000007
61752,2025-07-01T12:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,2059.5156396666666,2069.0007,-9.485060333333422
61752,2025-07-01T13:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,2059.5156396666666,2094.0637,-34.548060333333524
61752,2025-07-01T13:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,2093.650926166667,2094.0637,-0.4127738333331763
61752,2025-07-01T14:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,2093.650926166667,2138.1745,-44.5235738333331
61752,2025-07-01T14:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,2129.820541666667,2138.1745,-8.35395833333314
61752,2025-07-01T15:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,2129.820541666667,2180.3802,-50.55965833333312
61752,2025-07-01T15:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,2183.72755,2180.3802,3.347350000000006
61752,2025-07-01T16:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,2183.72755,2232.3514,-48.62384999999995
61752,2025-07-01T16:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,2215.002483333333,2232.3514,-17.34891666666681
61752,2025-07-01T17:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,2215.002483333333,2269.2693,-54.26681666666673
61752,2025-07-01T17:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,2271.8412416666665,2269.2693,2.5719416666665893
61752,2025-07-01T18:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,2271.8412416666665,2256.0318,15.809441666666316
61752,2025-07-01T18:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,2257.5564871666666,2256.0318,1.5246871666663537
61752,2025-07-01T19:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,2257.5564871666666,2254.8196,2.7368871666667474
61752,2025-07-01T19:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,2261.196342333333,2254.8196,6.376742333333368
61752,2025-07-01T20:00:00+00:00,hour_ending,forward_sample_hold,3600.0,300.0,2261.196342333333,2111.967,149.22934233333308
61752,2025-07-01T20:00:00+00:00,hour_beginning,forward_sample_hold,3600.0,300.0,2122.4408333333336,2111.967,10.47383333333346
