hour_start_unix_seconds,coverage_seconds,source_span_seconds,rejected_gap_seconds,maximum_bracketing_gap_seconds,complete_coverage,ptid,hour_start_utc
1751342400.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 04:00:00+00:00
1751346000.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 05:00:00+00:00
1751349600.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 06:00:00+00:00
1751353200.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 07:00:00+00:00
1751356800.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 08:00:00+00:00
1751360400.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 09:00:00+00:00
1751364000.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 10:00:00+00:00
1751367600.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 11:00:00+00:00
1751371200.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 12:00:00+00:00
1751374800.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 13:00:00+00:00
1751378400.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 14:00:00+00:00
1751382000.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 15:00:00+00:00
1751385600.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 16:00:00+00:00
1751389200.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 17:00:00+00:00
1751392800.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 18:00:00+00:00
1751396400.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 19:00:00+00:00
1751400000.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 20:00:00+00:00
1751403600.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 21:00:00+00:00
1751407200.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 22:00:00+00:00
1751410800.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-01 23:00:00+00:00
1751414400.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-02 00:00:00+00:00
1751418000.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-02 01:00:00+00:00
1751421600.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-02 02:00:00+00:00
1751425200.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-02 03:00:00+00:00
1751428800.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-02 04:00:00+00:00
1751432400.0,3600.0,3600.0,0.0,300.0,True,61752,2025-07-02 05:00:00+00:00
