branch_key,project_id,from_bus,to_bus,r_pu,x_pu,b_pu,rate_a_mva,tap,status,electrical_role,parent_row,parameter_template_key,length_miles,parameter_policy,nominal_r_pu,nominal_x_pu,nominal_b_pu,nominal_rate_a_mva,model_branch_row,base_mva,shift_degree,rate_b_mva,rate_c_mva,from_base_kv,to_base_kv,sensitivity_required,parameter_ground_truth_verified,thermal_eligible,dlr_eligible,rating_basis
NY2025:CEEC:351,CEEC,43,9101,0.00174808548530721,0.0266568121104185,1.03364652715939,2000,0,1,assumed_345kV_overhead_circuit,36,800_1233_1,67,2019_345kV_template_per_estimated_mile_project_segment_lengths_and_2000MVA_assumed,0.00174808548530721,0.0266568121104185,0.68909768477293,2000,258,100,0,2000,2000,345,345,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:CEEC:352,CEEC,43,9101,0.00174808548530721,0.0266568121104185,1.03364652715939,2000,0,1,assumed_345kV_overhead_circuit,36,800_1233_1,67,2019_345kV_template_per_estimated_mile_project_segment_lengths_and_2000MVA_assumed,0.00174808548530721,0.0266568121104185,0.68909768477293,2000,259,100,0,2000,2000,345,345,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:CEEC:361,CEEC,9101,37,0.000678361531611754,0.0103444345503117,0.401116562778273,2000,0,1,assumed_345kV_overhead_circuit,36,800_1233_1,26,2019_345kV_template_per_estimated_mile_project_segment_lengths_and_2000MVA_assumed,0.000678361531611754,0.0103444345503117,0.267411041852182,2000,260,100,0,2000,2000,345,345,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:CEEC:362,CEEC,9101,37,0.000678361531611754,0.0103444345503117,0.401116562778273,2000,0,1,assumed_345kV_overhead_circuit,36,800_1233_1,26,2019_345kV_template_per_estimated_mile_project_segment_lengths_and_2000MVA_assumed,0.000678361531611754,0.0103444345503117,0.267411041852182,2000,261,100,0,2000,2000,345,345,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:CEEC:14,CEEC,43,9102,0.00187853962600178,0.0286461264470169,1.11078432769368,2000,0,1,assumed_345kV_overhead_circuit,36,800_1233_1,72,2019_345kV_template_per_estimated_mile_project_segment_lengths_and_2000MVA_assumed,0.00187853962600178,0.0286461264470169,0.740522885129119,2000,262,100,0,2000,2000,345,345,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:CEEC:371,CEEC,9101,9102,0.000130454140694568,0.0019893143365984,0.0771378005342832,2000,0,1,assumed_345kV_overhead_circuit,36,800_1233_1,5,2019_345kV_template_per_estimated_mile_project_segment_lengths_and_2000MVA_assumed,0.000130454140694568,0.0019893143365984,0.0514252003561888,2000,263,100,0,2000,2000,345,345,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:CEEC:LEGACY230:1,CEEC,40,9103,0.004,0.0265,0.2,1328.76341358641,0,1,inherited_equivalent_resegmented,40,NPCC_S7:BRANCH_ROW:40,NaN,half_R_X_B_split_of_retired_230kV_equivalent_response_approximate,0.004,0.0265,0.2,1328.76341358641,264,100,0,1328.76341358641,1328.76341358641,230,230,0,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:CEEC:LEGACY230:2,CEEC,9103,44,0.004,0.0265,0.2,1328.76341358641,0,1,inherited_equivalent_resegmented,40,NPCC_S7:BRANCH_ROW:40,NaN,half_R_X_B_split_of_retired_230kV_equivalent_response_approximate,0.004,0.0265,0.2,1328.76341358641,265,100,0,1328.76341358641,1328.76341358641,230,230,0,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:CEEC:GORDON_XFMR,CEEC,9102,9103,0.0006,0.025,0,1200,1,1,assumed_station_transformer,36,assumption,0,Gordon_345_230_connection_proxy_fixed_nominal_tap,0.0006,0.025,0,1200,266,100,0,1200,1200,345,230,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:NYES:1,NYES,9001,9104,0.0005739982190561,0.00875298308103295,0.339406322350846,1800,0,1,assumed_345kV_overhead_circuit,246,800_1233_1,22,historical_345kV_template_54mile_public_corridor_1800MVA_assumed_no_series_compensation_copy,0.0005739982190561,0.00875298308103295,0.226270881567231,1800,267,100,0,1800,1800,345,345,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
