times,status,seconds,balance_residual,errors
02-Apr-2019 06:00:00,1,6.3890567,1.13686837721616e-11,
02-Apr-2019 07:00:00,1,0.8257206,7.04858393874019e-12,
02-Apr-2019 08:00:00,1,0.4907363,8.18545231595635e-12,
02-Apr-2019 09:00:00,1,0.3235308,1.3926637620898e-11,
02-Apr-2019 10:00:00,1,0.6794266,9.9475983006414e-12,
02-Apr-2019 11:00:00,1,0.1749697,8.92441676114686e-12,
02-Apr-2019 12:00:00,1,0.1610367,7.7875483839307e-12,
02-Apr-2019 13:00:00,1,0.1537389,1.30739863379858e-11,
02-Apr-2019 14:00:00,1,0.1690174,8.18545231595635e-12,
02-Apr-2019 15:00:00,1,0.149229,1.2448708730517e-11,
02-Apr-2019 16:00:00,1,0.1618899,1.36992639454547e-11,
02-Apr-2019 17:00:00,1,0.1633546,8.69704308570363e-12,
02-Apr-2019 18:00:00,1,0.1445662,7.7875483839307e-12,
02-Apr-2019 19:00:00,1,0.1612603,6.3664629124105e-12,
02-Apr-2019 20:00:00,1,0.1761898,1.23918653116561e-11,
02-Apr-2019 21:00:00,1,0.1507658,1.2448708730517e-11,
02-Apr-2019 22:00:00,1,0.1232745,1.02318153949454e-11,
02-Apr-2019 23:00:00,1,0.1296794,7.105427357601e-12,
03-Apr-2019 00:00:00,1,0.1386872,5.6843418860808e-12,
03-Apr-2019 01:00:00,1,0.137622,5.6843418860808e-12,
03-Apr-2019 02:00:00,1,0.1198155,5.05906427861191e-12,
03-Apr-2019 03:00:00,1,0.1696596,1.10844666778576e-11,
03-Apr-2019 04:00:00,1,0.1707622,1.14255271910224e-11,
03-Apr-2019 05:00:00,1,0.1701324,8.69704308570363e-12,
03-Apr-2019 06:00:00,1,0.1635395,1.11413100967184e-11,
03-Apr-2019 07:00:00,1,0.169118,9.32232069317251e-12,
03-Apr-2019 08:00:00,1,0.1541761,1.20508047984913e-11,
03-Apr-2019 09:00:00,1,0.1695082,1.88151716429275e-11,
03-Apr-2019 10:00:00,1,0.1637922,8.5265128291212e-12,
03-Apr-2019 11:00:00,1,0.1710003,1.2732925824821e-11,
03-Apr-2019 12:00:00,1,0.1557465,1.06865627458319e-11,
03-Apr-2019 13:00:00,1,0.1665214,7.7875483839307e-12,
03-Apr-2019 14:00:00,1,0.1532982,7.84439180279151e-12,
03-Apr-2019 15:00:00,1,0.159824,9.66338120633736e-12,
03-Apr-2019 16:00:00,1,0.1526753,6.76436684443615e-12,
03-Apr-2019 17:00:00,1,0.1455892,1.50066625792533e-11,
03-Apr-2019 18:00:00,1,0.1626509,8.12860889709555e-12,
03-Apr-2019 19:00:00,1,0.1700253,1.11413100967184e-11,
03-Apr-2019 20:00:00,1,0.1649329,8.92441676114686e-12,
03-Apr-2019 21:00:00,1,0.1624739,7.7875483839307e-12,
03-Apr-2019 22:00:00,1,0.1608798,1.63709046319127e-11,
03-Apr-2019 23:00:00,1,0.1540473,7.87281351222191e-12,
04-Apr-2019 00:00:00,1,0.1561466,6.82121026329696e-12,
04-Apr-2019 01:00:00,1,0.1681015,5.6843418860808e-12,
04-Apr-2019 02:00:00,1,0.1666106,8.5265128291212e-12,
04-Apr-2019 03:00:00,1,0.1571801,9.63495949690696e-12,
04-Apr-2019 04:00:00,1,0.1442152,7.84439180279151e-12,
04-Apr-2019 05:00:00,1,0.1708752,1.49498191603925e-11,
04-Apr-2019 06:00:00,1,0.1642117,1.02886588138063e-11,
04-Apr-2019 07:00:00,1,0.1654873,1.67119651450776e-11,
04-Apr-2019 08:00:00,1,0.1661215,1.23918653116561e-11,
04-Apr-2019 09:00:00,1,0.1654115,5.00222085975111e-12,
04-Apr-2019 10:00:00,1,0.1660338,1.01749719760846e-11,
04-Apr-2019 11:00:00,1,0.1655077,1.00044417195022e-11,
04-Apr-2019 12:00:00,1,0.1662208,1.09707798401359e-11,
04-Apr-2019 13:00:00,1,0.1708524,1.34718902700115e-11,
04-Apr-2019 14:00:00,1,0.1340568,7.44648787076585e-12,
04-Apr-2019 15:00:00,1,0.1586973,1.33582034322899e-11,
04-Apr-2019 16:00:00,1,0.1718828,8.01492205937393e-12,
04-Apr-2019 17:00:00,1,0.1527545,9.26547727431171e-12,
04-Apr-2019 18:00:00,1,0.1660949,8.12860889709555e-12,
04-Apr-2019 19:00:00,1,0.1631228,8.86757334228605e-12,
04-Apr-2019 20:00:00,1,0.1694157,7.75912667450029e-12,
04-Apr-2019 21:00:00,1,0.1683088,5.62749846721999e-12,
04-Apr-2019 22:00:00,1,0.1660338,5.6843418860808e-12,
04-Apr-2019 23:00:00,1,0.1637165,7.105427357601e-12,
05-Apr-2019 00:00:00,1,0.1649419,5.91171556152403e-12,
05-Apr-2019 01:00:00,1,0.1593607,6.02540239924565e-12,
05-Apr-2019 02:00:00,1,0.161887,5.59907675778959e-12,
05-Apr-2019 03:00:00,1,0.1249854,7.105427357601e-12,
05-Apr-2019 04:00:00,1,0.1692712,6.62225829728413e-12,
05-Apr-2019 05:00:00,1,0.1691535,1.31308297568467e-11,
05-Apr-2019 06:00:00,1,0.1684057,9.54969436861575e-12,
05-Apr-2019 07:00:00,1,0.1683675,5.6559201766504e-12,
05-Apr-2019 08:00:00,1,0.1744775,1.13686837721616e-11,
05-Apr-2019 09:00:00,1,0.1697621,3.92219590139575e-12,
05-Apr-2019 10:00:00,1,0.1657444,1.09707798401359e-11,
05-Apr-2019 11:00:00,1,0.1612101,8.18545231595635e-12,
05-Apr-2019 12:00:00,1,0.1696813,8.01492205937393e-12,
05-Apr-2019 13:00:00,1,0.1278725,7.84439180279151e-12,
05-Apr-2019 14:00:00,1,0.1692548,7.84439180279151e-12,
05-Apr-2019 15:00:00,1,0.1619499,1.13118403533008e-11,
05-Apr-2019 16:00:00,1,0.1640657,1.06297193269711e-11,
05-Apr-2019 17:00:00,1,0.174034,1.30739863379858e-11,
05-Apr-2019 18:00:00,1,0.1559624,1.06865627458319e-11,
05-Apr-2019 19:00:00,1,0.171358,7.16227077646181e-12,
05-Apr-2019 20:00:00,1,0.1662257,8.58335624798201e-12,
05-Apr-2019 21:00:00,1,0.1622557,9.2086338554509e-12,
05-Apr-2019 22:00:00,1,0.1649395,9.69180291576777e-12,
05-Apr-2019 23:00:00,1,0.1707406,5.6843418860808e-12,
06-Apr-2019 00:00:00,1,0.1672693,9.46442924032453e-12,
06-Apr-2019 01:00:00,1,0.1299706,7.50333128962666e-12,
06-Apr-2019 02:00:00,1,0.1482359,7.105427357601e-12,
06-Apr-2019 03:00:00,1,0.160576,7.105427357601e-12,
06-Apr-2019 04:00:00,1,0.1679417,8.10018718766514e-12,
06-Apr-2019 05:00:00,1,0.1561395,8.24229573481716e-12,
06-Apr-2019 06:00:00,1,0.1660244,8.27071744424757e-12,
06-Apr-2019 07:00:00,1,0.1662718,6.33804120298009e-12,
06-Apr-2019 08:00:00,1,0.1654007,6.3948846218409e-12,
06-Apr-2019 09:00:00,1,0.1682192,7.105427357601e-12,
06-Apr-2019 10:00:00,1,0.1718167,5.59907675778959e-12,
06-Apr-2019 11:00:00,1,0.173574,7.73070496506989e-12,
06-Apr-2019 12:00:00,1,0.1758213,9.9475983006414e-12,
06-Apr-2019 13:00:00,1,0.1591852,9.15179043659009e-12,
06-Apr-2019 14:00:00,1,0.145216,6.82121026329696e-12,
06-Apr-2019 15:00:00,1,0.1602657,9.03810359886847e-12,
06-Apr-2019 16:00:00,1,0.1666094,8.81072992342524e-12,
06-Apr-2019 17:00:00,1,0.1634208,9.9475983006414e-12,
06-Apr-2019 18:00:00,1,0.1519911,8.89599505171645e-12,
06-Apr-2019 19:00:00,1,0.1545627,6.45172804070171e-12,
06-Apr-2019 20:00:00,1,0.1642596,5.96855898038484e-12,
06-Apr-2019 21:00:00,1,0.1585828,1.02602371043758e-11,
06-Apr-2019 22:00:00,1,0.1485213,9.18021214602049e-12,
06-Apr-2019 23:00:00,1,0.1145965,7.7875483839307e-12,
07-Apr-2019 00:00:00,1,0.165434,5.6843418860808e-12,
07-Apr-2019 01:00:00,1,0.1790475,8.55493453855161e-12,
07-Apr-2019 02:00:00,1,0.1371331,9.46442924032453e-12,
07-Apr-2019 03:00:00,1,0.1367248,9.43600753089413e-12,
07-Apr-2019 04:00:00,1,0.1693303,5.08748598804232e-12,
07-Apr-2019 05:00:00,1,0.1639076,8.01492205937393e-12,
07-Apr-2019 06:00:00,1,0.1623642,6.45172804070171e-12,
07-Apr-2019 07:00:00,1,0.1636366,5.05906427861191e-12,
07-Apr-2019 08:00:00,1,0.1649915,1.00044417195022e-11,
07-Apr-2019 09:00:00,1,0.1648728,8.72546479513403e-12,
07-Apr-2019 10:00:00,1,0.1690185,5.6843418860808e-12,
07-Apr-2019 11:00:00,1,0.1662008,1.06865627458319e-11,
07-Apr-2019 12:00:00,1,0.1479957,6.33804120298009e-12,
07-Apr-2019 13:00:00,1,0.1458156,9.69180291576777e-12,
07-Apr-2019 14:00:00,1,0.1720354,7.87281351222191e-12,
07-Apr-2019 15:00:00,1,0.1665957,7.33280103304423e-12,
07-Apr-2019 16:00:00,1,0.1248976,1.13686837721616e-11,
07-Apr-2019 17:00:00,1,0.120014,1.41540112963412e-11,
07-Apr-2019 18:00:00,1,0.143854,1.04591890703887e-11,
07-Apr-2019 19:00:00,1,0.1051119,7.105427357601e-12,
07-Apr-2019 20:00:00,1,0.1467865,8.12860889709555e-12,
07-Apr-2019 21:00:00,1,0.1648634,7.33280103304423e-12,
07-Apr-2019 22:00:00,1,0.163964,1.31308297568467e-11,
07-Apr-2019 23:00:00,1,0.1646391,8.5265128291212e-12,
08-Apr-2019 00:00:00,1,0.1676331,4.32009983342141e-12,
08-Apr-2019 01:00:00,1,0.1665468,7.47490958019625e-12,
08-Apr-2019 02:00:00,1,0.1537285,7.47490958019625e-12,
08-Apr-2019 03:00:00,1,0.1527178,7.7875483839307e-12,
08-Apr-2019 04:00:00,1,0.1415549,6.3664629124105e-12,
08-Apr-2019 05:00:00,1,0.1596087,1.49498191603925e-11,
08-Apr-2019 06:00:00,1,0.1614901,1.31308297568467e-11,
08-Apr-2019 07:00:00,1,0.1472759,5.85487214266323e-12,
08-Apr-2019 08:00:00,1,0.1372042,8.86757334228605e-12,
08-Apr-2019 09:00:00,1,0.1704526,9.26547727431171e-12,
08-Apr-2019 10:00:00,1,0.1722,7.56017470848747e-12,
08-Apr-2019 11:00:00,1,0.1375597,8.92441676114686e-12,
08-Apr-2019 12:00:00,1,0.1048839,5.00222085975111e-12,
08-Apr-2019 13:00:00,1,0.1153566,6.3664629124105e-12,
08-Apr-2019 14:00:00,1,0.1156025,7.105427357601e-12,
08-Apr-2019 15:00:00,1,0.1326373,7.21911419532262e-12,
08-Apr-2019 16:00:00,1,0.1106508,1.18234311230481e-11,
