scope,operator_variant,interface,observations,sum_absolute_error_mw,sum_absolute_observed_mw,actual_flow_wape_pct,mae_mw,rmse_mw,bias_sim_minus_observed_mw,mape_nonzero_actual_pct,max_nonzero_actual_error_pct,mape_defined_observations,zero_actual_flow_count,min_absolute_observed_mw,min_nonzero_absolute_observed_mw,opposite_direction_count,opposite_direction_fraction,zero_prediction_nonzero_actual_count,positive_limit_9999_count,paper_error_q025_pct,paper_error_q25_pct,paper_error_median_pct,paper_error_q75_pct,paper_error_q975_pct,fraction_absolute_paper_error_le_10pct,fraction_absolute_paper_error_le_15pct
primary_all_naive_hours,literal_released_plot,Dysinger East,8760,4704111.42076,8174876.17039,57.5435189807,536.999020635,709.429930139,-502.742034763,79.6281306337,101651.949182,8760,0,0.4175,0.4175,491,0.0560502283105,0,0,-7.49503990915,5.26560502281,13.8998867944,23.3605290077,60.117328725,0.367579908676,0.529223744292
primary_all_naive_hours,literal_released_plot,West Central,8760,16757508.3076,4088681.01028,409.851203003,1912.95756936,1942.77667325,-1912.95756936,2272.58078965,1398483.6641,8760,0,0.135,0.135,7560,0.86301369863,0,8760,12.7394891147,16.8737511898,19.0546806509,21.2734049137,26.0822773449,0.00445205479452,0.105936073059
primary_all_naive_hours,literal_released_plot,Total East,8760,2509976.53021,34690822.0404,7.23527544919,286.527001166,346.235478773,200.395794478,7.91706214584,118.256342235,8760,0,1395.15416667,1395.15416667,0,0,0,0,-10.3042065337,-5.63578144027,-3.28710828336,-0.499514781477,5.97504490058,0.967123287671,0.996118721461
primary_all_naive_hours,literal_released_plot,Moses South,8760,12855797.3028,14874640.7732,86.4276152871,1467.55676973,1522.22333949,-1467.01967705,86.6414098773,1436.36714462,8760,0,11.9283333333,11.9283333333,113,0.012899543379,0,0,22.2476618941,43.4584565557,52.0317420358,57.695376621,65.6651028922,0.00159817351598,0.00627853881279
primary_all_naive_hours,literal_released_plot,Central East,8760,1855363.84446,19266641.3081,9.62992882252,211.799525623,260.567362838,-32.3615392847,10.0245769846,63.5586807255,8760,0,1107.80909091,1107.80909091,0,0,0,0,-21.916693835,-6.05692297389,1.30828345877,8.74409342828,19.9002383425,0.642694063927,0.845547945205
primary_all_naive_hours,literal_released_plot,UpNY-Coned,8760,33468417.8656,21309955.9547,157.055312253,3820.59564676,3970.73946185,-3820.59564676,159.195185886,355.229603137,8760,0,246.2,246.2,8760,1,0,0,31.9077511844,54.3833130859,67.050313574,80.0600462079,116.74489771,0,0.00114155251142
primary_all_naive_hours,literal_released_plot,Dun/SPR-South,8760,4595435.68284,24105597.292,19.0637702405,524.59311448,670.853970807,427.14751597,20.8504632632,227.678115775,8760,0,721.135833333,721.135833333,0,0,0,0,-35.7404269565,-15.7910327937,-8.68607581363,-2.14479392053,11.6266859254,0.51095890411,0.718493150685
primary_all_naive_hours,corrected_released_if_map,Dysinger East,8760,1838883.01304,8174876.17039,22.4943225404,209.918152174,261.146480675,51.9252473255,57.4542016232,116113.79992,8760,0,0.4175,0.4175,77,0.0087899543379,0,0,-16.825396831,-7.37724043444,-2.27368924556,3.54230768541,16.1449748628,0.762899543379,0.926826484018
primary_all_naive_hours,corrected_released_if_map,West Central,8760,1913740.03282,4088681.01028,46.805804317,218.463474066,270.234130791,84.6319648019,260.977841262,152463.109117,8760,0,0.135,0.135,1006,0.114840182648,0,8760,-5.53387310709,-2.57699115145,-1.04464087901,0.759544121071,4.69821585762,0.999543378995,1
primary_all_naive_hours,corrected_released_if_map,Total East,8760,2509976.53021,34690822.0404,7.23527544919,286.527001166,346.235478773,200.395794478,7.91706214584,118.256342235,8760,0,1395.15416667,1395.15416667,0,0,0,0,-10.3042065337,-5.63578144027,-3.28710828336,-0.499514781477,5.97504490058,0.967123287671,0.996118721461
