times,status,seconds,balance_residual,errors
01-Jan-2019 00:00:00,1,6.1825696,4.66116034658626e-12,
01-Jan-2019 01:00:00,1,0.8437463,7.73070496506989e-12,
01-Jan-2019 02:00:00,1,0.4728474,1.00044417195022e-11,
01-Jan-2019 03:00:00,1,0.3030882,5.17275111633353e-12,
01-Jan-2019 04:00:00,1,0.7435184,8.95283847057726e-12,
01-Jan-2019 05:00:00,1,0.187975,1.27897692436818e-11,
01-Jan-2019 06:00:00,1,0.1455472,6.76436684443615e-12,
01-Jan-2019 07:00:00,1,0.1555897,7.90123522165231e-12,
01-Jan-2019 08:00:00,1,0.1681739,5.00222085975111e-12,
01-Jan-2019 09:00:00,1,0.1510754,8.18545231595635e-12,
01-Jan-2019 10:00:00,1,0.1473058,1.07434061646927e-11,
01-Jan-2019 11:00:00,1,0.1516053,1.10844666778576e-11,
01-Jan-2019 12:00:00,1,0.1479491,7.105427357601e-12,
01-Jan-2019 13:00:00,1,0.1485928,7.27595761418343e-12,
01-Jan-2019 14:00:00,1,0.1523367,6.19593265582807e-12,
01-Jan-2019 15:00:00,1,0.1525163,6.05382410867605e-12,
01-Jan-2019 16:00:00,1,0.1522087,7.7875483839307e-12,
01-Jan-2019 17:00:00,1,0.1559477,8.86757334228605e-12,
01-Jan-2019 18:00:00,1,0.1534693,9.9475983006414e-12,
01-Jan-2019 19:00:00,1,0.1501978,1.28466126625426e-11,
01-Jan-2019 20:00:00,1,0.1503709,6.11066752753686e-12,
01-Jan-2019 21:00:00,1,0.1479197,8.64019966684282e-12,
01-Jan-2019 22:00:00,1,0.1449869,7.61701812734827e-12,
01-Jan-2019 23:00:00,1,0.1460427,8.12860889709555e-12,
