archive,member,member_sha256,bytes,rows,header,first_timestamp,last_timestamp,interface_count,rows_outside_filename_date,null_numeric_cells
tmp/nygrid_2019_reproduction/nyiso_raw/20190101ExternalLimitsFlows_csv.zip,20190101ExternalLimitsFlows.csv,a7ff2cb1fef02593d95898014b808ea14fa0e21dc5fbf57d5433f71cb4324782,287028,5202,Timestamp | Interface Name | Point ID | Flow (MWH) | Positive Limit (MWH) | Negative Limit (MWH),2019-01-01 00:00:00,2019-01-01 23:55:00,18,0,0
tmp/nygrid_2019_reproduction/nyiso_raw/20190101ExternalLimitsFlows_csv.zip,20190102ExternalLimitsFlows.csv,c08084fbc3f45c2217676f77c795ff418c253c1acc811750a12aa677900b6b2a,286616,5184,Timestamp | Interface Name | Point ID | Flow (MWH) | Positive Limit (MWH) | Negative Limit (MWH),2019-01-02 00:00:00,2019-01-02 23:55:00,18,0,0
tmp/nygrid_2019_reproduction/nyiso_raw/20190101ExternalLimitsFlows_csv.zip,20190103ExternalLimitsFlows.csv,d819379b0d54f636ae3d5ddcb454e8682407296956e7f75b78208a1432941ec4,286928,5184,Timestamp | Interface Name | Point ID | Flow (MWH) | Positive Limit (MWH) | Negative Limit (MWH),2019-01-03 00:00:00,2019-01-03 23:55:00,18,0,0
tmp/nygrid_2019_reproduction/nyiso_raw/20190101ExternalLimitsFlows_csv.zip,20190104ExternalLimitsFlows.csv,c1fb4edf4742e04bab9c050afc888db8f58ba6c0150d442aee00446ac0c57ff1,287569,5202,Timestamp | Interface Name | Point ID | Flow (MWH) | Positive Limit (MWH) | Negative Limit (MWH),2019-01-04 00:00:00,2019-01-04 23:55:00,18,0,0
tmp/nygrid_2019_reproduction/nyiso_raw/20190101ExternalLimitsFlows_csv.zip,20190105ExternalLimitsFlows.csv,0975e039f859f92ef9a86a66f1e4d502dc6e4fef76f5ffa6612a3a41ab7d7f3b,287143,5184,Timestamp | Interface Name | Point ID | Flow (MWH) | Positive Limit (MWH) | Negative Limit (MWH),2019-01-05 00:00:00,2019-01-05 23:55:00,18,0,0
tmp/nygrid_2019_reproduction/nyiso_raw/20190101ExternalLimitsFlows_csv.zip,20190106ExternalLimitsFlows.csv,7aa8b914f1b3318c5abaf02feaa1b15c39bff7d4063ab8036118a529cad6f9f9,285870,5184,Timestamp | Interface Name | Point ID | Flow (MWH) | Positive Limit (MWH) | Negative Limit (MWH),2019-01-06 00:00:00,2019-01-06 23:55:00,18,0,0
tmp/nygrid_2019_reproduction/nyiso_raw/20190101ExternalLimitsFlows_csv.zip,20190107ExternalLimitsFlows.csv,6ea47698c15558ba1e6e823ae7b9ec7ecc78e62772e40c0fb81069bcf7a8e60b,286663,5184,Timestamp | Interface Name | Point ID | Flow (MWH) | Positive Limit (MWH) | Negative Limit (MWH),2019-01-07 00:00:00,2019-01-07 23:55:00,18,0,0
tmp/nygrid_2019_reproduction/nyiso_raw/20190101ExternalLimitsFlows_csv.zip,20190108ExternalLimitsFlows.csv,cd09b10a92165792ad411dc2ebed2dc43b09b4120f6d4922843868cedef56a7a,287756,5202,Timestamp | Interface Name | Point ID | Flow (MWH) | Positive Limit (MWH) | Negative Limit (MWH),2019-01-08 00:00:00,2019-01-08 23:55:00,18,0,0
tmp/nygrid_2019_reproduction/nyiso_raw/20190101ExternalLimitsFlows_csv.zip,20190109ExternalLimitsFlows.csv,cedb2505365d9028385d4b4a8ac1202489bc1e83dc7a3a3cf13f36560464c9c3,286641,5184,Timestamp | Interface Name | Point ID | Flow (MWH) | Positive Limit (MWH) | Negative Limit (MWH),2019-01-09 00:00:00,2019-01-09 23:55:00,18,0,0
tmp/nygrid_2019_reproduction/nyiso_raw/20190101ExternalLimitsFlows_csv.zip,20190110ExternalLimitsFlows.csv,a57525f33ec00900ac60c36f92365211569d7831ac0673aae80039e587ef7386,286549,5184,Timestamp | Interface Name | Point ID | Flow (MWH) | Positive Limit (MWH) | Negative Limit (MWH),2019-01-10 00:00:00,2019-01-10 23:55:00,18,0,0
tmp/nygrid_2019_reproduction/nyiso_raw/20190101ExternalLimitsFlows_csv.zip,20190111ExternalLimitsFlows.csv,50b0823d6639292b3b95925de3f7ff90c720b9d9c2838da5fbea8dfef6e0f0ac,287155,5184,Timestamp | Interface Name | Point ID | Flow (MWH) | Positive Limit (MWH) | Negative Limit (MWH),2019-01-11 00:00:00,2019-01-11 23:55:00,18,0,0
tmp/nygrid_2019_reproduction/nyiso_raw/20190101ExternalLimitsFlows_csv.zip,20190112ExternalLimitsFlows.csv,52a6dc11ae629d26a8b95fc2706b71a3b6dee252523c7bdd08a1935d2adf1f04,291421,5256,Timestamp | Interface Name | Point ID | Flow (MWH) | Positive Limit (MWH) | Negative Limit (MWH),2019-01-12 00:00:00,2019-01-12 23:55:00,18,0,0
