smoke_case,interface,operator_variant,branch_row,PF_coefficient,from_bus,to_bus,from_name,to_name,from_zone,to_zone,status,semantic_PF_coefficient,coefficient_matches_semantic_cut,observations_used_for_construction
2,Moses South,semantic_zone_crossing,25,-1,47,48,MOSES W,MOSES E,E,D,1,-1,1,0
2,Central East,literal_plot,14,-1,41,45,ROTTERDAM,PORTER,F,E,1,-1,1,0
2,Central East,literal_plot,12,-1,40,44,NEW SEATHED,PORTER,F,E,1,-1,1,0
2,Central East,literal_plot,3,-1,37,38,NEW SEATHED,GILBOA,F,E,1,-1,1,0
2,Central East,literal_plot,6,-1,37,43,NEW SEATHED,EDIC,F,E,1,-1,1,0
2,Central East,released_if_map,14,-1,41,45,ROTTERDAM,PORTER,F,E,1,-1,1,0
2,Central East,released_if_map,12,-1,40,44,NEW SEATHED,PORTER,F,E,1,-1,1,0
2,Central East,released_if_map,3,-1,37,38,NEW SEATHED,GILBOA,F,E,1,-1,1,0
2,Central East,released_if_map,6,-1,37,43,NEW SEATHED,EDIC,F,E,1,-1,1,0
2,Central East,semantic_zone_crossing,3,-1,37,38,NEW SEATHED,GILBOA,F,E,1,-1,1,0
2,Central East,semantic_zone_crossing,6,-1,37,43,NEW SEATHED,EDIC,F,E,1,-1,1,0
2,Central East,semantic_zone_crossing,12,-1,40,44,NEW SEATHED,PORTER,F,E,1,-1,1,0
2,Central East,semantic_zone_crossing,14,-1,41,45,ROTTERDAM,PORTER,F,E,1,-1,1,0
2,UpNY-Coned,literal_plot,65,1,71,72,BINGHAMTON,LAPEER,C,C,1,0,0,0
2,UpNY-Coned,literal_plot,66,-1,73,74,PLEASANT VLY,MILLWOOD,G,H,1,1,0,0
2,UpNY-Coned,released_if_map,66,1,73,74,PLEASANT VLY,MILLWOOD,G,H,1,1,1,0
2,UpNY-Coned,released_if_map,67,-1,74,77,MILLWOOD,BUCHANAN,H,G,1,-1,1,0
2,UpNY-Coned,semantic_zone_crossing,66,1,73,74,PLEASANT VLY,MILLWOOD,G,H,1,1,1,0
2,UpNY-Coned,semantic_zone_crossing,67,-1,74,77,MILLWOOD,BUCHANAN,H,G,1,-1,1,0
2,Dun/SPR-South,literal_plot,73,1,78,80,CE UG,NORTHPORT,I,K,1,0,0,0
2,Dun/SPR-South,literal_plot,74,1,78,81,CE UG,GOETHALS,I,J,1,1,1,0
2,Dun/SPR-South,released_if_map,74,1,78,81,CE UG,GOETHALS,I,J,1,1,1,0
2,Dun/SPR-South,released_if_map,75,1,78,82,CE UG,AK-3,I,J,1,1,1,0
2,Dun/SPR-South,semantic_zone_crossing,74,1,78,81,CE UG,GOETHALS,I,J,1,1,1,0
2,Dun/SPR-South,semantic_zone_crossing,75,1,78,82,CE UG,AK-3,I,J,1,1,1,0
