InterfaceName,channel_kind,point_ids,raw_rows,first_timestamp,last_timestamp,unique_timestamps,duplicate_timestamp_excess_rows,exact_duplicate_excess_rows,raw_order_backward_jumps,gaps_over_10_naive_local_minutes,max_naive_local_gap_seconds,hourly_rows,empty_hour_bins,nonempty_hours_below_12_samples,hours_above_12_samples,flow_imputed_hours,hourly_positive_limit_9999,hourly_negative_limit_minus9999
CENTRAL EAST - VC,internal,23330,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,11,1,292,6000,8760,2,181,444,2,0,8760
DYSINGER EAST,internal,23326,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,11,1,292,6000,8760,2,181,444,2,0,8760
MOSES SOUTH,internal,23319,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,11,1,292,6000,8760,2,181,444,2,0,0
SCH - HQ - NY,scheduled_external,23324,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,271,1,292,6000,8760,2,181,444,2,0,0
SCH - HQ_CEDARS,scheduled_external,325274,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,282,1,292,6000,8760,2,181,444,2,0,0
SCH - HQ_IMPORT_EXPORT,scheduled_external,325376,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,271,1,292,6000,8760,2,181,444,2,0,8407
SCH - NE - NY,scheduled_external,23318,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,48,1,292,6000,8760,2,181,444,2,0,0
SCH - NPX_1385,scheduled_external,325277,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,271,1,292,6000,8760,2,181,444,2,0,0
SCH - NPX_CSC,scheduled_external,325154,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,283,1,292,6000,8760,2,181,444,2,0,0
SCH - OH - NY,scheduled_external,23317,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,34,1,292,6000,8760,2,181,444,2,0,0
SCH - PJ - NY,scheduled_external,23316,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,11,1,292,6000,8760,2,181,444,2,0,0
SCH - PJM_HTP,scheduled_external,325905,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,271,1,292,6000,8760,2,181,444,2,0,0
SCH - PJM_NEPTUNE,scheduled_external,325305,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,271,1,292,6000,8760,2,181,444,2,0,0
SCH - PJM_VFT,scheduled_external,325658,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,272,1,292,6000,8760,2,181,444,2,0,0
SPR/DUN-SOUTH,internal,23320,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,11,1,292,6000,8760,2,181,444,2,0,8760
TOTAL EAST,internal,23314,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,11,1,292,6000,8760,2,181,444,2,0,8760
UPNY CONED,internal,23315,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,11,1,292,6000,8760,2,181,444,2,0,8760
WEST CENTRAL,internal,23312,105402,2019-01-01 00:00:00,2019-12-31 23:55:00,105119,283,11,1,292,6000,8760,2,181,444,2,8760,8760
