timestamp,interface,simulated_mw,observed_mw,paper_error_pct,pf_success
01-Jan-2019 00:00:00,Dysinger East,550.94531702978,972.475384615385,13.3819069074795,1
01-Jan-2019 00:00:00,West Central,-923.456470975311,677.99,16.0160663163847,1
01-Jan-2019 00:00:00,Total East,4014.70600182809,3760.77846153846,-3.734228533671,1
01-Jan-2019 00:00:00,Moses South,173.662113700251,1181.67384615385,32.0003724588443,1
01-Jan-2019 00:00:00,Central East,2489.23028547713,2230.71153846154,-10.9738570161721,1
01-Jan-2019 00:00:00,UpNY-Coned,-1008.20842627207,1593.25692307692,45.639742971035,1
01-Jan-2019 00:00:00,Dun/SPR-South,2142.56555063726,2389.27846153846,5.36332415002609,1
20-Jul-2019 17:00:00,Dysinger East,-362.093150314837,1404.9975,56.0981158830107,1
20-Jul-2019 17:00:00,West Central,-1825.71965746229,246.541666666667,20.7246857098606,1
20-Jul-2019 17:00:00,Total East,5107.31346420719,4167.405,-13.8221832971646,1
20-Jul-2019 17:00:00,Moses South,311.274567680576,2177.6425,59.2497756291881,1
20-Jul-2019 17:00:00,Central East,2587.36844417299,2377.08083333333,-7.35271366572218,1
20-Jul-2019 17:00:00,UpNY-Coned,-1434.46464877811,3281.675,82.7392920838265,1
20-Jul-2019 17:00:00,Dun/SPR-South,5348.70708999289,2960.43666666667,-54.902768352327,1
