timestamp,unmodified_seconds,cached_seconds,bus_max_diff,gen_max_diff,branch_max_diff,dcline_max_diff,cost_max_diff,flow_max_diff,passed
15-Jan-2019 00:00:00,4.2298112,2.8925081,0,0,0,0,0,0,1
15-Feb-2019 07:00:00,0.9845868,0.2602253,0,0,0,0,0,0,1
15-Mar-2019 14:00:00,0.6114472,0.1895888,0,0,0,0,0,0,1
15-Apr-2019 21:00:00,0.4365196,0.1611498,0,0,0,0,0,0,1
15-May-2019 04:00:00,0.860027,0.2515675,0,0,0,0,0,0,1
15-Jun-2019 11:00:00,0.2933965,0.1379073,0,0,0,0,0,0,1
15-Jul-2019 18:00:00,0.2742203,0.139971,0,0,0,0,0,0,1
15-Aug-2019 01:00:00,0.2753417,0.1159887,0,0,0,0,0,0,1
15-Sep-2019 08:00:00,0.2798077,0.1263309,0,0,0,0,0,0,1
15-Oct-2019 15:00:00,0.3115299,0.122352,0,0,0,0,0,0,1
15-Nov-2019 22:00:00,0.3237011,0.1194963,0,0,0,0,0,0,1
15-Dec-2019 05:00:00,0.3063125,0.121064,0,0,0,0,0,0,1
