Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
07/01/2019 00:00,CENTRAL EAST - VC,23330,2022.56,2455,-9999
07/01/2019 00:00,DYSINGER EAST,23326,693.13,3150,-9999
07/01/2019 00:00,MOSES SOUTH,23319,1930.71,3150,-1600
07/01/2019 00:00,SCH - HQ - NY,23324,1500,1500,-800
07/01/2019 00:00,SCH - HQ_CEDARS,325274,139,190,-40
07/01/2019 00:00,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
07/01/2019 00:00,SCH - NE - NY,23318,-1110.02,1400,-1600
07/01/2019 00:00,SCH - NPX_1385,325277,57,200,-200
07/01/2019 00:00,SCH - NPX_CSC,325154,117,330,-330
07/01/2019 00:00,SCH - OH - NY,23317,813.68,1300,-1400
07/01/2019 00:00,SCH - PJ - NY,23316,338.7,2050,-1150
07/01/2019 00:00,SCH - PJM_HTP,325905,214,660,-660
07/01/2019 00:00,SCH - PJM_NEPTUNE,325305,242,660,-660
07/01/2019 00:00,SCH - PJM_VFT,325658,315,315,-315
07/01/2019 00:00,SPR/DUN-SOUTH,23320,3189.09,4350,-9999
07/01/2019 00:00,TOTAL EAST,23314,4044.25,6800,-9999
07/01/2019 00:00,UPNY CONED,23315,2942.26,5700,-9999
07/01/2019 00:00,WEST CENTRAL,23312,351.98,9999,-9999
07/01/2019 00:05,CENTRAL EAST - VC,23330,1845.64,2455,-9999
07/01/2019 00:05,DYSINGER EAST,23326,469.02,3150,-9999
07/01/2019 00:05,MOSES SOUTH,23319,1946.91,3150,-1600
07/01/2019 00:05,SCH - HQ - NY,23324,1500,1500,-800
07/01/2019 00:05,SCH - HQ_CEDARS,325274,144,190,-40
07/01/2019 00:05,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
07/01/2019 00:05,SCH - NE - NY,23318,-960.94,1400,-1600
07/01/2019 00:05,SCH - NPX_1385,325277,65,200,-200
07/01/2019 00:05,SCH - NPX_CSC,325154,71,330,-330
07/01/2019 00:05,SCH - OH - NY,23317,754.89,1300,-1400
07/01/2019 00:05,SCH - PJ - NY,23316,103.11,2050,-1150
07/01/2019 00:05,SCH - PJM_HTP,325905,99,660,-660
07/01/2019 00:05,SCH - PJM_NEPTUNE,325305,265,660,-660
07/01/2019 00:05,SCH - PJM_VFT,325658,315,315,-315
07/01/2019 00:05,SPR/DUN-SOUTH,23320,3026.4,4350,-9999
07/01/2019 00:05,TOTAL EAST,23314,3614.36,6800,-9999
07/01/2019 00:05,UPNY CONED,23315,2773.27,5700,-9999
07/01/2019 00:05,WEST CENTRAL,23312,130.8,9999,-9999
07/01/2019 00:13,CENTRAL EAST - VC,23330,1793.11,2455,-9999
07/01/2019 00:13,DYSINGER EAST,23326,340.75,3150,-9999
07/01/2019 00:13,MOSES SOUTH,23319,1927.19,3150,-1600
07/01/2019 00:13,SCH - HQ - NY,23324,1500,1500,-800
07/01/2019 00:13,SCH - HQ_CEDARS,325274,144,190,-40
07/01/2019 00:13,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
07/01/2019 00:13,SCH - NE - NY,23318,-900.96,1400,-1600
07/01/2019 00:13,SCH - NPX_1385,325277,65,200,-200
07/01/2019 00:13,SCH - NPX_CSC,325154,71,330,-330
07/01/2019 00:13,SCH - OH - NY,23317,754.81,1300,-1400
07/01/2019 00:13,SCH - PJ - NY,23316,92.35,2050,-1150
07/01/2019 00:13,SCH - PJM_HTP,325905,100,660,-660
07/01/2019 00:13,SCH - PJM_NEPTUNE,325305,265,660,-660
07/01/2019 00:13,SCH - PJM_VFT,325658,315,315,-315
07/01/2019 00:13,SPR/DUN-SOUTH,23320,2831.8,4350,-9999
07/01/2019 00:13,TOTAL EAST,23314,3628.14,6800,-9999
