timestamp,pf_success,branch_rows,row_identity_preserved,max_branch_error_mw,max_interface_error_mw,max_angle_error_deg,virtual_balance_pg_mw
2019-09-06 02:00:00,1,94,1,9.53903622757934e-13,1.59161572810262e-12,5.32907051820075e-14,2.39808173319034e-12
2019-09-08 05:00:00,1,94,1,1.36424205265939e-12,2.72848410531878e-12,5.6843418860808e-14,8.88178419700125e-13
2019-09-06 03:00:00,1,94,1,1.4139800441626e-12,2.50111042987555e-12,5.6843418860808e-14,1.50990331349021e-12
2019-07-03 04:00:00,1,94,1,1.66977542903624e-12,2.27373675443232e-12,6.3948846218409e-14,5.32907051820075e-13
2019-07-22 04:00:00,1,94,1,2.07833750209829e-12,2.95585778076202e-12,7.105427357601e-14,1.77635683940025e-12
2019-01-08 15:00:00,1,94,1,2.1174173525651e-12,2.50111042987555e-12,6.3948846218409e-14,2.04281036531029e-12
