timestamp,interface,observed_actual_mw,predicted_actual_scale_mw,absolute_error_pct,wrong_direction
2019-09-06 02:00:00,Dysinger East,713.569166666667,748.7047660829064,4.923923434131848,False
2019-09-06 02:00:00,West Central,451.4175,524.3321887828619,16.15238416385315,False
2019-09-06 02:00:00,Total East,3909.0883333333304,3977.969564674512,1.7620791721134121,False
2019-09-06 02:00:00,Moses South,2026.6225,2060.3627761826215,1.6648525407480366,False
2019-09-06 02:00:00,Central East,2188.10333333333,2172.9000428915324,0.6948159262038556,False
2019-09-06 02:00:00,UpNY-Coned,2201.93833333333,2203.5205488226675,0.07185557676098575,False
2019-09-06 02:00:00,Dun/SPR-South,2909.24666666667,2937.135290390892,0.9586201144014964,False
2019-09-08 05:00:00,Dysinger East,765.053333333333,745.3788379828977,2.57165017041538,False
2019-09-08 05:00:00,West Central,568.540833333333,586.3707931668308,3.1360913391148126,False
2019-09-08 05:00:00,Total East,4053.45916666667,4069.7763638971896,0.4025499347496264,False
2019-09-08 05:00:00,Moses South,2037.21166666667,2056.820659306937,0.9625407590734861,False
2019-09-08 05:00:00,Central East,2234.5025,2330.972467792936,4.317290662818054,False
2019-09-08 05:00:00,UpNY-Coned,1866.06666666667,1761.833581336197,5.585710692569372,False
2019-09-08 05:00:00,Dun/SPR-South,2539.30083333333,2539.647904503677,0.013667981587343609,False
2019-09-06 03:00:00,Dysinger East,735.860833333333,773.317921562347,5.09024078090138,False
2019-09-06 03:00:00,West Central,483.38666666666705,557.7612525504037,15.386147573454636,False
2019-09-06 03:00:00,Total East,3959.61083333333,4020.0146424528775,1.5254986326193534,False
2019-09-06 03:00:00,Moses South,2023.00666666667,2057.5019798540634,1.7051507420008494,False
2019-09-06 03:00:00,Central East,2237.09083333333,2255.799298488628,0.8362854505743179,False
2019-09-06 03:00:00,UpNY-Coned,2130.71416666667,2057.9974122654125,3.412787859528666,False
2019-09-06 03:00:00,Dun/SPR-South,2792.46916666667,2778.9350866914656,0.48466354209954804,False
2019-07-03 04:00:00,Dysinger East,857.3799999999999,844.8252597644887,1.464314567112742,False
2019-07-03 04:00:00,West Central,497.0375,504.4070906381504,1.4827031437568334,False
2019-07-03 04:00:00,Total East,4110.18,4234.160513391095,3.0164253972111874,False
2019-07-03 04:00:00,Moses South,1935.2799999999997,2029.1764685983198,4.851828603526109,False
2019-07-03 04:00:00,Central East,2132.80416666667,2042.6961160403337,4.224862837133562,False
2019-07-03 04:00:00,UpNY-Coned,2833.57416666667,2939.876020786091,3.751511266933631,False
2019-07-03 04:00:00,Dun/SPR-South,3468.36166666667,3553.3246319778054,2.4496570276302996,False
2019-07-22 04:00:00,Dysinger East,1057.25333333333,1052.6147257939022,0.4387413492282952,False
2019-07-22 04:00:00,West Central,614.283333333333,646.9071574391317,5.310875671779913,False
2019-07-22 04:00:00,Total East,4771.39666666667,4839.342836251076,1.4240310402000966,False
2019-07-22 04:00:00,Moses South,2175.66416666667,2224.8664383084783,2.261482833409485,False
2019-07-22 04:00:00,Central East,2281.57,2204.234327051183,3.389581426334377,False
2019-07-22 04:00:00,UpNY-Coned,3841.94166666667,3779.7230268943526,1.6194582107306947,False
2019-07-22 04:00:00,Dun/SPR-South,3833.9974999999995,4029.067263179339,5.087894897671146,False
2019-01-08 15:00:00,Dysinger East,1471.67833333333,1467.334031718902,0.2951936925366257,False
2019-01-08 15:00:00,West Central,844.62,875.3061046394456,3.633125504895171,False
2019-01-08 15:00:00,Total East,4738.215,4856.353557516947,2.493313568863953,False
2019-01-08 15:00:00,Moses South,1996.7708333333303,2078.0051001283828,4.068281919935868,False
2019-01-08 15:00:00,Central East,2725.35583333333,2721.411078086531,0.14474275977293435,False
2019-01-08 15:00:00,UpNY-Coned,2106.41666666667,1676.0921530991975,20.429220883845634,False
2019-01-08 15:00:00,Dun/SPR-South,2422.56083333333,2351.2554686952158,2.9433879907981932,False
