TimeStamp,interface,FlowMWH,PositiveLimitMWH,NegativeLimitMWH,sample_count,distinct_timestamp_count,FlowMWH_unimputed,FlowMWH_finite_samples,FlowMWH_imputed,PositiveLimitMWH_unimputed,PositiveLimitMWH_finite_samples,PositiveLimitMWH_imputed,NegativeLimitMWH_unimputed,NegativeLimitMWH_finite_samples,NegativeLimitMWH_imputed,PositiveLimitMWH_sentinel_samples,NegativeLimitMWH_sentinel_samples,spring_dst_missing_hour,fall_dst_ambiguous_hour,filter_unimputed_unambiguous_hour,filter_unimputed_unambiguous_exactly_12_unique_samples,InterfaceName
2019-03-02 14:00:00,UpNY-Coned,2538.56083333333,5700.0,-9999.0,12,12,2538.56083333333,12,False,5700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
2019-03-02 14:00:00,West Central,695.665833333333,9999.0,-9999.0,12,12,695.665833333333,12,False,9999.0,12,False,-9999.0,12,False,12,12,False,False,True,True,WEST CENTRAL
2019-03-02 15:00:00,Central East,2398.95916666667,2700.0,-9999.0,12,12,2398.95916666667,12,False,2700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,CENTRAL EAST - VC
2019-03-02 15:00:00,Dun/SPR-South,2851.59416666667,4600.0,-9999.0,12,12,2851.59416666667,12,False,4600.0,12,False,-9999.0,12,False,0,12,False,False,True,True,SPR/DUN-SOUTH
2019-03-02 15:00:00,Dysinger East,1120.32666666667,3150.0,-9999.0,12,12,1120.32666666667,12,False,3150.0,12,False,-9999.0,12,False,0,12,False,False,True,True,DYSINGER EAST
2019-03-02 15:00:00,Moses South,1805.61333333333,3150.0,-1600.0,12,12,1805.61333333333,12,False,3150.0,12,False,-1600.0,12,False,0,0,False,False,True,True,MOSES SOUTH
2019-03-02 15:00:00,Total East,4250.0275,6800.0,-9999.0,12,12,4250.0275,12,False,6800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,TOTAL EAST
2019-03-02 15:00:00,UpNY-Coned,2496.06083333333,5700.0,-9999.0,12,12,2496.06083333333,12,False,5700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
2019-03-02 15:00:00,West Central,614.084166666667,9999.0,-9999.0,12,12,614.084166666667,12,False,9999.0,12,False,-9999.0,12,False,12,12,False,False,True,True,WEST CENTRAL
2019-03-02 16:00:00,Central East,2370.09416666667,2700.0,-9999.0,12,12,2370.09416666667,12,False,2700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,CENTRAL EAST - VC
2019-03-02 16:00:00,Dun/SPR-South,2826.90083333333,4600.0,-9999.0,12,12,2826.90083333333,12,False,4600.0,12,False,-9999.0,12,False,0,12,False,False,True,True,SPR/DUN-SOUTH
2019-03-02 16:00:00,Dysinger East,995.205,3150.0,-9999.0,12,12,995.205,12,False,3150.0,12,False,-9999.0,12,False,0,12,False,False,True,True,DYSINGER EAST
2019-03-02 16:00:00,Moses South,1794.01666666667,3150.0,-1600.0,12,12,1794.01666666667,12,False,3150.0,12,False,-1600.0,12,False,0,0,False,False,True,True,MOSES SOUTH
2019-03-02 16:00:00,Total East,4180.2775,6800.0,-9999.0,12,12,4180.2775,12,False,6800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,TOTAL EAST
2019-03-02 16:00:00,UpNY-Coned,2389.27583333333,5700.0,-9999.0,12,12,2389.27583333333,12,False,5700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
2019-03-02 16:00:00,West Central,477.119166666667,9999.0,-9999.0,12,12,477.119166666667,12,False,9999.0,12,False,-9999.0,12,False,12,12,False,False,True,True,WEST CENTRAL
2019-03-21 14:00:00,Central East,2289.7675,2765.0,-9999.0,12,12,2289.7675,12,False,2765.0,12,False,-9999.0,12,False,0,12,False,False,True,True,CENTRAL EAST - VC
2019-03-21 14:00:00,Dun/SPR-South,2718.3125,4600.0,-9999.0,12,12,2718.3125,12,False,4600.0,12,False,-9999.0,12,False,0,12,False,False,True,True,SPR/DUN-SOUTH
2019-03-21 14:00:00,Dysinger East,1382.02916666667,3150.0,-9999.0,12,12,1382.02916666667,12,False,3150.0,12,False,-9999.0,12,False,0,12,False,False,True,True,DYSINGER EAST
2019-03-21 14:00:00,Moses South,2075.06666666667,2650.0,-1600.0,12,12,2075.06666666667,12,False,2650.0,12,False,-1600.0,12,False,0,0,False,False,True,True,MOSES SOUTH
2019-03-21 14:00:00,Total East,4602.37,6800.0,-9999.0,12,12,4602.37,12,False,6800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,TOTAL EAST
2019-03-21 14:00:00,UpNY-Coned,3888.51166666667,4800.0,-9999.0,12,12,3888.51166666667,12,False,4800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
2019-03-21 14:00:00,West Central,862.745,9999.0,-9999.0,12,12,862.745,12,False,9999.0,12,False,-9999.0,12,False,12,12,False,False,True,True,WEST CENTRAL
2019-05-21 14:00:00,Central East,2471.88416666667,2715.0,-9999.0,12,12,2471.88416666667,12,False,2715.0,12,False,-9999.0,12,False,0,12,False,False,True,True,CENTRAL EAST - VC
2019-05-21 14:00:00,Dun/SPR-South,2875.24083333333,4600.0,-9999.0,12,12,2875.24083333333,12,False,4600.0,12,False,-9999.0,12,False,0,12,False,False,True,True,SPR/DUN-SOUTH
2019-05-21 14:00:00,Dysinger East,982.576666666667,3000.0,-9999.0,12,12,982.576666666667,12,False,3000.0,12,False,-9999.0,12,False,0,12,False,False,True,True,DYSINGER EAST
2019-05-21 14:00:00,Moses South,1452.22833333333,2850.0,-1600.0,12,12,1452.22833333333,12,False,2850.0,12,False,-1600.0,12,False,0,0,False,False,True,True,MOSES SOUTH
2019-05-21 14:00:00,Total East,3616.65583333333,6800.0,-9999.0,12,12,3616.65583333333,12,False,6800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,TOTAL EAST
2019-05-21 14:00:00,UpNY-Coned,2440.14833333333,5700.0,-9999.0,12,12,2440.14833333333,12,False,5700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
2019-05-21 14:00:00,West Central,579.293333333333,9999.0,-9999.0,12,12,579.293333333333,12,False,9999.0,12,False,-9999.0,12,False,12,12,False,False,True,True,WEST CENTRAL
2019-05-21 16:00:00,Central East,2631.48083333333,2746.25,-9999.0,12,12,2631.48083333333,12,False,2746.25,12,False,-9999.0,12,False,0,12,False,False,True,True,CENTRAL EAST - VC
2019-05-21 16:00:00,Dun/SPR-South,3114.455,4600.0,-9999.0,12,12,3114.455,12,False,4600.0,12,False,-9999.0,12,False,0,12,False,False,True,True,SPR/DUN-SOUTH
2019-05-21 16:00:00,Dysinger East,1239.71666666667,3000.0,-9999.0,12,12,1239.71666666667,12,False,3000.0,12,False,-9999.0,12,False,0,12,False,False,True,True,DYSINGER EAST
2019-05-21 16:00:00,Moses South,1532.2825,2850.0,-1600.0,12,12,1532.2825,12,False,2850.0,12,False,-1600.0,12,False,0,0,False,False,True,True,MOSES SOUTH
2019-05-21 16:00:00,Total East,4210.72833333333,6800.0,-9999.0,12,12,4210.72833333333,12,False,6800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,TOTAL EAST
