month,compact51_pooled_pct,marcy_pooled_pct,improvement_percentage_points,relative_error_reduction_pct
1,17.768139224531872,12.117544771489031,5.6505944530428405,31.801835755773766
2,15.572813959563405,10.025207849511514,5.547606110051891,35.62365879703493
3,14.594961312945209,9.883805347988496,4.711155964956713,32.27933164014684
4,20.182136950028863,15.062550567198365,5.119586382830498,25.366919248970692
5,19.201937493031537,14.118883911977948,5.083053581053589,26.471566126586186
6,16.788740149334863,12.363572867180359,4.425167282154504,26.357947307498357
7,16.457130301730245,12.39855270739437,4.058577594335876,24.66151461357252
8,16.73868139340661,12.11593361105404,4.622747782352569,27.61715617679106
9,15.595246183878755,10.47841876118994,5.116827422688814,32.81017408996225
10,20.583278700650773,15.101181323995025,5.482097376655748,26.633742157329014
11,19.28821779222059,13.421579559888713,5.866638232331876,30.415657348591505
12,17.37132358408182,11.76491885996926,5.606404724112561,32.27390645840009
