scenario_id,solver,opf_start,mips_cost_multiplier,electrically_qualified,interface_fit_used,hardware_frozen,bounded_P_residual_mw,bounded_Q_residual_mvar,proxy_MAE_mw,proxy_max_error_mw,solver_error,replay_error,bounds_relaxed
S1_2025_SUMMER_PEAK_PUBLIC,MIPS,0,1,1,1,1,7.58823045998724e-06,1.96235132534639e-05,2.0170246104737,3.20732563873162,,,0
S2_2025_WINTER_PEAK_PUBLIC,MIPS,0,1,1,1,1,1.27780899106256e-06,9.53834980066404e-06,1.17971789235903,2.02849653972066,,,0
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,MIPS,0,1,1,1,1,7.30312876839889e-09,2.10332871120045e-08,1.07466514248905,3.08045535337287,,,0
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,MIPS,0,1,0,1,1,0.000277996508219097,0.000248226911651273,1.99870206588945,3.43390551796597,,bounded_audit_failed,0
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,IPOPT,0,1,1,1,1,8.39270421434806e-12,5.25678979415828e-11,1.99516839666157,3.43111506014611,,,0
S1_2019_SUMMER_PEAK_PUBLIC,MIPS,0,1,0,0,1,0.0522272037292169,1.39556354502702,279.975889346864,515.17520474687,,bounded_audit_failed,0
S1_2019_SUMMER_PEAK_PUBLIC,IPOPT,0,1,1,0,1,2.93975972454064e-08,1.06683501144289e-07,282.92307076453,529.140938064358,,,0
S2_2019_WINTER_PEAK_PUBLIC,MIPS,0,1,1,0,1,8.87211371036756e-09,1.58256398208323e-07,674.26423134887,1585.8083155577,,,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,MIPS,0,1,1,0,1,3.11313471001995e-07,7.89273201462493e-07,294.067867456215,916.449918919531,,,0
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,MIPS,0,1,0,0,1,0.852856143247436,26.1684653522344,292.804430662464,717.698392486884,,bounded_audit_failed,0
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,IPOPT,0,1,1,0,1,3.63082563126227e-07,5.51031710926964e-07,287.778044020999,685.974202599259,,,0
S5_2019_HIGH_TOTAL_EAST_PUBLIC,MIPS,0,1,1,0,1,3.61240762458692e-06,2.7069475152075e-05,417.167624424573,1170.77300097009,,,0
S6_2019_LOW_TOTAL_EAST_PUBLIC,MIPS,0,1,1,0,1,7.19637682777829e-11,2.27453256229637e-09,239.432354773978,359.853895419607,,,0
S5_2025_HIGH_TOTAL_EAST_PUBLIC,MIPS,0,1,1,0,1,4.25837042143939e-05,0.000162407902053019,284.372423651245,500.849190956659,,,0
S6_2025_LOW_TOTAL_EAST_PUBLIC,MIPS,0,1,1,0,1,3.8511984712386e-08,1.34848530564113e-07,317.055312108447,941.507039398657,,,0
