point_id,source_flow_value,actual_positive_limit_mw,actual_negative_limit_mw,source_csv_line,source_field,unit_interpretation,source_limit_is_equipment_rating,interface_name,public_interface_name,zone_boundary,actual_flow_mw,target_flow_mw,target_positive_limit_mw,target_negative_limit_mw,actual_limit_mw,target_limit_mw,directional_limit_is_placeholder,scenario_id,timestamp,timestamp_utc,vintage,dataset_split,campaign_role,scale_factor_gamma,source_id,scale_policy,scale_reference_scenario_id,scale_reference_source_id,target_use,provenance_class,training_target,partition_training,model_operator_qualification
23330,2788.26,2920,-9999,3890,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Central_East,CENTRAL EAST - VC,E-F,2788.26,1000.04353654232,1047.29369811408,-3586.26359158998,2920,1047.29369811408,0,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,2019-01-21T23:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190121,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23314,5178.7,6800,-9999,3905,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Total_East_proxy,TOTAL EAST,F-G,5178.7,1857.40406658336,2438.90313259444,-3586.26359158998,6800,2438.90313259444,0,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,2019-01-21T23:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190121,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23315,2781.33,5700,-9999,3906,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,UPNY_ConEd,UPNY CONED,G-H,2781.33,997.558007320426,2044.37468467475,-3586.26359158998,5700,2044.37468467475,0,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,2019-01-21T23:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190121,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23320,2657.59,4600,-9999,3904,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Dunwoodie_South,SPR/DUN-SOUTH,I-J,2657.59,953.177143551715,1649.84623675506,-3586.26359158998,4600,1649.84623675506,0,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,2019-01-21T23:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190121,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23326,967.43,3150,-9999,885,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Dysinger_East,DYSINGER EAST,A-B,967.43,346.980596700859,1129.78600995184,-3586.26359158998,3150,1129.78600995184,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190421,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23312,803.85,9999,-9999,901,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,West_Central,WEST CENTRAL,B-C,803.85,288.310629872947,3586.26359158998,-3586.26359158998,9999,3586.26359158998,1,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190421,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23319,834.66,3150,-1600,886,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Moses_South,MOSES SOUTH,D-E,834.66,299.361013036952,1129.78600995184,-573.859560610457,3150,1129.78600995184,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190421,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23330,1890.68,2195,-9999,884,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Central_East,CENTRAL EAST - VC,E-F,1890.68,678.115496284362,787.263584712471,-3586.26359158998,2195,787.263584712471,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190421,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23314,3550.78,6800,-9999,899,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Total_East_proxy,TOTAL EAST,F-G,3550.78,1273.53065664025,2438.90313259444,-3586.26359158998,6800,2438.90313259444,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190421,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23315,1331.73,5700,-9999,900,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,UPNY_ConEd,UPNY CONED,G-H,1331.73,477.641245407352,2044.37468467475,-3586.26359158998,5700,2044.37468467475,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190421,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
