iteration,max_temperature_fixed_point_error_c,max_equilibrium_temperature_c,max_heat_balance_residual_w_m,max_series_ampacity_fraction,bounded_AC_pass
1,68.9182825008761,29.7258676351167,163.885483920702,0.623176353538289,1
2,34.4582322804773,30.7294343857957,79.6432747961526,0.635221405617663,1
3,17.2286515080751,31.2361975347775,39.3471941624234,0.641190076645484,1
4,8.6140869017453,31.4962227683154,19.5671208419206,0.644224085878075,1
5,4.30692295838599,31.6272674776596,9.7583616563836,0.645745915695766,1
6,2.15340127368053,31.6927088302423,4.87301635744715,0.646504094912199,1
7,1.07667069829686,31.7252392285289,2.43496329511069,0.646880537069714,1
8,0.538320497036614,31.7413728284503,1.21708473351652,0.647067126396391,1
9,0.269152889309145,31.7493652548382,0.608436739562865,0.647159534196938,1
10,0.134572800311155,31.7533223884811,0.304188656470761,0.647205279715339,1
11,0.0672845959682355,31.7552810584618,0.152085245403845,0.647227920857844,1
12,0.0336414049211093,31.7562504108219,0.0760395306285517,0.647239125642576,1
13,0.0168202604298848,31.7567301137264,0.0380185853470244,0.647244670452439,1
14,0.00840991143462855,31.7569674960503,0.0190087961595111,0.64724741429355,1
15,0.00420484743502136,31.7570849634175,0.00950417416980992,0.647248772062808,1
