GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN,MODEL,STARTUP,SHUTDOWN,NCOST,LINEAR,FIXED,GenType,GenFuel,GenID,FuelType,EIAPlantCode,EIAPC-IDorPC-UC
6,2.744616,-0.209143,1.8,-1.5,1.02,100,1,2.8,1,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,1,WAT (Water),2685,2685-1
6,2.744616,-0.209143,1.8,-1.5,1.02,100,1,2.8,1,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,2,WAT (Water),2685,2685-2
6,2.94066,-0.209143,2,-1.7,1.02,100,1,3,1,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,3,WAT (Water),2685,2685-3
6,2.94066,-0.209143,2,-1.7,1.02,100,1,3,1,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,4,WAT (Water),2685,2685-4
15,7.841761,-1.255595,5.2,-4.4,1.02,100,1,8,7,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,1,WAT (Water),2548,2548-1
15,7.841761,-1.255595,5.2,-4.4,1.02,100,1,8,7,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,2,WAT (Water),2548,2548-2
17,0.017716,-9.9,11.7,-9.9,1.01,100,1,18.000001,10.5,0,0,0,0,0,0,0,101,303,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,1,NG (Natural Gas),2511,2511-3
17,17.88594,-9.9,11.7,-9.9,1.01,100,1,18.000001,11.4,0,0,0,0,0,0,0,102.5,307.5,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,2,NG (Natural Gas),2511,2511-4
17,17.88594,-9.9,11.7,-9.9,1.01,100,1,18.000001,11,0,0,0,0,0,0,0,100.5,301.5,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,3,NG (Natural Gas),2511,2511-5
17,17.88594,-9.9,11.7,-9.9,1.01,100,1,18.000001,11.2,0,0,0,0,0,0,0,99.5,298.5,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,4,NG (Natural Gas),2511,2511-6
17,17.88594,-9.9,11.7,-9.9,1.01,100,1,18.000001,11.4,0,0,0,0,0,0,0,76,228,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,5,NG (Natural Gas),2511,2511-8
17,17.88594,-9.9,11.7,-9.9,1.01,100,1,18.000001,10.7,0,0,0,0,0,0,0,102.5,307.5,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,6,NG (Natural Gas),2511,2511-GT1
17,17.88594,-9.9,11.7,-9.9,1.01,100,1,18.000001,9,0,0,0,0,0,0,0,102,306,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,7,NG (Natural Gas),2511,2511-GT2
17,41.535127,-23,27.200001,-23,1.01,100,1,41.800001,29.800001,0,0,0,0,0,0,0,246,738,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,8,NG (Natural Gas),2511,2511-9
17,0,0,27.200001,-23,1.01,100,0,41.800001,30.000001,0,0,0,0,0,0,0,250,750,0,0,0,0,0,0,2,2000,0,2,33.64311599,97.68466116,GT (Gas Turbine),ng,9,NG (Natural Gas),2511,2511-10
17,0.041141,-23,27.200001,-23,1.01,100,1,41.800001,30.000001,0,0,0,0,0,0,0,252.5,757.5,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,10,NG (Natural Gas),2511,2511-11
17,13.354008,-23,27.200001,-23,1.01,100,1,41.800001,30.000001,0,0,0,0,0,0,0,243.5,730.5,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,11,NG (Natural Gas),2511,2511-12
17,139.619219,0,122.2,-103.400004,1.01,100,1,188,15.000001,0,0,0,0,0,0,0,79.8,239.4,0,0,0,0,0,0,2,2500,0,2,31.5,660,ST (Steam Turbine),ng,12,NG (Natural Gas),2511,2511-ST1
17,186.808717,0,122.2,-103.400004,1.01,100,1,188,15.000001,0,0,0,0,0,0,0,76.2,228.6,0,0,0,0,0,0,2,2500,0,2,31.5,660,ST (Steam Turbine),ng,13,NG (Natural Gas),2511,2511-ST2
18,15.898612,-8.8,10.4,-8.8,1.01,100,1,16,10,0,0,0,0,0,0,0,88,264,0,0,0,0,0,0,2,500,0,2,200.1,3220,GT (Gas Turbine),dfo,1,DFO (Distillate Fuel Oil),7869,7869-GT1
18,52.664155,0,34.5,-29.2,1.01,100,1,52.999997,37,0,0,0,0,0,0,0,235,705,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,2,NG (Natural Gas),7869,7869-GT4
18,52.664155,0,34.5,-29.2,1.01,100,1,52.999997,37,0,0,0,0,0,0,0,235,705,0,0,0,0,0,0,2,2000,0,2,31.5,120,GT (Gas Turbine),ng,3,NG (Natural Gas),7869,7869-GT5
18,54.651493,-30.3,35.800001,-30.3,1.01,100,1,55.000001,40.000001,0,0,0,0,0,0,0,275.5,826.5,0,0,0,0,0,0,2,500,0,2,200.1,3220,GT (Gas Turbine),dfo,4,KER (Kerosene),2514,2514-GT2
