Name,bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
MORTIMER,1,1,115.187991,0,0,0,66,1.00316807202409,90.8991679274491,115,66,1.1,0.9
UNKNOWN124116,2,1,1.538569,0,0,0,70,1.00725309486078,77.5373465799963,69,70,1.1,0.9
UNKNOWN124120,3,1,3.421778,0,0,0,70,1.00904620140417,82.9350005790547,115,70,1.1,0.9
UNKNOWN124121,4,1,74.046987,0,0,0,68,0.991855895794122,94.6920332344942,115,68,1.1,0.9
UNKNOWN124122,5,1,3.421778,0,0,0,70,1.00632063366079,86.3203165047424,115,70,1.1,0.9
UNKNOWN124124,6,2,3.421778,0,0,0,70,1.02,83.0153372510682,115,70,1.1,0.9
UNKNOWN124125,7,1,6.843556,0,0,0,70,1.0165813009139,82.2589804339417,115,70,1.1,0.9
UNKNOWN124127,8,1,6.843556,0,0,0,70,1.01920921877534,82.4869802217252,115,70,1.1,0.9
UNKNOWN124132,9,1,36.727503,0,0,0,71,1.01310794657212,69.3410743678629,115,71,1.1,0.9
UNKNOWN124133,10,1,14.809397,0,0,0,68,0.983569633281073,91.2487689065992,115,68,1.1,0.9
UNKNOWN124134,11,1,6.843556,0,0,0,70,1.00937439508136,82.8913731155443,115,70,1.1,0.9
UNKNOWN124137,12,1,3.421778,0,0,0,70,1.01741872151508,81.3891047551583,115,70,1.1,0.9
UNKNOWN124138,13,1,13.687113,0,0,0,70,1.01406121183765,80.5959803962829,115,70,1.1,0.9
UNKNOWN124143,14,1,4.154006,0,0,0,69,1.00648367156785,78.688386657391,115,69,1.1,0.9
UNKNOWN124145,15,2,4.154006,0,0,0,69,1.02,100.002185950897,115,69,1.1,0.9
BOONVILLE,16,1,10.385014,0,0,0,69,1.01301413453474,88.5323322445048,115,69,1.1,0.9
UNKNOWN124147,17,1,44.51853,0,0,0,75,1.01220295411878,48.8549025334995,138,75,1.1,0.9
GLENWOOD LANDING,18,1,41.736126,0,0,0,75,1.01691753667031,59.2435455729445,69,75,1.1,0.9
NORTHPORT,19,2,77.350956,0,0,0,75,1.02,60.4158671410651,115,75,1.1,0.9
UNKNOWN124156,20,1,8.308011,0,0,0,69,1.01761804482924,101.872150812222,115,69,1.1,0.9
UNKNOWN124157,21,1,8.308011,0,0,0,69,1.01829375104706,101.914907612012,115,69,1.1,0.9
UNKNOWN124159,22,1,1.538569,0,0,0,70,1.00960917881787,77.201977586385,69,70,1.1,0.9
UNKNOWN124160,23,1,10.385014,0,0,0,69,1.01605232082008,80.0673266933978,115,69,1.1,0.9
UNKNOWN124162,24,2,20.893222,0,0,0,67,1.02,98.7551035152399,115,67,1.1,0.9
UNKNOWN124163,25,1,2.077003,0,0,0,69,1.0199449337031,97.6505646577195,115,69,1.1,0.9
UNKNOWN124169,26,1,0,0,0,0,74,1.02001509143854,63.306666091628,345,74,1.1,0.9
UNKNOWN124171,27,2,8.35729,0,0,0,67,1.02,93.053400729432,115,67,1.1,0.9
UNKNOWN124172,28,1,2.077003,0,0,0,69,1.01996682811234,98.6161801598181,115,69,1.1,0.9
UNKNOWN124194,29,2,16.71458,0,0,0,67,1.02,93.4955826401373,115,67,1.1,0.9
UNKNOWN124195,30,2,8.357291,0,0,0,67,1.02,94.2414764719236,115,67,1.1,0.9
UNKNOWN124198,31,2,3.421778,0,0,0,70,1.02,83.6337308316954,115,70,1.1,0.9
UNKNOWN124199,32,2,3.421778,0,0,0,70,1.02,83.650333119764,115,70,1.1,0.9
UNKNOWN124200,33,2,5.050016,0,0,0,65,1.02,99.7474819190661,115,65,1.1,0.9
HAMMERHILL,34,2,8.35729,0,0,0,67,1.02,102.882524537473,115,67,1.1,0.9
UNKNOWN124202,35,1,35.238913,0,0,0,68,0.999210452880514,93.025409580696,115,68,1.1,0.9
UNKNOWN124203,36,1,35.23891,0,0,0,68,0.999094395832284,93.0598659581158,115,68,1.1,0.9
UNKNOWN124205,37,2,7.575025,0,0,0,65,1.02,97.0702005309492,115,65,1.1,0.9
BLISS WINDPARK,38,2,5.050016,0,0,0,65,1.02,98.2904129251611,115,65,1.1,0.9
UNKNOWN124224,39,2,0,0,0,0,65,1.02,101.867710795851,230,65,1.1,0.9
UNKNOWN124225,40,1,2.077003,0,0,0,69,1.01923987852185,104.13248594064,115,69,1.1,0.9
UNKNOWN124226,41,2,5.050016,0,0,0,65,1.02,96.1089320494475,115,65,1.1,0.9
UNKNOWN124228,42,1,17.675059,0,0,0,65,1.02001884593115,94.5962565966727,115,65,1.1,0.9
DUGAN,43,1,5.050016,0,0,0,65,1.01891440472335,94.3100636869463,115,65,1.1,0.9
UNKNOWN124230,44,1,2.525008,0,0,0,65,1.01892401691482,94.3158176617888,115,65,1.1,0.9
TAP124231,45,1,7.575025,0,0,0,65,1.01893227671489,94.3177986323928,115,65,1.1,0.9
W OLEAN,46,1,5.050016,0,0,0,65,1.01996861575811,94.5838636494625,115,65,1.1,0.9
VALLEY CAT,47,1,2.525008,0,0,0,65,1.02169143359552,94.8844400468416,115,65,1.1,0.9
MACHIAS #13,48,1,10.100032,0,0,0,65,1.01996447557492,95.1198851926147,115,65,1.1,0.9
VALLEY,49,1,4.154006,0,0,0,69,1.01786883258097,82.2967427376693,115,69,1.1,0.9
UNKNOWN124248,50,1,4.154006,0,0,0,69,1.00706312402491,99.7270738745397,115,69,1.1,0.9
UNKNOWN124251,51,1,4.178645,0,0,0,67,1.01792761223411,94.3002387713165,115,67,1.1,0.9
UNKNOWN124252,52,2,4.178645,0,0,0,67,1.02,94.7259450372602,115,67,1.1,0.9
UNKNOWN124253,53,2,8.35729,0,0,0,67,1.02,96.6338901364484,115,67,1.1,0.9
UNKNOWN124256,54,1,0,0,0,0,67,1.02674455078138,95.4869596939076,230,67,1.1,0.9
UNKNOWN124257,55,1,12.535934,0,0,0,67,1.01748729911553,91.2264876102784,115,67,1.1,0.9
UNKNOWN124258,56,1,8.35729,0,0,0,67,1.01699258341005,90.5703203778981,115,67,1.1,0.9
UNKNOWN124262,57,1,8.35729,0,0,0,67,1.01710614220972,89.926248136062,115,67,1.1,0.9
UNKNOWN124322,58,1,6.267966,0,0,0,67,1.0192714239486,102.571911036398,115,67,1.1,0.9
UNKNOWN124323,59,1,14.53902,0,0,0,69,1.02013980872693,97.6438653437855,115,69,1.1,0.9
UNKNOWN124328,60,2,1.867808,0,0,0,69,1.02,77.6213563364084,69,69,1.1,0.9
UNKNOWN124336,61,1,12.535934,0,0,0,67,1.01736979500364,89.844177118999,115,67,1.1,0.9
UNKNOWN124337,62,1,0,0,0,0,70,1.02001364181807,84.8193511746914,345,70,1.1,0.9
UNKNOWN124338,63,2,0,0,0,0,70,1.02,84.8351261682813,345,70,1.1,0.9
UNKNOWN124339,64,1,2.077003,0,0,0,69,1.00499750475565,97.1539169071005,115,69,1.1,0.9
BERRY RD,65,1,5.050016,0,0,0,65,1.02104969198273,93.6361774438577,115,65,1.1,0.9
BAKER ST,66,1,5.050016,0,0,0,65,1.01801896995556,92.5885580603574,115,65,1.1,0.9
CUMMINS,67,1,2.525008,0,0,0,65,1.01809808640549,92.5860957650041,115,65,1.1,0.9
SILVER CREEK,68,1,5.050016,0,0,0,65,1.0171430167145,93.2090877357687,115,65,1.1,0.9
FALCONER,69,2,12.62504,0,0,0,65,1.02,93.2821614707595,115,65,1.1,0.9
UNKNOWN124347,70,1,5.050016,0,0,0,65,1.01983987531309,93.2419830957017,115,65,1.1,0.9
WESTFIELD VILLAGE,71,1,7.575025,0,0,0,65,1.02259791779336,93.7822760774863,115,65,1.1,0.9
UNKNOWN124349,72,1,2.525008,0,0,0,65,1.02013027512412,93.5949575469877,115,65,1.1,0.9
LUDIUM,73,1,5.050016,0,0,0,65,1.02007553507826,93.5858788421549,115,65,1.1,0.9
BENNETT RD,74,1,10.100032,0,0,0,65,1.01989665395345,93.5619465105377,115,65,1.1,0.9
E DUNKIRK,75,1,2.525008,0,0,0,65,1.01968733907276,93.5302679662417,115,65,1.1,0.9
UNKNOWN124354,76,1,5.050016,0,0,0,65,1.01967886405506,93.5282547572256,115,65,1.1,0.9
MOON SWITCHES,77,1,12.62504,0,0,0,65,1.02037201994383,93.3686651091721,115,65,1.1,0.9
HARTFIELD,78,1,5.050016,0,0,0,65,1.0215815832002,93.5380102020837,115,65,1.1,0.9
EAST 13TH STREET,79,2,0,0,0,0,74,1.02,63.0899875608586,345,74,1.1,0.9
UNKNOWN124470,80,2,4.154006,0,0,0,69,1.02,98.6611520168995,115,69,1.1,0.9
WESTOVER,81,1,20.893224,0,0,0,67,1.02208958384285,87.684215319224,115,67,1.1,0.9
UNKNOWN124526,82,2,2.077003,0,0,0,69,1.02,86.1521462532477,115,69,1.1,0.9
UNKNOWN124528,83,2,6.231008,0,0,0,69,1.02,97.7023834248356,115,69,1.1,0.9
UNKNOWN124529,84,2,3.421778,0,0,0,70,1.02,83.5306600810803,115,70,1.1,0.9
COLD SPRING RD,85,1,2.525008,0,0,0,65,1.01789021111413,92.8698753586837,115,65,1.1,0.9
UNKNOWN124575,86,1,5.050016,0,0,0,65,1.01805519582645,95.606192908131,115,65,1.1,0.9
UNKNOWN124576,87,1,7.575025,0,0,0,65,1.0176289536243,95.7753671605231,115,65,1.1,0.9
YORKSHIRE,88,1,5.050016,0,0,0,65,1.01747777735006,96.0484635380796,115,65,1.1,0.9
ARCADE,89,1,2.525008,0,0,0,65,1.0174671684853,96.1445234105074,115,65,1.1,0.9
BIXBY HILL,90,1,5.050016,0,0,0,65,1.01763615751905,96.416516197159,115,65,1.1,0.9
UNKNOWN124580,91,1,5.050016,0,0,0,65,1.01799674002887,96.8071571104332,115,65,1.1,0.9
UNKNOWN124581,92,1,14.398499,0,0,0,66,1.01289689915441,92.5795674245907,115,66,1.1,0.9
UNKNOWN124582,93,1,14.398499,0,0,0,66,1.01869112114807,95.6387865522034,115,66,1.1,0.9
UNKNOWN124583,94,1,14.398499,0,0,0,66,1.01920175315069,98.0589304716369,115,66,1.1,0.9
UNKNOWN124584,95,2,7.199249,0,0,0,66,1.02,98.2461107606428,115,66,1.1,0.9
UNKNOWN124585,96,1,7.199249,0,0,0,66,1.01712083846279,97.5498793678824,115,66,1.1,0.9
UNKNOWN124586,97,1,14.398499,0,0,0,66,1.01718731334367,97.5658283859397,115,66,1.1,0.9
UNKNOWN124587,98,1,14.398499,0,0,0,66,1.01426418749136,93.2424675543471,115,66,1.1,0.9
UNKNOWN124588,99,1,14.398499,0,0,0,66,1.01206915634411,92.5475300700439,115,66,1.1,0.9
UNKNOWN124589,100,1,7.199249,0,0,0,66,1.01029136231921,91.9497518064918,115,66,1.1,0.9
UNKNOWN124626,101,1,5.050016,0,0,0,65,1.00101230322512,92.104133647197,115,65,1.1,0.9
N AKRON,102,1,5.050016,0,0,0,65,1.00104545950058,92.1117676151934,115,65,1.1,0.9
UNKNOWN124628,103,1,2.525008,0,0,0,65,1.00180368223395,92.3026430843771,115,65,1.1,0.9
TONAWANDA,104,1,5.050016,0,0,0,65,1.01449844938276,95.612914391109,115,65,1.1,0.9
GETZVILLE,105,1,20.200065,0,0,0,65,1.0146343247225,95.483019551841,115,65,1.1,0.9
UNKNOWN124631,106,1,5.050016,0,0,0,65,1.01524375163477,95.6139221439897,115,65,1.1,0.9
UNKNOWN124632,107,1,12.62504,0,0,0,65,1.01651266108576,95.9086243194324,115,65,1.1,0.9
UNKNOWN124634,108,1,8.35729,0,0,0,67,1.0216678471127,89.7843669590209,115,67,1.1,0.9
UNKNOWN124639,109,1,8.35729,0,0,0,67,1.02120296086609,90.0795996494152,115,67,1.1,0.9
UNKNOWN124640,110,1,12.535934,0,0,0,67,1.02002444190713,88.2150739570375,115,67,1.1,0.9
UNKNOWN124641,111,1,8.35729,0,0,0,67,1.01762075514776,89.3269674924032,115,67,1.1,0.9
UNKNOWN124642,112,1,8.35729,0,0,0,67,1.01849651575534,86.9706175624779,115,67,1.1,0.9
UNKNOWN124643,113,1,8.35729,0,0,0,67,1.01777293328752,86.9141880703222,115,67,1.1,0.9
UNKNOWN124644,114,1,8.35729,0,0,0,67,1.01802437121893,87.1032503451783,115,67,1.1,0.9
KATTELVILLE,115,1,8.35729,0,0,0,67,1.02073572572879,86.4063050967839,115,67,1.1,0.9
UNKNOWN124652,116,2,8.35729,0,0,0,67,1.02,88.1395851172078,115,67,1.1,0.9
NORTH ENDICOTT,117,1,12.535934,0,0,0,67,1.02067318372995,87.3592347424862,115,67,1.1,0.9
UNKNOWN124654,118,1,8.35729,0,0,0,67,1.01858039532089,87.0467835056769,115,67,1.1,0.9
UNKNOWN124655,119,1,8.35729,0,0,0,67,1.01836645831,87.1371094033793,115,67,1.1,0.9
UNKNOWN124656,120,1,8.35729,0,0,0,67,1.01860110589316,87.3558225365613,115,67,1.1,0.9
UNKNOWN124661,121,1,8.35729,0,0,0,67,1.01981177941629,87.183115723085,115,67,1.1,0.9
ROBBLE AVE,122,1,8.35729,0,0,0,67,1.02085755215324,87.3981053460336,115,67,1.1,0.9
CASTLE GARDENS,123,1,8.35729,0,0,0,67,1.01947791419433,87.1236004268522,115,67,1.1,0.9
UNKNOWN124668,124,1,25.071865,0,0,0,67,1.01909706093642,90.4145579496089,115,67,1.1,0.9
UNKNOWN124702,125,1,2.077003,0,0,0,69,1.01714661800818,106.89774351877,115,69,1.1,0.9
UNKNOWN124703,126,1,2.077003,0,0,0,69,1.01715012581818,106.868398401427,115,69,1.1,0.9
UNKNOWN124704,127,2,34.217778,0,0,0,70,1.02,84.4757769808718,115,70,1.1,0.9
UNKNOWN124705,128,2,43.195498,0,0,0,66,1.02,98.6261124608756,115,66,1.1,0.9
UNKNOWN124706,129,1,21.597749,0,0,0,66,1.00587567581536,88.8414011205784,115,66,1.1,0.9
UNKNOWN124708,130,1,7.199249,0,0,0,66,1.00448161249465,89.6691884477315,115,66,1.1,0.9
UNKNOWN124716,131,1,25.071868,0,0,0,67,1.01803002601109,94.3267956698602,115,67,1.1,0.9
UNKNOWN124725,132,1,0,0,0,0,67,1.02120514405981,97.2043453667821,230,67,1.1,0.9
UNKNOWN124726,133,1,12.535934,0,0,0,67,1.01791473311685,89.4854155559279,115,67,1.1,0.9
ANGOLA,134,1,12.62504,0,0,0,65,1.01413254397094,92.9349887539669,115,65,1.1,0.9
SPRINGVILLE,135,1,5.050016,0,0,0,65,1.0173031808186,95.228797412645,115,65,1.1,0.9
COBBLE HILL,136,1,5.050016,0,0,0,65,1.01714775123437,95.2921687186301,115,65,1.1,0.9
BIG TREE,137,1,5.050016,0,0,0,65,1.01972527010553,95.3575538869968,115,65,1.1,0.9
UNKNOWN124741,138,1,0,0,0,0,65,1.01954129675532,101.683405784022,230,65,1.1,0.9
PERRY #162,139,1,7.575025,0,0,0,65,1.01802150457004,98.0058004076727,115,65,1.1,0.9
SOUTH PERRY,140,1,10.758533,0,0,0,65,1.0180650114079,98.0220299759449,115,65,1.1,0.9
UNKNOWN124745,141,1,5.050016,0,0,0,65,1.01347021849437,96.3759073482828,115,65,1.1,0.9
UNKNOWN124746,142,1,7.575025,0,0,0,65,1.01269714247795,96.0614454001727,115,65,1.1,0.9
UNKNOWN124747,143,1,5.050016,0,0,0,65,1.02384014140287,95.9692139243104,115,65,1.1,0.9
UNKNOWN124750,144,1,5.050016,0,0,0,65,1.02123044299007,95.6180132537727,115,65,1.1,0.9
ERIE ST,145,1,7.575025,0,0,0,65,1.01984892126901,95.4569136616308,115,65,1.1,0.9
DEPEW,146,1,2.525008,0,0,0,65,1.01945529683971,95.3450601544185,115,65,1.1,0.9
UNKNOWN124823,147,1,4.178645,0,0,0,67,1.01846793606715,90.7519650912297,115,67,1.1,0.9
UNKNOWN124826,148,1,4.178645,0,0,0,67,1.0194917465527,89.381076549055,115,67,1.1,0.9
