scenario_id,public_interface_name,point_id,source_id,actual_hour_mean_mw,backward_hold_mean_mw,linear_mean_mw,interval_count,max_sample_gap_seconds,duplicate_timestamp_count,max_duplicate_spread_mw,duplicate_lower_hour_mean_mw,duplicate_upper_hour_mean_mw,source_csv_lines,coverage_qualified,coverage_failure,external_region,default_primary_scope,default_channel_include,actual_import_mw,target_import_mw
S1_2019_SUMMER_PEAK_PUBLIC,SCH - HQ - NY,23324,NYISO:ExternalLimitsFlows:20190720,1500.0,1500.0,1500.0,12.0,600.0,1.0,0.0,1500.0,1500.0,3461;3479;3497;3515;3533;3554;3555;3587;3605;3623;3641;3659;3677;3695,True,,HQ,True,True,1500.0,537.993338072304
S1_2019_SUMMER_PEAK_PUBLIC,SCH - OH - NY,23317,NYISO:ExternalLimitsFlows:20190720,668.1329999999999,668.6241666666666,668.3785833333333,12.0,600.0,1.0,0.06999999999993634,668.1271666666668,668.1388333333333,3467;3485;3503;3521;3539;3566;3567;3593;3611;3629;3647;3665;3683;3701,True,,ONTARIO,True,True,668.1329999999999,239.6340686308418
S1_2019_SUMMER_PEAK_PUBLIC,SCH - NE - NY,23318,NYISO:ExternalLimitsFlows:20190720,-1227.3413333333333,-1221.5705,-1224.4559166666666,12.0,600.0,1.0,0.30999999999994543,-1227.3671666666667,-1227.3155,3464;3482;3500;3518;3536;3560;3561;3590;3608;3626;3644;3662;3680;3698,True,,ISONE,True,True,-1227.3413333333333,-440.20097391607493
S1_2019_SUMMER_PEAK_PUBLIC,SCH - PJ - NY,23316,NYISO:ExternalLimitsFlows:20190720,870.2588333333334,838.3481666666667,854.3035,12.0,600.0,1.0,2.2000000000000455,870.0755,870.4421666666667,3468;3486;3504;3522;3540;3568;3569;3594;3612;3630;3648;3666;3684;3702,True,,PJM,True,True,870.2588333333334,312.1289698212726
S2_2019_WINTER_PEAK_PUBLIC,SCH - HQ - NY,23324,NYISO:ExternalLimitsFlows:20190121,386.4166666666667,382.9166666666667,384.6666666666667,12.0,300.0,0.0,0.0,386.4166666666667,386.4166666666667,3893;3911;3929;3947;3965;3983;4001;4019;4037;4055;4073;4091;4109,True,,HQ,True,True,386.4166666666667,138.59306159118188
S2_2019_WINTER_PEAK_PUBLIC,SCH - OH - NY,23317,NYISO:ExternalLimitsFlows:20190121,636.4891666666666,625.0233333333333,630.75625,12.0,300.0,0.0,0.0,636.4891666666666,636.4891666666666,3899;3917;3935;3953;3971;3989;4007;4025;4043;4061;4079;4097;4115,True,,ONTARIO,True,True,636.4891666666666,228.28462094790603
S2_2019_WINTER_PEAK_PUBLIC,SCH - NE - NY,23318,NYISO:ExternalLimitsFlows:20190121,-516.1025,-486.46416666666664,-501.28333333333336,12.0,300.0,0.0,0.0,-516.1025,-516.1025,3896;3914;3932;3950;3968;3986;4004;4022;4040;4058;4076;4094;4112,True,,ISONE,True,True,-516.1025,-185.1064711749742
S2_2019_WINTER_PEAK_PUBLIC,SCH - PJ - NY,23316,NYISO:ExternalLimitsFlows:20190121,873.2858333333334,825.5558333333333,849.4208333333333,12.0,300.0,0.0,0.0,873.2858333333334,873.2858333333334,3900;3918;3936;3954;3972;3990;4008;4026;4044;4062;4080;4098;4116,True,,PJM,True,True,873.2858333333334,313.2146403775025
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,SCH - HQ - NY,23324,NYISO:ExternalLimitsFlows:20190421,203.5,204.08333333333334,203.79166666666666,12.0,300.0,0.0,0.0,203.5,203.5,887;905;923;941;959;977;995;1013;1031;1049;1067;1085;1103,True,,HQ,True,True,203.5,72.98776286514259
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,SCH - OH - NY,23317,NYISO:ExternalLimitsFlows:20190421,1445.5433333333333,1445.5425,1445.5429166666668,12.0,300.0,0.0,0.0,1445.5433333333333,1445.5433333333333,893;911;929;947;965;983;1001;1019;1037;1055;1073;1091;1109,True,,ONTARIO,True,True,1445.5433333333333,518.4617888187769
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,SCH - NE - NY,23318,NYISO:ExternalLimitsFlows:20190421,-513.5375,-505.12666666666667,-509.33208333333334,12.0,300.0,0.0,0.0,-513.5375,-513.5375,890;908;926;944;962;980;998;1016;1034;1052;1070;1088;1106,True,,ISONE,True,True,-513.5375,-184.18650256687056
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,SCH - PJ - NY,23316,NYISO:ExternalLimitsFlows:20190421,-94.38583333333334,-91.87666666666667,-93.13125,12.0,300.0,0.0,0.0,-94.38583333333334,-94.38583333333334,894;912;930;948;966;984;1002;1020;1038;1056;1074;1092;1110,True,,PJM,True,True,-94.38583333333334,-33.8526330278241
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,SCH - HQ - NY,23324,NYISO:ExternalLimitsFlows:20190717,500.0,500.0,500.0,12.0,300.0,0.0,0.0,500.0,500.0,3461;3479;3497;3515;3533;3551;3569;3587;3605;3623;3641;3659;3677,True,,HQ,True,True,500.0,179.331112690768
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,SCH - OH - NY,23317,NYISO:ExternalLimitsFlows:20190717,557.0008333333334,554.6566666666666,555.82875,12.0,300.0,0.0,0.0,557.0008333333334,557.0008333333334,3467;3485;3503;3521;3539;3557;3575;3593;3611;3629;3647;3665;3683,True,,ONTARIO,True,True,557.0008333333334,199.7751584227034
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,SCH - NE - NY,23318,NYISO:ExternalLimitsFlows:20190717,-1067.3083333333334,-1041.9533333333334,-1054.6308333333334,12.0,300.0,0.0,0.0,-1067.3083333333334,-1067.3083333333334,3464;3482;3500;3518;3536;3554;3572;3590;3608;3626;3644;3662;3680,True,,ISONE,True,True,-1067.3083333333334,-382.8031820015916
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,SCH - PJ - NY,23316,NYISO:ExternalLimitsFlows:20190717,991.6916666666667,1018.48,1005.0858333333333,12.0,300.0,0.0,0.0,991.6916666666667,991.6916666666667,3468;3486;3504;3522;3540;3558;3576;3594;3612;3630;3648;3666;3684,True,,PJM,True,True,991.6916666666667,355.68234005899114
S5_2019_HIGH_TOTAL_EAST_PUBLIC,SCH - HQ - NY,23324,NYISO:ExternalLimitsFlows:20190717,,,,,,,,,,,False,Public sample gap exceeds policy,HQ,True,True,,
S5_2019_HIGH_TOTAL_EAST_PUBLIC,SCH - OH - NY,23317,NYISO:ExternalLimitsFlows:20190717,,,,,,,,,,,False,Public sample gap exceeds policy,ONTARIO,True,True,,
S5_2019_HIGH_TOTAL_EAST_PUBLIC,SCH - NE - NY,23318,NYISO:ExternalLimitsFlows:20190717,,,,,,,,,,,False,Public sample gap exceeds policy,ISONE,True,True,,
S5_2019_HIGH_TOTAL_EAST_PUBLIC,SCH - PJ - NY,23316,NYISO:ExternalLimitsFlows:20190717,,,,,,,,,,,False,Public sample gap exceeds policy,PJM,True,True,,
S6_2019_LOW_TOTAL_EAST_PUBLIC,SCH - HQ - NY,23324,NYISO:ExternalLimitsFlows:20190727,0.0,0.0,0.0,12.0,300.0,0.0,0.0,0.0,0.0,437;455;473;491;509;527;545;563;581;599;617;635;653,True,,HQ,True,True,0.0,0.0
S6_2019_LOW_TOTAL_EAST_PUBLIC,SCH - OH - NY,23317,NYISO:ExternalLimitsFlows:20190727,848.4858333333333,848.7366666666667,848.61125,12.0,300.0,0.0,0.0,848.4858333333333,848.4858333333333,443;461;479;497;515;533;551;569;587;605;623;641;659,True,,ONTARIO,True,True,848.4858333333333,304.3198171880404
