scenario_id,public_interface_name,point_id,source_id,actual_hour_mean_mw,backward_hold_mean_mw,linear_mean_mw,interval_count,max_sample_gap_seconds,duplicate_timestamp_count,max_duplicate_spread_mw,duplicate_lower_hour_mean_mw,duplicate_upper_hour_mean_mw,source_csv_lines,coverage_qualified,coverage_failure,interface_name,actual_flow_mw,target_flow_mw,used_in_prior,used_in_optimizer,methodology_freeze_sha256
S2_2019_WINTER_PEAK_PUBLIC,TOTAL EAST,23314,NYISO:ExternalLimitsFlows:20190121,4722.581666666667,4660.885,4691.733333333334,12.0,300.0,0.0,0.0,4722.581666666667,4722.581666666667,3905;3923;3941;3959;3977;3995;4013;4031;4049;4067;4085;4103;4121,True,,Total_East_proxy,4722.581666666667,1693.8116501127101,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2019_WINTER_PEAK_PUBLIC,UPNY CONED,23315,NYISO:ExternalLimitsFlows:20190121,2654.6116666666667,2651.155,2652.883333333333,12.0,300.0,0.0,0.0,2654.6116666666667,2654.6116666666667,3906;3924;3942;3960;3978;3996;4014;4032;4050;4068;4086;4104;4122,True,,UPNY_ConEd,2654.6116666666667,952.108927890455,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2019_WINTER_PEAK_PUBLIC,SPR/DUN-SOUTH,23320,NYISO:ExternalLimitsFlows:20190121,2546.8108333333334,2544.721666666667,2545.76625,12.0,300.0,0.0,0.0,2546.8108333333334,2546.8108333333334,3904;3922;3940;3958;3976;3994;4012;4030;4048;4066;4084;4102;4120,True,,Dunwoodie_South,2546.8108333333334,913.4448411091377,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,DYSINGER EAST,23326,NYISO:ExternalLimitsFlows:20190421,925.8366666666667,924.3841666666667,925.1104166666667,12.0,300.0,0.0,0.0,925.8366666666667,925.8366666666667,885;903;921;939;957;975;993;1011;1029;1047;1065;1083;1101,True,,Dysinger_East,925.8366666666667,332.0626392064901,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,WEST CENTRAL,23312,NYISO:ExternalLimitsFlows:20190421,757.6,754.8633333333333,756.2316666666667,12.0,300.0,0.0,0.0,757.6,757.6,901;919;937;955;973;991;1009;1027;1045;1063;1081;1099;1117,True,,West_Central,757.6,271.7225019490517,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,MOSES SOUTH,23319,NYISO:ExternalLimitsFlows:20190421,855.1891666666667,860.205,857.6970833333334,12.0,300.0,0.0,0.0,855.1891666666667,855.1891666666667,886;904;922;940;958;976;994;1012;1030;1048;1066;1084;1102,True,,Moses_South,855.1891666666667,306.724049638848,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,CENTRAL EAST - VC,23330,NYISO:ExternalLimitsFlows:20190421,1882.13,1883.4383333333333,1882.7841666666666,12.0,300.0,0.0,0.0,1882.13,1882.13,884;902;920;938;956;974;992;1010;1028;1046;1064;1082;1100,True,,Central_East,1882.13,675.0489342573504,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,TOTAL EAST,23314,NYISO:ExternalLimitsFlows:20190421,3579.4383333333335,3587.58,3583.5091666666667,12.0,300.0,0.0,0.0,3579.4383333333335,3579.4383333333335,899;917;935;953;971;989;1007;1025;1043;1061;1079;1097;1115,True,,Total_East_proxy,3579.4383333333335,1283.8093182493096,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,UPNY CONED,23315,NYISO:ExternalLimitsFlows:20190421,1446.5308333333332,1459.2808333333332,1452.9058333333332,12.0,300.0,0.0,0.0,1446.5308333333332,1446.5308333333332,900;918;936;954;972;990;1008;1026;1044;1062;1080;1098;1116,True,,UPNY_ConEd,1446.5308333333332,518.8159677663411,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,SPR/DUN-SOUTH,23320,NYISO:ExternalLimitsFlows:20190421,2062.6183333333333,2069.9608333333335,2066.289583333333,12.0,300.0,0.0,0.0,2062.6183333333333,2062.6183333333333,898;916;934;952;970;988;1006;1024;1042;1060;1078;1096;1114,True,,Dunwoodie_South,2062.6183333333333,739.7832815460882,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
