scenario_id,public_interface_name,interface_name,target_flow_mw,actual_flow_mw,used_in_prior,used_in_optimizer
S1_2019_SUMMER_PEAK_PUBLIC,DYSINGER EAST,Dysinger_East,,,False,False
S1_2019_SUMMER_PEAK_PUBLIC,WEST CENTRAL,West_Central,,,False,False
S1_2019_SUMMER_PEAK_PUBLIC,MOSES SOUTH,Moses_South,,,False,False
S1_2019_SUMMER_PEAK_PUBLIC,CENTRAL EAST - VC,Central_East,,,False,False
S1_2019_SUMMER_PEAK_PUBLIC,TOTAL EAST,Total_East_proxy,,,False,False
S1_2019_SUMMER_PEAK_PUBLIC,UPNY CONED,UPNY_ConEd,,,False,False
S1_2019_SUMMER_PEAK_PUBLIC,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
S2_2019_WINTER_PEAK_PUBLIC,DYSINGER EAST,Dysinger_East,,,False,False
S2_2019_WINTER_PEAK_PUBLIC,WEST CENTRAL,West_Central,,,False,False
S2_2019_WINTER_PEAK_PUBLIC,MOSES SOUTH,Moses_South,,,False,False
S2_2019_WINTER_PEAK_PUBLIC,CENTRAL EAST - VC,Central_East,,,False,False
S2_2019_WINTER_PEAK_PUBLIC,TOTAL EAST,Total_East_proxy,,,False,False
S2_2019_WINTER_PEAK_PUBLIC,UPNY CONED,UPNY_ConEd,,,False,False
S2_2019_WINTER_PEAK_PUBLIC,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,DYSINGER EAST,Dysinger_East,,,False,False
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,WEST CENTRAL,West_Central,,,False,False
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,MOSES SOUTH,Moses_South,,,False,False
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,CENTRAL EAST - VC,Central_East,,,False,False
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,TOTAL EAST,Total_East_proxy,,,False,False
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,UPNY CONED,UPNY_ConEd,,,False,False
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,DYSINGER EAST,Dysinger_East,,,False,False
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,WEST CENTRAL,West_Central,,,False,False
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,MOSES SOUTH,Moses_South,,,False,False
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,CENTRAL EAST - VC,Central_East,,,False,False
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,TOTAL EAST,Total_East_proxy,,,False,False
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,UPNY CONED,UPNY_ConEd,,,False,False
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
S5_2019_HIGH_TOTAL_EAST_PUBLIC,DYSINGER EAST,Dysinger_East,,,False,False
S5_2019_HIGH_TOTAL_EAST_PUBLIC,WEST CENTRAL,West_Central,,,False,False
S5_2019_HIGH_TOTAL_EAST_PUBLIC,MOSES SOUTH,Moses_South,,,False,False
S5_2019_HIGH_TOTAL_EAST_PUBLIC,CENTRAL EAST - VC,Central_East,,,False,False
