source_id,archive,archive_sha256,member,member_sha256,source_url
NYISO:palIntegrated:20190720,System Matpower Format\NY_Lite\nyiso_public_cache\201907_palIntegrated\20190701palIntegrated_csv.zip,15e32aba8757e1a874413d4ad52d9b4e607d8802a1b36c3222a164f70d06a504,20190720palIntegrated.csv,00e79b6fd36ca709dc570f22909289cc5d714ee67ae44d7d7808c9e9d9f57fde,https://mis.nyiso.com/public/csv/palIntegrated/20190701palIntegrated_csv.zip
NYISO:ExternalLimitsFlows:20190720,System Matpower Format\NY_Lite\nyiso_public_cache\201907_ExternalLimitsFlows\20190701ExternalLimitsFlows_csv.zip,f7fe091f7a2c30adfcd0416df9ff42546449c6363a109187fa9b90e253d0b024,20190720ExternalLimitsFlows.csv,e3ba46e521b17ba473ce060a824e284c38898267a5cd6c9dba98da88923f4d73,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20190701ExternalLimitsFlows_csv.zip
NYISO:palIntegrated:20190121,System Matpower Format\NY_Lite\nyiso_public_cache\201901_palIntegrated\20190101palIntegrated_csv.zip,e57ad2374c0f3ab6569c0bc33fb2736b7f73166d212026e0a7ccfa27f6db8644,20190121palIntegrated.csv,8f73abdec76efccc406b65a9e2e91b61ebe97c4557f385484bf7fcedd74de5b3,https://mis.nyiso.com/public/csv/palIntegrated/20190101palIntegrated_csv.zip
NYISO:ExternalLimitsFlows:20190121,System Matpower Format\NY_Lite\nyiso_public_cache\201901_ExternalLimitsFlows\20190101ExternalLimitsFlows_csv.zip,f45cdf4194d68abee1650153d15adfa103f4b01a96fd3ed6feed089beff3728b,20190121ExternalLimitsFlows.csv,e451f4e6625b203ac32e57f3e01597d1a29ca31dfd38505674a1961494071284,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20190101ExternalLimitsFlows_csv.zip
NYISO:palIntegrated:20190421,System Matpower Format\NY_Lite\nyiso_public_cache\201904_palIntegrated\20190401palIntegrated_csv.zip,127846ffadefecd0794b561e27018c422c4dd0e0610df11263e2fd05005b1017,20190421palIntegrated.csv,3a3e68b42142636fbe0e9c2359d2e7f2e52ee9bc90ca8d1ea5aeb56e51c05fd8,https://mis.nyiso.com/public/csv/palIntegrated/20190401palIntegrated_csv.zip
NYISO:ExternalLimitsFlows:20190421,System Matpower Format\NY_Lite\nyiso_public_cache\201904_ExternalLimitsFlows\20190401ExternalLimitsFlows_csv.zip,fb67cb780b3e9e45330987bba8eec3e684f17c034d2bb62136f94677c9aeb85e,20190421ExternalLimitsFlows.csv,2c866afad6d8c5ca0fedb34bc1971478b9dac1487cd44cb63be01b16c1df60ed,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20190401ExternalLimitsFlows_csv.zip
NYISO:palIntegrated:20190717,System Matpower Format\NY_Lite\nyiso_public_cache\201907_palIntegrated\20190701palIntegrated_csv.zip,15e32aba8757e1a874413d4ad52d9b4e607d8802a1b36c3222a164f70d06a504,20190717palIntegrated.csv,002980d777826decb0147743d5cb2856edc6a207add628079ec49879a2034a20,https://mis.nyiso.com/public/csv/palIntegrated/20190701palIntegrated_csv.zip
NYISO:ExternalLimitsFlows:20190717,System Matpower Format\NY_Lite\nyiso_public_cache\201907_ExternalLimitsFlows\20190701ExternalLimitsFlows_csv.zip,f7fe091f7a2c30adfcd0416df9ff42546449c6363a109187fa9b90e253d0b024,20190717ExternalLimitsFlows.csv,99ed520a7f0eac0330442c06cecb8ad784305e827bfb96010ee7e4f8b000e78c,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20190701ExternalLimitsFlows_csv.zip
NYISO:palIntegrated:20190727,System Matpower Format\NY_Lite\nyiso_public_cache\201907_palIntegrated\20190701palIntegrated_csv.zip,15e32aba8757e1a874413d4ad52d9b4e607d8802a1b36c3222a164f70d06a504,20190727palIntegrated.csv,8c91db9ba21e1ad351f5320ceea89d564693f7e40e1d3091afa47aacb201b02d,https://mis.nyiso.com/public/csv/palIntegrated/20190701palIntegrated_csv.zip
NYISO:ExternalLimitsFlows:20190727,System Matpower Format\NY_Lite\nyiso_public_cache\201907_ExternalLimitsFlows\20190701ExternalLimitsFlows_csv.zip,f7fe091f7a2c30adfcd0416df9ff42546449c6363a109187fa9b90e253d0b024,20190727ExternalLimitsFlows.csv,be93c5430e76903b4ac5b906522e508122dcdb9e35bca788bca0ba466c6a5bd9,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20190701ExternalLimitsFlows_csv.zip
NYISO:palIntegrated:20250729,System Matpower Format\NY_Lite\nyiso_public_cache\202507_palIntegrated\20250701palIntegrated_csv.zip,e76ec9ebb38365b03f8bc52077e9be683bffcf13ea93817ce1a39ba2e0de8cfb,20250729palIntegrated.csv,b23468a5a4f4203b7624e1cf3b2a307a935dbb0fc2e278d92d8af2665d45e728,https://mis.nyiso.com/public/csv/palIntegrated/20250701palIntegrated_csv.zip
