interface_name,operator_kind,exact_public_operator
Dysinger_East,conceptual_zone_cut_not_exact_public_operator,0
West_Central,conceptual_zone_cut_not_exact_public_operator,0
Moses_South,conceptual_zone_cut_not_exact_public_operator,0
Central_East,conceptual_zone_cut_not_exact_public_operator,0
Total_East_proxy,conceptual_zone_cut_not_exact_public_operator,0
UPNY_ConEd,source_six_circuit_nonintersecting_local_proxy_public_gaps_remain,0
Dunwoodie_South,conceptual_zone_cut_not_exact_public_operator,0
