source_bus,pd_gross_mw,qd_gross_mvar,p_boundary_mw,q_boundary_mvar,pd_effective_mw,qd_effective_mvar
176,8.36,0,0,0,8.36,0
177,4.18,0,0,0,4.18,0
178,12.54,0,0,0,12.54,0
179,8.36,0,0,0,8.36,0
180,8.36,0,0,0,8.36,0
181,8.36,0,0,0,8.36,0
182,8.36,0,0,0,8.36,0
183,8.36,0,0,0,8.36,0
184,8.36,0,0,0,8.36,0
185,8.36,0,0,0,8.36,0
186,6.23,0,0,0,6.23,0
187,4.15,0,0,0,4.15,0
188,4.15,0,0,0,4.15,0
189,2.08,0,0,0,2.08,0
190,29.62,0,0,0,29.62,0
191,29.62,0,0,0,29.62,0
192,44.43,0,0,0,44.43,0
193,59.24,0,0,0,59.24,0
194,20.53,0,0,0,20.53,0
195,6.84,0,0,0,6.84,0
196,6.84,0,0,0,6.84,0
197,14.4,0,0,0,14.4,0
198,14.4,0,0,0,14.4,0
199,14.4,0,0,0,14.4,0
200,21.6,0,0,0,21.6,0
201,14.4,0,0,0,14.4,0
202,8.36,0,0,0,8.36,0
203,4.15,0,0,0,4.15,0
204,6.23,0,0,0,6.23,0
205,8.31,0,0,0,8.31,0
206,4.15,0,0,0,4.15,0
207,4.18,0,0,0,4.18,0
208,12.54,0,0,0,12.54,0
209,14.4,0,0,0,14.4,0
210,14.4,0,0,0,14.4,0
211,14.4,0,0,0,14.4,0
212,14.4,0,0,0,14.4,0
213,14.4,0,0,0,14.4,0
214,21.6,0,0,0,21.6,0
215,14.4,0,0,0,14.4,0
216,57.59,0,0,0,57.59,0
217,14.4,0,0,0,14.4,0
218,14.4,0,0,0,14.4,0
219,14.4,0,0,0,14.4,0
220,43.2,0,0,0,43.2,0
221,14.4,0,0,0,14.4,0
222,7.2,0,0,0,7.2,0
223,5.05,0,0,0,5.05,0
224,2.53,0,0,0,2.53,0
225,2.27,0,0,0,2.27,0
226,2.27,0,0,0,2.27,0
227,2.53,0,0,0,2.53,0
228,30.67,0,0,0,30.67,0
229,14.4,0,0,0,14.4,0
230,5.05,0,0,0,5.05,0
231,5.05,0,0,0,5.05,0
232,5.05,0,0,0,5.05,0
233,5.05,0,0,0,5.05,0
234,5.05,0,0,0,5.05,0
235,2.53,0,0,0,2.53,0
236,12.63,0,0,0,12.63,0
237,2.53,0,0,0,2.53,0
238,2.53,0,0,0,2.53,0
239,7.2,0,0,0,7.2,0
240,14.4,0,0,0,14.4,0
241,14.4,0,0,0,14.4,0
242,36,0,0,0,36,0
243,7.2,0,0,0,7.2,0
244,7.2,0,0,0,7.2,0
245,7.2,0,0,0,7.2,0
246,14.4,0,0,0,14.4,0
247,7.2,0,0,0,7.2,0
248,7.2,0,0,0,7.2,0
249,14.4,0,0,0,14.4,0
250,28.8,0,0,0,28.8,0
251,2.53,0,0,0,2.53,0
252,5.05,0,0,0,5.05,0
253,5.05,0,0,0,5.05,0
254,0,0,0,0,0,0
255,5.05,0,0,0,5.05,0
256,12.63,0,0,0,12.63,0
257,5.05,0,0,0,5.05,0
258,5.05,0,0,0,5.05,0
259,2.53,0,0,0,2.53,0
260,2.53,0,0,0,2.53,0
261,2.53,0,0,0,2.53,0
262,5.05,0,0,0,5.05,0
263,5.05,0,0,0,5.05,0
264,17.68,0,0,0,17.68,0
265,5.05,0,0,0,5.05,0
266,11.05,0,0,0,11.05,0
267,5.05,0,0,0,5.05,0
268,5.05,0,0,0,5.05,0
269,40.4,0,0,0,40.4,0
270,12.63,0,0,0,12.63,0
271,10.1,0,0,0,10.1,0
272,5.05,0,0,0,5.05,0
273,2.53,0,0,0,2.53,0
274,5.05,0,0,0,5.05,0
275,2.53,0,0,0,2.53,0
276,2.53,0,0,0,2.53,0
277,12.63,0,0,0,12.63,0
278,7.58,0,0,0,7.58,0
279,7.58,0,0,0,7.58,0
280,5.05,0,0,0,5.05,0
281,5.05,0,0,0,5.05,0
282,5.05,0,0,0,5.05,0
283,5.05,0,0,0,5.05,0
284,2.53,0,0,0,2.53,0
285,2.53,0,0,0,2.53,0
286,10.1,0,0,0,10.1,0
287,5.05,0,0,0,5.05,0
288,7.58,0,0,0,7.58,0
289,5.05,0,0,0,5.05,0
290,10.1,0,0,0,10.1,0
291,10.1,0,0,0,10.1,0
292,5.05,0,0,0,5.05,0
293,5.05,0,0,0,5.05,0
294,0,0,0,0,0,0
295,2.53,0,0,0,2.53,0
296,5.05,0,0,0,5.05,0
297,5.05,0,0,0,5.05,0
298,0,0,0,0,0,0
299,2.53,0,0,0,2.53,0
300,5.05,0,0,0,5.05,0
301,2.53,0,0,0,2.53,0
302,7.58,0,0,0,7.58,0
303,5.05,0,0,0,5.05,0
304,2.53,0,0,0,2.53,0
305,5.05,0,0,0,5.05,0
306,5.05,0,0,0,5.05,0
307,5.05,0,0,0,5.05,0
308,2.53,0,0,0,2.53,0
309,10.1,0,0,0,10.1,0
310,5.05,0,0,0,5.05,0
311,5.05,0,0,0,5.05,0
312,5.05,0,0,0,5.05,0
313,0,0,0,0,0,0
314,5.05,0,0,0,5.05,0
315,0,0,0,0,0,0
316,5.05,0,0,0,5.05,0
317,2.53,0,0,0,2.53,0
318,2.53,0,0,0,2.53,0
319,5.05,0,0,0,5.05,0
320,5.05,0,0,0,5.05,0
321,2.53,0,0,0,2.53,0
322,5.05,0,0,0,5.05,0
323,5.05,0,0,0,5.05,0
324,2.53,0,0,0,2.53,0
325,5.05,0,0,0,5.05,0
326,5.05,0,0,0,5.05,0
327,5.05,0,0,0,5.05,0
328,8.36,0,0,0,8.36,0
329,16.71,0,0,0,16.71,0
330,0,0,0,0,0,0
331,0,0,0,0,0,0
332,0,0,0,0,0,0
333,8.36,0,0,0,8.36,0
334,41.79,0,0,0,41.79,0
335,8.36,0,0,0,8.36,0
336,12.54,0,0,0,12.54,0
337,0,0,0,0,0,0
338,8.36,0,0,0,8.36,0
339,4.18,0,0,0,4.18,0
340,4.18,0,0,0,4.18,0
341,8.36,0,0,0,8.36,0
342,8.36,0,0,0,8.36,0
343,12.54,0,0,0,12.54,0
344,12.54,0,0,0,12.54,0
345,8.36,0,0,0,8.36,0
346,8.36,0,0,0,8.36,0
347,8.36,0,0,0,8.36,0
348,8.36,0,0,0,8.36,0
349,4.18,0,0,0,4.18,0
350,8.36,0,0,0,8.36,0
351,8.36,0,0,0,8.36,0
352,4.18,0,0,0,4.18,0
353,28.21,0,0,0,28.21,0
354,8.36,0,0,0,8.36,0
355,8.36,0,0,0,8.36,0
356,3.17,0,0,0,3.17,0
357,0,0,0,0,0,0
358,0,0,0,0,0,0
359,12.54,0,0,0,12.54,0
360,8.36,0,0,0,8.36,0
361,4.18,0,0,0,4.18,0
362,4.18,0,0,0,4.18,0
363,8.36,0,0,0,8.36,0
364,4.18,0,0,0,4.18,0
365,8.36,0,0,0,8.36,0
366,4.15,0,0,0,4.15,0
367,2.08,0,0,0,2.08,0
368,4.15,0,0,0,4.15,0
369,2.08,0,0,0,2.08,0
370,2.08,0,0,0,2.08,0
371,4.15,0,0,0,4.15,0
372,8.31,0,0,0,8.31,0
373,2.08,0,0,0,2.08,0
374,12.46,0,0,0,12.46,0
375,4.15,0,0,0,4.15,0
376,2.08,0,0,0,2.08,0
377,2.08,0,0,0,2.08,0
378,6.23,0,0,0,6.23,0
379,6.23,0,0,0,6.23,0
380,14.54,0,0,0,14.54,0
381,2.08,0,0,0,2.08,0
382,4.15,0,0,0,4.15,0
383,8.31,0,0,0,8.31,0
384,2.08,0,0,0,2.08,0
385,4.15,0,0,0,4.15,0
386,2.08,0,0,0,2.08,0
387,4.15,0,0,0,4.15,0
388,6.23,0,0,0,6.23,0
389,2.08,0,0,0,2.08,0
390,4.15,0,0,0,4.15,0
391,4.15,0,0,0,4.15,0
392,2.08,0,0,0,2.08,0
393,4.15,0,0,0,4.15,0
394,4.15,0,0,0,4.15,0
395,0,0,0,0,0,0
396,2.08,0,0,0,2.08,0
397,2.08,0,0,0,2.08,0
398,2.08,0,0,0,2.08,0
399,4.15,0,0,0,4.15,0
400,4.94,0,0,0,4.94,0
401,2.08,0,0,0,2.08,0
402,4.15,0,0,0,4.15,0
403,4.15,0,0,0,4.15,0
404,2.08,0,0,0,2.08,0
405,2.08,0,0,0,2.08,0
406,2.08,0,0,0,2.08,0
407,2.08,0,0,0,2.08,0
408,2.08,0,0,0,2.08,0
409,2.08,0,0,0,2.08,0
410,2.08,0,0,0,2.08,0
411,4.15,0,0,0,4.15,0
412,8.31,0,0,0,8.31,0
413,6.23,0,0,0,6.23,0
414,4.15,0,0,0,4.15,0
415,20.77,0,0,0,20.77,0
416,2.08,0,0,0,2.08,0
417,4.15,0,0,0,4.15,0
418,8.31,0,0,0,8.31,0
419,4.15,0,0,0,4.15,0
420,4.15,0,0,0,4.15,0
421,4.15,0,0,0,4.15,0
422,4.15,0,0,0,4.15,0
423,8.31,0,0,0,8.31,0
424,4.15,0,0,0,4.15,0
425,2.08,0,0,0,2.08,0
426,4.15,0,0,0,4.15,0
427,4.15,0,0,0,4.15,0
428,4.15,0,0,0,4.15,0
429,6.23,0,0,0,6.23,0
430,4.15,0,0,0,4.15,0
431,4.15,0,0,0,4.15,0
432,4.15,0,0,0,4.15,0
433,2.08,0,0,0,2.08,0
434,8.31,0,0,0,8.31,0
435,4.15,0,0,0,4.15,0
436,2.08,0,0,0,2.08,0
437,2.08,0,0,0,2.08,0
438,2.08,0,0,0,2.08,0
439,2.08,0,0,0,2.08,0
440,4.15,0,0,0,4.15,0
441,4.15,0,0,0,4.15,0
442,2.08,0,0,0,2.08,0
443,2.08,0,0,0,2.08,0
444,2.08,0,0,0,2.08,0
445,4.15,0,0,0,4.15,0
446,2.08,0,0,0,2.08,0
447,6.23,0,0,0,6.23,0
448,6.84,0,0,0,6.84,0
449,44.43,0,0,0,44.43,0
450,44.43,0,0,0,44.43,0
451,3.42,0,0,0,3.42,0
452,6.84,0,0,0,6.84,0
453,6.84,0,0,0,6.84,0
454,3.42,0,0,0,3.42,0
455,4.15,0,0,0,4.15,0
456,2.08,0,0,0,2.08,0
457,4.15,0,0,0,4.15,0
458,2.08,0,0,0,2.08,0
459,4.15,0,0,0,4.15,0
460,2.08,0,0,0,2.08,0
461,4.15,0,0,0,4.15,0
462,6.84,0,0,0,6.84,0
463,3.42,0,0,0,3.42,0
464,6.84,0,0,0,6.84,0
465,3.42,0,0,0,3.42,0
466,3.42,0,0,0,3.42,0
467,3.42,0,0,0,3.42,0
468,3.42,0,0,0,3.42,0
469,3.42,0,0,0,3.42,0
470,3.42,0,0,0,3.42,0
471,3.42,0,0,0,3.42,0
472,6.84,0,0,0,6.84,0
473,3.42,0,0,0,3.42,0
474,34.22,0,0,0,34.22,0
475,6.84,0,0,0,6.84,0
476,6.84,0,0,0,6.84,0
477,6.84,0,0,0,6.84,0
478,6.84,0,0,0,6.84,0
479,1.54,0,0,0,1.54,0
480,6.84,0,0,0,6.84,0
481,6.84,0,0,0,6.84,0
482,6.84,0,0,0,6.84,0
483,14.58,0,0,0,14.58,0
484,6.84,0,0,0,6.84,0
485,29.62,0,0,0,29.62,0
486,3.42,0,0,0,3.42,0
487,6.84,0,0,0,6.84,0
488,3.42,0,0,0,3.42,0
489,10.27,0,0,0,10.27,0
490,6.84,0,0,0,6.84,0
491,3.42,0,0,0,3.42,0
492,3.42,0,0,0,3.42,0
493,2.08,0,0,0,2.08,0
494,2.08,0,0,0,2.08,0
495,10.39,0,0,0,10.39,0
496,4.15,0,0,0,4.15,0
497,6.23,0,0,0,6.23,0
498,4.15,0,0,0,4.15,0
499,4.15,0,0,0,4.15,0
500,1.87,0,0,0,1.87,0
501,4.7,0,0,0,4.7,0
502,3.42,0,0,0,3.42,0
503,13.69,0,0,0,13.69,0
504,3.42,0,0,0,3.42,0
505,6.84,0,0,0,6.84,0
506,6.84,0,0,0,6.84,0
507,13.69,0,0,0,13.69,0
508,6.84,0,0,0,6.84,0
509,13.69,0,0,0,13.69,0
510,9.92,0,0,0,9.92,0
511,13.69,0,0,0,13.69,0
512,20.76,0,0,0,20.76,0
513,6.84,0,0,0,6.84,0
514,8.26,0,0,0,8.26,0
515,11.58,0,0,0,11.58,0
516,18.36,0,0,0,18.36,0
517,6.84,0,0,0,6.84,0
518,11.58,0,0,0,11.58,0
519,18.36,0,0,0,18.36,0
520,8.26,0,0,0,8.26,0
521,3.42,0,0,0,3.42,0
522,7.74,0,0,0,7.74,0
523,10.27,0,0,0,10.27,0
524,22.49,0,0,0,22.49,0
525,8.26,0,0,0,8.26,0
526,0.93,0,0,0,0.93,0
527,8.26,0,0,0,8.26,0
528,18.36,0,0,0,18.36,0
529,0,0,0,0,0,0
530,0,0,0,0,0,0
531,18.36,0,0,0,18.36,0
532,18.36,0,0,0,18.36,0
533,8.26,0,0,0,8.26,0
534,8.26,0,0,0,8.26,0
535,39.52,0,0,0,39.52,0
536,55.69,0,0,0,55.69,0
537,36.73,0,0,0,36.73,0
538,18.36,0,0,0,18.36,0
539,12.39,0,0,0,12.39,0
540,4.13,0,0,0,4.13,0
541,9.28,0,0,0,9.28,0
542,9.18,0,0,0,9.18,0
543,9.18,0,0,0,9.18,0
544,18.56,0,0,0,18.56,0
545,9.28,0,0,0,9.28,0
546,24.52,0,0,0,24.52,0
547,0,0,0,0,0,0
548,13.91,0,0,0,13.91,0
549,27.82,0,0,0,27.82,0
550,106.01,0,0,0,106.01,0
551,13.91,0,0,0,13.91,0
552,50.95,0,0,0,50.95,0
553,55.98,0,0,0,55.98,0
554,82.22,0,0,0,82.22,0
555,46.58,0,0,0,46.58,0
556,363.64,0,0,0,363.64,0
557,0,0,0,0,0,0
558,6.96,0,0,0,6.96,0
559,33.39,0,0,0,33.39,0
560,0,0,0,0,0,0
561,27.82,0,0,0,27.82,0
562,0,0,0,0,0,0
563,3.42,0,0,0,3.42,0
564,6.96,0,0,0,6.96,0
565,94.71,0,0,0,94.71,0
566,2.53,0,0,0,2.53,0
567,34.78,0,0,0,34.78,0
568,13.91,0,0,0,13.91,0
569,20.87,0,0,0,20.87,0
570,113.23,0,0,0,113.23,0
571,0,0,129.999995,60.3460421186898,-129.999995,-60.3460421186898
572,31.27,0,0,0,31.27,0
573,2.08,0,0,0,2.08,0
574,2.08,0,0,0,2.08,0
575,4.18,0,0,0,4.18,0
576,2.08,0,0,0,2.08,0
577,13.91,0,0,0,13.91,0
578,13.91,0,0,0,13.91,0
579,2.08,0,0,0,2.08,0
580,0,0,150,13.6085200552221,-150,-13.6085200552221
581,16.69,0,0,0,16.69,0
582,15.3,0,0,0,15.3,0
583,13.91,0,0,0,13.91,0
584,22.26,0,0,0,22.26,0
585,13.91,0,0,0,13.91,0
586,13.91,0,0,0,13.91,0
587,13.91,0,0,0,13.91,0
588,27.82,0,0,0,27.82,0
589,0,0,0,0,0,0
590,0,0,0,0,0,0
591,48.69,0,0,0,48.69,0
592,20.87,0,0,0,20.87,0
593,0,0,0,0,0,0
594,0,0,0,0,0,0
595,440.64,0,0,0,440.64,0
596,522.5,0,0,0,522.5,0
597,636.38,0,0,0,636.38,0
598,27.82,0,0,0,27.82,0
599,272.73,0,0,0,272.73,0
600,557.76,0,0,0,557.76,0
601,555.17,0,0,0,555.17,0
602,6.96,0,0,0,6.96,0
603,47.11,0,0,0,47.11,0
604,31.72,0,0,0,31.72,0
605,13.91,0,0,0,13.91,0
606,20.87,0,0,0,20.87,0
607,13.91,0,0,0,13.91,0
608,148.8,0,0,0,148.8,0
609,50.64,0,0,0,50.64,0
610,6.96,0,0,0,6.96,0
611,27.71,0,0,0,27.71,0
612,6.96,0,0,0,6.96,0
613,13.91,0,0,0,13.91,0
614,41.74,0,0,0,41.74,0
615,20.87,0,0,0,20.87,0
616,13.91,0,0,0,13.91,0
617,13.91,0,0,0,13.91,0
618,13.91,0,0,0,13.91,0
619,19.67,0,0,0,19.67,0
620,34.78,0,0,0,34.78,0
621,29.22,0,0,0,29.22,0
622,29.22,-10.28,0,0,29.22,-10.28
623,202.2,0,0,0,202.2,0
624,34.78,0,0,0,34.78,0
625,13.91,0,0,0,13.91,0
626,36.17,0,0,0,36.17,0
627,6.96,0,0,0,6.96,0
628,460.38,0,0,0,460.38,0
629,454.55,0,0,0,454.55,0
630,0,0,0,0,0,0
631,10.27,0,0,0,10.27,0
632,3.42,0,0,0,3.42,0
633,3.42,0,0,0,3.42,0
634,3.42,0,0,0,3.42,0
635,10.27,0,0,0,10.27,0
636,3.42,0,0,0,3.42,0
637,0,0,0,0,0,0
638,12.39,0,0,0,12.39,0
639,16.51,0,0,0,16.51,0
640,8.26,0,0,0,8.26,0
641,12.39,0,0,0,12.39,0
642,18.36,0,0,0,18.36,0
643,18.36,0,0,0,18.36,0
644,0,0,0,0,0,0
645,27.55,0,0,0,27.55,0
646,18.36,0,0,0,18.36,0
647,29.94,0,0,0,29.94,0
648,18.36,0,0,0,18.36,0
649,39.53,0,0,0,39.53,0
650,8.26,0,0,0,8.26,0
651,0,0,-800.37899,43.4104129646257,800.37899,-43.4104129646257
652,6.97,0,0,0,6.97,0
653,4.13,0,0,0,4.13,0
654,12.39,0,0,0,12.39,0
655,16.51,0,0,0,16.51,0
656,10.27,0,0,0,10.27,0
657,10.27,0,0,0,10.27,0
658,10.27,0,0,0,10.27,0
659,27.55,0,0,0,27.55,0
660,27.55,0,0,0,27.55,0
661,16.51,0,0,0,16.51,0
662,16.51,0,0,0,16.51,0
663,12.39,0,0,0,12.39,0
664,6.84,0,0,0,6.84,0
665,10.27,0,0,0,10.27,0
666,16.15,0,0,0,16.15,0
667,12.39,0,0,0,12.39,0
668,6.84,0,0,0,6.84,0
669,6.84,0,0,0,6.84,0
670,4.13,0,0,0,4.13,0
671,6.97,0,0,0,6.97,0
672,6.84,0,0,0,6.84,0
673,6.84,0,0,0,6.84,0
674,10.27,0,0,0,10.27,0
675,10.27,0,0,0,10.27,0
676,10.27,0,0,0,10.27,0
677,10.27,0,0,0,10.27,0
678,10.27,0,0,0,10.27,0
679,10.27,0,0,0,10.27,0
680,10.27,0,0,0,10.27,0
681,10.27,0,0,0,10.27,0
682,6.84,0,0,0,6.84,0
683,20.53,0,0,0,20.53,0
684,10.27,0,0,0,10.27,0
685,3.42,0,0,0,3.42,0
686,10.27,0,0,0,10.27,0
687,10.27,0,0,0,10.27,0
688,10.27,0,0,0,10.27,0
689,10.27,0,0,0,10.27,0
690,10.27,0,0,0,10.27,0
691,10.27,0,0,0,10.27,0
692,10.27,0,0,0,10.27,0
693,10.27,0,0,0,10.27,0
694,6.84,0,0,0,6.84,0
695,6.84,0,0,0,6.84,0
696,10.27,0,0,0,10.27,0
697,10.27,0,0,0,10.27,0
698,10.27,0,0,0,10.27,0
699,10.27,0,0,0,10.27,0
700,10.27,0,0,0,10.27,0
701,10.27,0,0,0,10.27,0
702,6.84,0,0,0,6.84,0
703,6.84,0,0,0,6.84,0
704,13.69,0,0,0,13.69,0
705,10.27,0,0,0,10.27,0
706,13.69,0,0,0,13.69,0
707,10.27,0,0,0,10.27,0
708,10.27,0,0,0,10.27,0
709,10.27,0,0,0,10.27,0
710,10.27,0,0,0,10.27,0
711,10.27,0,0,0,10.27,0
712,10.27,0,0,0,10.27,0
713,10.27,0,0,0,10.27,0
714,10.27,0,0,0,10.27,0
715,10.27,0,0,0,10.27,0
716,10.27,0,0,0,10.27,0
717,10.27,0,0,0,10.27,0
718,8.14,0,0,0,8.14,0
719,6.84,0,0,0,6.84,0
720,13.69,0,0,0,13.69,0
721,6.84,0,0,0,6.84,0
722,0,0,0,0,0,0
723,3.42,0,0,0,3.42,0
724,16.28,0,0,0,16.28,0
725,6.84,0,0,0,6.84,0
726,6.84,0,0,0,6.84,0
727,6.84,0,0,0,6.84,0
728,6.84,0,0,0,6.84,0
729,3.42,0,0,0,3.42,0
730,6.84,0,0,0,6.84,0
731,20.87,0,0,0,20.87,0
732,22.26,0,0,0,22.26,0
733,22.26,0,0,0,22.26,0
734,20.87,0,0,0,20.87,0
735,6.96,0,0,0,6.96,0
736,48.69,0,0,0,48.69,0
737,34.78,0,0,0,34.78,0
738,15.3,0,0,0,15.3,0
739,30.61,0,0,0,30.61,0
740,30.61,0,0,0,30.61,0
741,12.39,0,0,0,12.39,0
742,10.27,0,0,0,10.27,0
743,10.27,0,0,0,10.27,0
744,10.27,0,0,0,10.27,0
745,10.27,0,0,0,10.27,0
746,10.27,0,0,0,10.27,0
747,10.27,0,0,0,10.27,0
748,10.27,0,0,0,10.27,0
749,10.27,0,0,0,10.27,0
