gen_row,device_key,source_bus,online,source_prior_pg_mw,reconstructed_pg_mw,pg_movement_mw,source_prior_qg_mvar,reconstructed_qg_mvar,qg_movement_mvar
1,PERFORM2019:GEN:6:1,6,1,2.744616,2.74321304955024,-0.00140295044976257,-0.188632693098334,0.0570728504466677,0.245705543545002
2,PERFORM2019:GEN:6:2,6,1,2.744616,2.74321304955024,-0.00140295044976257,-0.188632693098334,0.0570728504466677,0.245705543545002
3,PERFORM2019:GEN:6:3,6,1,2.94066,2.93954100814958,-0.00111899185042175,-0.229679080140557,0.0458089535311122,0.275488033671669
4,PERFORM2019:GEN:6:4,6,1,2.94066,2.93954100814958,-0.00111899185042175,-0.229679080140557,0.0458089535311122,0.275488033671669
5,PERFORM2019:GEN:15:1,15,1,7.841761,7.84182137139733,6.03713973310605e-05,-1.23151922527252,-0.890905338524044,0.340613886748476
6,PERFORM2019:GEN:15:2,15,1,7.841761,7.84182137139733,6.03713973310605e-05,-1.23151922527252,-0.890905338524044,0.340613886748476
7,PERFORM2019:GEN:17:1,17,0,0,0,0,0,0,0
8,PERFORM2019:GEN:17:2,17,1,11.4,11.4136023530851,0.0136023530851119,-5.27524139664097,1.32550204420233,6.60074344084331
9,PERFORM2019:GEN:17:3,17,1,11,11.0136226062618,0.0136226062617855,-5.27524139664097,1.32550204420233,6.60074344084331
10,PERFORM2019:GEN:17:4,17,1,11.2,11.2136114123838,0.0136114123838027,-5.27524139664097,1.32550204420233,6.60074344084331
11,PERFORM2019:GEN:17:5,17,1,11.4,11.4136023530851,0.0136023530851119,-5.27524139664097,1.32550204420233,6.60074344084331
12,PERFORM2019:GEN:17:6,17,1,10.7,10.7136423063841,0.0136423063840816,-5.27524139664097,1.32550204420233,6.60074344084331
13,PERFORM2019:GEN:17:7,17,1,9,9.0137410512146,0.0137410512146019,-5.27524139664097,1.32550204420233,6.60074344084331
14,PERFORM2019:GEN:17:8,17,1,29.800001,29.8138523254089,0.0138513254089396,-12.2517182169731,3.08889878909534,15.3406170060684
15,PERFORM2019:GEN:17:9,17,0,0,0,0,0,0,0
16,PERFORM2019:GEN:17:10,17,0,0,0,0,0,0,0
17,PERFORM2019:GEN:17:11,17,1,30.000001,30.0138419377851,0.0138409377850657,-12.2517182169731,3.08889878909534,15.3406170060684
18,PERFORM2019:GEN:17:12,17,1,183.000004,183.000158236195,0.00015423619493049,-55.0969688418134,13.8441305404655,68.9410993822789
19,PERFORM2019:GEN:17:13,17,1,183.000004,183.000158236195,0.00015423619493049,-55.0969688418134,13.8441305404655,68.9410993822789
20,PERFORM2019:GEN:18:1,18,1,15.898612,15.8986003005354,-1.16994645704693e-05,-5.76143235386556,-2.38962322254815,3.37180913131741
21,PERFORM2019:GEN:18:2,18,1,52.664155,52.6642593253945,0.000104325394467253,-19.1189187990227,-7.9322395456415,11.1866792533812
22,PERFORM2019:GEN:18:3,18,1,52.664155,52.6642593253945,0.000104325394467253,-19.1189187990227,-7.9322395456415,11.1866792533812
23,PERFORM2019:GEN:18:4,18,1,54.651493,54.6515990796374,0.0001060796373622,-19.8390976849972,-8.23094211458623,11.6081555704109
24,PERFORM2019:GEN:18:5,18,0,0,0,0,0,0,0
25,PERFORM2019:GEN:19:1,19,1,15.898612,15.8985811713349,-3.08286650536616e-05,0.692870978487022,-1.55394003888097,-2.24681101736799
26,PERFORM2019:GEN:19:2,19,0,0,0,0,0,0,0
27,PERFORM2019:GEN:19:3,19,1,384.54771,384.548173036762,0.000463036761573221,16.7582628396604,-37.5981805496005,-54.356443389261
