source_gen_row,source_bus,source_generator_id,device_key,source_device_role,canonical_status,raw_status,source_pg_mw,source_qg_mvar,proposed_schedule_group,boundary_member,effective_pg_mw,effective_qg_mvar,legacy_schedule_member,reconciliation_reason
30,19,X,PERFORM2019:GEN:19:X,external_boundary_proxy,1,1,129.999995,-12.677054,SCH - NPX_1385,1,129.999995,-12.677054,1,present_in_legacy_schedule_map
74,69,X,PERFORM2019:GEN:69:X,external_boundary_proxy,0,1,8,-1.972762,SCH - PJ - NY,1,0,-0,0,legacy_fixed_P_heuristic_omitted_colocated_variable_P_import_canonical_offline
91,81,X,PERFORM2019:GEN:81:X,external_boundary_proxy,0,1,5,1.054758,SCH - PJ - NY,1,0,0,1,present_in_legacy_schedule_map
220,571,X,PERFORM2019:GEN:571:X,external_boundary_proxy,1,1,129.999995,39.452526,SCH - PJ - NY,1,129.999995,39.452526,1,present_in_legacy_schedule_map
229,580,X,PERFORM2019:GEN:580:X,external_boundary_proxy,1,1,150,13.597302,SCH - PJM_NEPTUNE,1,150,13.597302,1,present_in_legacy_schedule_map
292,651,X,PERFORM2019:GEN:651:X,external_boundary_proxy,1,1,-800.37899,42.484131,SCH - NE - NY,1,-800.37899,42.484131,1,present_in_legacy_schedule_map
325,756,X,PERFORM2019:GEN:756:X,external_boundary_proxy,0,1,8.169051,-1.3788,SCH - PJ - NY,1,0,-0,1,present_in_legacy_schedule_map
331,773,X,PERFORM2019:GEN:773:X,external_boundary_proxy,1,1,159.621,49.418005,SCH - PJ - NY,1,159.621,49.418005,1,present_in_legacy_schedule_map
333,799,X,PERFORM2019:GEN:799:X,external_boundary_proxy,1,1,-835.999966,57.661134,SCH - NE - NY,1,-835.999966,57.661134,1,present_in_legacy_schedule_map
455,1132,X,PERFORM2019:GEN:1132:X,external_boundary_proxy,1,1,199.620998,264.11047,SCH - PJ - NY,1,199.620998,264.11047,1,present_in_legacy_schedule_map
487,1136,X,PERFORM2019:GEN:1136:X,external_boundary_proxy,1,1,100,317.011642,SCH - PJM_HTP,1,100,317.011642,1,present_in_legacy_schedule_map
494,1148,X,PERFORM2019:GEN:1148:X,external_boundary_proxy,1,1,234.99999,364.802074,SCH - NPX_CSC,1,234.99999,364.802074,1,present_in_legacy_schedule_map
530,1231,X,PERFORM2019:GEN:1231:X,external_boundary_proxy,1,1,750,57.75519,SCH - HQ - NY,1,750,57.75519,1,present_in_legacy_schedule_map
537,1263,RF,PERFORM2019:GEN:1263:RF,reference_placeholder,1,1,-0.070196,-721.10734,UNASSIGNED_REFERENCE,0,-0.070196,-721.10734,0,reference_placeholder_is_not_an_external_schedule
559,1313,X,PERFORM2019:GEN:1313:X,external_boundary_proxy,1,1,200,-37.255606,SCH - OH - NY,1,200,-37.255606,1,present_in_legacy_schedule_map
560,1320,X,PERFORM2019:GEN:1320:X,external_boundary_proxy,0,1,8,-1.985189,SCH - PJ - NY,1,0,-0,1,present_in_legacy_schedule_map
567,1413,X,PERFORM2019:GEN:1413:X,external_boundary_proxy,0,1,8.169051,-2.260315,SCH - PJ - NY,1,0,-0,1,present_in_legacy_schedule_map
612,1528,X,PERFORM2019:GEN:1528:X,external_boundary_proxy,1,1,149.772,-54.775769,SCH - PJM_VFT,1,149.772,-54.775769,1,present_in_legacy_schedule_map
613,1546,X,PERFORM2019:GEN:1546:X,external_boundary_proxy,1,1,200,-27.783242,SCH - HQ - NY,1,200,-27.783242,1,present_in_legacy_schedule_map
614,1558,X,PERFORM2019:GEN:1558:X,external_boundary_proxy,0,1,8.169051,-4.125213,SCH - PJ - NY,1,0,-0,1,present_in_legacy_schedule_map
615,1570,X,PERFORM2019:GEN:1570:X,external_boundary_proxy,1,1,525,-34.726679,SCH - OH - NY,1,525,-34.726679,1,present_in_legacy_schedule_map
