attempt,solver_or_pf_converged,all_declared_limits_passed,relaxation_used
original_source_snapshot,1,0,0
fixed_control_repair,1,1,0
bounded_prior_only_reconstruction,1,1,0
independent_fixed_input_replay,1,1,0
