zone,zone_name,perform_native_dispatch_mw,perform_import_dispatch_mw,perform_native_online_pmax_mw,perform_native_all_pmax_mw,goldbook_2025_summer_capability_mw,perform_minus_goldbook_capability_mw,perform_to_goldbook_capability_ratio,perform_native_dispatch_share,perform_native_pmax_share,goldbook_capability_share
A,WEST,2640.509778,725,3832.699941,5206.799973,3492.4,1714.399973,1.49089450607032,0.090788538180098,0.121144436180467,0.092639307778211
B,GENESE,719.814411,0,724.999992,894.499997,780.5,113.999997,1.14606021396541,0.0247493490386379,0.020811957125666,0.0207035218534228
C,CENTRL,4529.057633,0,4552.300085,6515.70001,6781.1,-265.39999,0.960861808556134,0.155722400749801,0.151598065630649,0.179875274875394
D,NORTH,623.55285,0,627.900018,913.500013,1918.5,-1004.999987,0.476153251498567,0.0214395917792863,0.0212540225473599,0.0508900790208733
E,MHK VL,1652.631581,949.929804,2005.199996,2307.999994,1293.1,1014.899994,1.7848580883149,0.0568223631055436,0.0536992700751964,0.0343007355652287
F,CAPITL,3395.065848,-835.999966,3608.900002,3846.400002,4775.6,-929.199998,0.805427590669235,0.1167324082392,0.0894925793161133,0.126677436211667
G,HUD VL,3097.21348,-640.75799,4000.600004,5182.400025,4704,478.400024999999,1.10170068558673,0.106491362623878,0.120576732800537,0.12477817655157
H,MILLWD,0,0,0,15.4,53.5,-38.1,0.28785046728972,0,0.000358305355852624,0.00141913955049086
I,DUNWOD,59.321702,0,59.7,2370.69997,0,2370.69997,NaN,0.00203965561945948,0.0551580841799127,0
J,N.Y.C.,8241.503951,579.392993,8633.500025,10081.700022,8704.7,1377.000022,1.15819040541317,0.283367288525448,0.234566695713125,0.23090063635809
K,LONGIL,4125.504268,514.999985,4434.099949,5644.999924,5195.5,449.499924,1.08651716369936,0.141847042138647,0.131339851075121,0.137815692235052
