corridor_name,direct_match,branch_index,from_zone,to_zone,from_bus,from_name,to_bus,to_name,r_pu,x_pu,b_pu,rate_a_mva,rate_b_mva,rate_c_mva,tap_ratio,shift_deg,status,pf_mw,qf_mvar,pt_mw,qt_mvar
EDIC_GILBOA,0,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GILBOA_LEEDS,1,1635,G,F,818,LEEDS,1227,GILBOA,0.00131,0.01997,0.51614,1216,2454,1804,1,0,1,-706.082047725774,65.7774680299321,712.473932704103,-22.0097334055752
PLEASANT_VALLEY_WOOD_STREET,1,1391,G,G,651,PLEASANT VALLEY,902,WOOD STREET,0.00081,0.01237,0.31971,1216,2454,1804,1,0,1,494.201490875673,-45.0020588395324,-492.255628606404,42.0603647462684
PLEASANT_VALLEY_WOOD_STREET,1,1392,G,G,651,PLEASANT VALLEY,902,WOOD STREET,0.00081,0.01237,0.31972,1216,2454,1804,1,0,1,494.201490875673,-45.0025688895316,-492.255628606405,42.0598533038553
WOOD_STREET_MILLWOOD,1,1734,G,I,902,WOOD STREET,897,MILLWOOD,0.00037,0.00563,0.14565,1216,2454,1804,1,0,1,282.241100594628,-57.183686631781,-281.944005386844,46.7785998908196
WOOD_STREET_MILLWOOD,1,1735,G,I,902,WOOD STREET,897,MILLWOOD,0.00037,0.00563,0.14542,1216,2454,1804,1,0,1,282.241100594628,-57.1719234562833,-281.944005386845,46.790406388382
MILLWOOD_DUNWOODIE,0,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BUCHANAN_DUNWOODIE,0,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RAMAPO_PLEASANT_VALLEY,0,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EAST_GARDEN_CITY_NORTHPORT,0,NaN,,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
