branch_index,from_zone,to_zone,from_bus,from_name,from_kv,to_bus,to_name,to_kv,r_pu,x_pu,b_pu,rate_a_mva,rate_b_mva,rate_c_mva,tap_ratio,shift_deg,status,pf_mw,qf_mvar,pt_mw,qt_mvar,from_mva,to_mva,rate_a_loading_pct
1,A,B,142,UNKNOWN124746,115,1,MORTIMER,115,0.03889,0.16081,0.02663,167,556,210,1,0,1,55.5095296261368,-6.21307852823534,-54.3322480747273,8.37556862893571,55.8561565461945,54.9740241451517,33.4468003270626
55,K,J,17,UNKNOWN124147,138,628,JAMAICA,138,0.0017,0.0085,0.064,300,300,330,1,0,1,155.625430816774,-82.7746717548499,-155.116461203206,78.7638383515956,176.269455666686,173.967982019917,58.7564852222287
56,K,J,17,UNKNOWN124147,138,628,JAMAICA,138,0.0017,0.0085,0.064,300,300,330,1,0,1,155.625430816774,-82.7746717548499,-155.116461203206,78.7638383515956,176.269455666686,173.967982019917,58.7564852222287
80,F,E,751,TAP135946,115,23,UNKNOWN124160,115,0.03122,0.1291,0.02138,167,556,210,1,0,1,-37.0663391624184,0.27113373932654,37.4914936957283,-0.696508648407969,37.0673307969165,37.4979629291264,22.453870017441
83,F,E,1208,TAP141250,115,23,UNKNOWN124160,115,0.01755,0.07259,0.01202,167,556,210,1,0,1,-38.9001239927812,2.38960903900425,39.1614835956675,-2.54330941748495,38.9734509379532,39.243983235737,23.4993911591239
84,F,E,1214,TAP141259,115,23,UNKNOWN124160,115,0.00381,0.01575,0.00261,167,556,210,1,0,1,-42.6352571253085,13.3182503969944,42.7089603272619,-13.2831225612722,44.6670006131844,44.7269117781835,26.7825819031039
86,E,C,913,TAP139304,115,24,UNKNOWN124162,115,0.02737,0.11317,0.01874,167,556,210,1,0,1,-6.28767110448516,0.133213051762958,6.29840426892807,-2.03761614283999,6.28908209799631,6.61980180068961,3.96395317406564
87,E,C,914,TAP139305,115,24,UNKNOWN124162,115,0.03784,0.15647,0.02591,167,556,210,1,0,1,-4.34656734206147,-0.545991807644813,4.35367762344757,-2.11920509454712,4.3807253638057,4.84205938435936,2.89943675710141
100,B,C,212,UNKNOWN125140,115,29,UNKNOWN124194,115,0.01428,0.05907,0.00978,167,556,210,1,0,1,-36.1486040262897,-3.16476809507342,36.3313806236671,2.91014021367918,36.2868754530489,36.4477452537883,21.8249971579571
121,F,D,490,UNKNOWN127981,115,36,UNKNOWN124203,115,0.0375,0.24,0.033,116,563,145,1,0,1,-40.6436142553228,9.56655826813135,41.3032087271675,-8.65961999348527,41.7543101587492,42.2012330340185,36.3803733051884
126,A,B,38,BLISS WINDPARK,115,97,UNKNOWN124586,115,0.01486,0.06145,0.01018,167,556,210,1,0,1,21.304445888788,-0.879222409489509,-21.2396009742932,0.091161265296236,21.3225806757448,21.2397966073945,12.7680123806855
156,A,C,1565,MEYER,115,53,UNKNOWN124253,115,0.0223,0.09221,0.01527,167,556,210,1,0,1,2.55248451265162,-0.869061117651505,-2.5510882103443,-0.714616743591609,2.69637616321241,2.64928823406951,1.61459650491761
