zone,zone_name,perform_bus_count,perform_load_mw,perform_load_mvar,online_gen_count,native_online_gen_count,import_online_gen_count,native_dispatch_mw,import_dispatch_mw,total_dispatch_mw,native_online_pmax_mw,native_all_pmax_mw,total_online_pmax_mw,total_all_pmax_mw,native_q_dispatch_mvar,perform_load_share,native_dispatch_share,native_all_pmax_share
A,WEST,378,2370.33,0,43,41,2,2640.509778,725,3365.509778,3832.699941,5206.799973,4557.699941,5960.799973,-194.792012,0.0795421826960441,0.090788538180098,0.121144436180467
B,GENESE,92,1727.83,0,6,6,0,719.814411,0,719.814411,724.999992,894.499997,724.999992,894.499997,-3.86732100000001,0.0579815340175022,0.0247493490386379,0.020811957125666
C,CENTRL,251,2533.4,0,32,32,0,4529.057633,0,4529.057633,4552.300085,6515.70001,4552.300085,6535.70001,-148.092043,0.0850143927816626,0.155722400749801,0.151598065630649
D,NORTH,24,560.38,0,11,11,0,623.55285,0,623.55285,627.900018,913.500013,627.900018,913.500013,54.400653,0.0188049125392706,0.0214395917792863,0.0212540225473599
E,MHK VL,258,1233.88,0,60,57,3,1652.631581,949.929804,2602.561385,2005.199996,2307.999994,3406.199996,3708.999994,-220.232813,0.0414058415431585,0.0568223631055436,0.0536992700751964
F,CAPITL,242,2035.61,0,66,65,1,3395.065848,-835.999966,2559.065882,3608.900002,3846.400002,2772.900036,3010.400036,-73.231889,0.0683098397766954,0.1167324082392,0.0894925793161133
G,HUD VL,128,2029.7,0,16,14,2,3097.21348,-640.75799,2456.45549,4000.600004,5182.400025,3359.842014,4551.642035,433.025788,0.0681115153662827,0.106491362623878,0.120576732800537
H,MILLWD,6,1304.57,0,0,0,0,0,0,0,0,15.4,0,15.4,0,0.0437780162592459,0,0.000358305355852624
I,DUNWOD,8,593.22,0,1,1,0,59.321702,0,59.321702,59.7,2370.69997,59.7,2370.69997,41.800001,0.0199069385355403,0.00203965561945948,0.0551580841799127
J,N.Y.C.,34,10415.09,0,84,80,4,8241.503951,579.392993,8820.896944,8633.500025,10081.700022,9212.893018,10661.093015,1469.283894,0.349503652055091,0.283367288525448,0.234566695713125
K,LONGIL,155,4995.65,-15.42,58,55,3,4125.504268,514.999985,4640.504253,4434.099949,5644.999924,4949.099934,6159.999909,-983.553912,0.167641174429507,0.141847042138647,0.131339851075121
