model_bus,model_bus_name,base_kv,physical_zone,initial_voltage_anchor,source_bus_name_voltage_identity,injection_policy,physical_station_equivalence_assumed
9101,PRINCETOWN 345,345,F,37,NaN,zero_injection_PQ_station_or_receiving_network_proxy,1
9102,GORDON ROAD 345,345,F,37,NaN,zero_injection_PQ_station_or_receiving_network_proxy,1
9103,GORDON ROAD 230 PROXY,230,F,40,NaN,zero_injection_PQ_station_or_receiving_network_proxy,1
9104,CHURCHTOWN 345,345,G,9001,NaN,zero_injection_PQ_station_or_receiving_network_proxy,1
1220,ADIRONDACK 230,230,E,44,1220,zero_injection_PQ_station_or_receiving_network_proxy,1
1130,RAINEY 345,345,J,78,1130,zero_injection_PQ_station_or_receiving_network_proxy,1
557,EAST ASTORIA 345,345,J,78,557,zero_injection_PQ_station_or_receiving_network_proxy,1
1529,RAINEY 138,138,J,79,1529,zero_injection_PQ_station_or_receiving_network_proxy,1
1493,EAST ASTORIA 138,138,J,79,1493,zero_injection_PQ_station_or_receiving_network_proxy,1
601,CORONA 138,138,J,79,601,zero_injection_PQ_station_or_receiving_network_proxy,1
1129,GOWANUS 345,345,J,81,1129,zero_injection_PQ_station_or_receiving_network_proxy,1
9111,GREENWOOD 138 PROXY,138,J,81,NaN,zero_injection_PQ_station_or_receiving_network_proxy,1
9112,GOWANUS PAR 138 PROXY,138,J,81,NaN,zero_injection_PQ_station_or_receiving_network_proxy,1
9113,GOETHALS PAR 138 PROXY,138,J,81,NaN,zero_injection_PQ_station_or_receiving_network_proxy,1
9114,FOX HILLS 138 PROXY,138,J,81,NaN,zero_injection_PQ_station_or_receiving_network_proxy,1
