variant_id,scenario_id,electrically_qualified,ny_bus_count,branch_records,active_branches,generator_records,load_boundary_accounting_error_mw,gross_load_mw,boundary_import_mw,source_prior_vectors_unchanged,campaign_role,interface_targets_used,historical_as_operated_reconstruction
nominal,S1_2025_SUMMER_PEAK_PUBLIC,1,71,135,117,37,1.81898940354586e-12,10902.2197987,579.886615973168,1,revisited_counterfactual_diagnostic,0,0
nominal,S2_2025_WINTER_PEAK_PUBLIC,1,71,135,117,37,0,8367.92367528293,1596.16222064125,1,revisited_counterfactual_diagnostic,0,0
nominal,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,1,71,135,117,37,5.6843418860808e-14,3942.95320450423,286.360492167209,1,revisited_counterfactual_diagnostic,0,0
nominal,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,71,135,117,37,1.13686837721616e-13,10820.2258946016,429.77270772048,1,revisited_counterfactual_diagnostic,0,0
nominal,S6_2025_LOW_TOTAL_EAST_PUBLIC,1,71,135,117,37,0,8489.15167611794,386.619834473804,1,revisited_counterfactual_diagnostic,0,0
nominal,V1_2025_JAN15_EVENING,1,71,135,117,37,2.27373675443232e-13,7933.09053779488,1269.93745863483,1,revisited_counterfactual_diagnostic,0,0
nominal,V2_2025_APR15_MIDDAY,1,71,135,117,37,7.105427357601e-14,5322.96708859025,110.232176592578,1,revisited_counterfactual_diagnostic,0,0
nominal,V3_2025_JUL15_EVENING,1,71,135,117,37,0,9900.67112023258,928.913136367996,1,revisited_counterfactual_diagnostic,0,0
nominal,V4_2025_JUL25_NIGHT,1,71,135,117,37,9.09494701772928e-13,6727.1788229159,1182.09916312685,1,revisited_counterfactual_diagnostic,0,0
impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,1,71,135,117,37,1.81898940354586e-12,10902.2197987,579.886615973168,1,revisited_counterfactual_diagnostic,0,0
impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,1,71,135,117,37,1.81898940354586e-12,10902.2197987,579.886615973168,1,revisited_counterfactual_diagnostic,0,0
charging_000,S1_2025_SUMMER_PEAK_PUBLIC,1,71,135,117,37,1.81898940354586e-12,10902.2197987,579.886615973168,1,revisited_counterfactual_diagnostic,0,0
charging_150,S1_2025_SUMMER_PEAK_PUBLIC,1,71,135,117,37,1.81898940354586e-12,10902.2197987,579.886615973168,1,revisited_counterfactual_diagnostic,0,0
rating_080,S1_2025_SUMMER_PEAK_PUBLIC,1,71,135,117,37,1.81898940354586e-12,10902.2197987,579.886615973168,1,revisited_counterfactual_diagnostic,0,0
rating_120,S1_2025_SUMMER_PEAK_PUBLIC,1,71,135,117,37,1.81898940354586e-12,10902.2197987,579.886615973168,1,revisited_counterfactual_diagnostic,0,0
