branch_key,from_bus,to_bus,r_pu,x_pu,b_pu,rate_a_mva,tap,shift_degree,electrical_role,source_ids,parameter_basis,conductor_code,bundle_count,length_miles,historical_template_key,thermal_surrogate_eligible,template_base_kv,template_length_miles,template_x_pu,template_b_pu,x_ohm_per_mile,b_siemens_per_mile,public_planning_summer_current_a,nominal_r_pu,nominal_x_pu,nominal_b_pu,nominal_rate_a_mva,model_branch_row,status,base_mva,from_base_kv,to_base_kv,equipment_limit_mva,equipment_limit_policy,parameter_ground_truth_verified,physical_conductor_verified,thermal_surrogate_qualified,circuits,conductor_choice_basis,resistance_reference_c,effective_thermal_length_miles
NY2025_SPC:MH2,48,9120,0.000519017013232514,0.00207222748815166,0.00790616113744076,433.826765771777,0,0,assumed_overhead_AC,SPC_MH2;NYISO_2025_GOLD_BOOK,catalog_AC75_R_planning_route_length_historical230_X_B_per_mile_rebased,DRAKE_795_ACSR,1,2,1220_1230_1,1,230,105.5,0.10931,0.41705,0.548104170616114,7.47274209587973e-06,1089,0.000519017013232514,0.00207222748815166,0.00790616113744076,433.826765771777,291,1,100,230,230,433.826765771777,finite_reference_MVA_treated_as_assumed_equipment_ceiling_not_terminal_truth,0,0,0,1,planning_Drake_size_motivates_ACSR_surrogate_installed_conductor_unverified,75,2
NY2025_SPC:MH3,48,9120,0.000519017013232514,0.00207222748815166,0.00790616113744076,433.826765771777,0,0,assumed_overhead_AC,SPC_MH3;NYISO_2025_GOLD_BOOK,catalog_AC75_R_planning_route_length_historical230_X_B_per_mile_rebased,DRAKE_795_ACSR,1,2,1220_1230_1,1,230,105.5,0.10931,0.41705,0.548104170616114,7.47274209587973e-06,1089,0.000519017013232514,0.00207222748815166,0.00790616113744076,433.826765771777,292,1,100,230,230,433.826765771777,finite_reference_MVA_treated_as_assumed_equipment_ceiling_not_terminal_truth,0,0,0,1,planning_Drake_size_motivates_ACSR_surrogate_installed_conductor_unverified,75,2
NY2025_SPC:HA2,9121,1220,0.00482685822306238,0.0385434312796209,0.744463898104265,1300.88273978672,0,0,assumed_overhead_AC,SPC_HA2;NYISO_2025_GOLD_BOOK,catalog_AC75_R_planning_route_length_historical230_X_B_per_mile_rebased,DRAKE_795_ACSR,2,83.7,1220_1230_1,1,230,105.5,0.10931,0.41705,0.548104170616114,7.47274209587973e-06,2177,0.00482685822306238,0.0385434312796209,0.744463898104265,1300.88273978672,293,1,100,345,345,1300.88273978672,finite_reference_MVA_treated_as_assumed_equipment_ceiling_not_terminal_truth,0,0,0,1,planning_Drake_size_motivates_ACSR_surrogate_installed_conductor_unverified,75,83.7
NY2025_SPC:HW2,9121,9123,0.00201839949590422,0.0161173249078462,0.31130509478673,1863.78193173853,0,0,assumed_overhead_AC,SPC_HW2;NYISO_2025_GOLD_BOOK,catalog_AC75_R_planning_route_length_historical230_X_B_per_mile_rebased,DRAKE_795_ACSR,2,35,1220_1230_1,1,230,105.5,0.10931,0.41705,0.548104170616114,7.47274209587973e-06,3119,0.00201839949590422,0.0161173249078462,0.31130509478673,1863.78193173853,294,1,100,345,345,1863.78193173853,finite_reference_MVA_treated_as_assumed_equipment_ceiling_not_terminal_truth,0,0,0,1,planning_ACSS_is_not_ACSR_library_uses_declared_Drake_ACSR_surrogate,75,35
NY2025_SPC:LINE11,9122,43,0.00245091367359798,0.0195763009845288,0.378112143987342,1863.78193173853,0,0,assumed_overhead_AC,SPC_LINE11;NYISO_2025_GOLD_BOOK,catalog_AC75_R_planning_route_length_historical230_X_B_per_mile_rebased,DRAKE_795_ACSR,2,42.5,1220_1232_1,1,230,63.2,0.0655,0.2499,0.548251582278481,7.47469550860233e-06,3119,0.00245091367359798,0.0195763009845288,0.378112143987342,1863.78193173853,295,1,100,345,345,1863.78193173853,finite_reference_MVA_treated_as_assumed_equipment_ceiling_not_terminal_truth,0,0,0,1,planning_ACSS_is_not_ACSR_library_uses_declared_Drake_ACSR_surrogate,75,42.5
NY2025_SPC:LINE13,1220,9122,0.000668955261499685,0.00534317862165963,0.103202373417722,1863.78193173853,0,0,assumed_overhead_AC,SPC_LINE13;NYISO_2025_GOLD_BOOK,catalog_AC75_R_planning_route_length_historical230_X_B_per_mile_rebased,DRAKE_795_ACSR,2,11.6,1220_1232_1,1,230,63.2,0.0655,0.2499,0.548251582278481,7.47469550860233e-06,3119,0.000668955261499685,0.00534317862165963,0.103202373417722,1863.78193173853,296,1,100,345,345,1863.78193173853,finite_reference_MVA_treated_as_assumed_equipment_ceiling_not_terminal_truth,0,0,0,1,planning_ACSS_is_not_ACSR_library_uses_declared_Drake_ACSR_surrogate,75,11.6
NY2025_SPC:AT2,9120,9121,0.00111111111111111,0.0266666666666667,0,450,1,0,assumed_station_transformer,SPC_XFMR_2025;NYISO_OCT_OPERATIONS;NYISO_2025_GOLD_BOOK,own450_or1350MVA_base_R005_X012_fixed_nominal_ratio_no_shunt_assumed,,0,0,,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00111111111111111,0.0266666666666667,0,450,297,1,100,230,345,450,finite_reference_MVA_treated_as_assumed_equipment_ceiling_not_terminal_truth,0,0,0,1,none_nonthermal,NaN,NaN
NY2025_SPC:AT3,9120,9121,0.00111111111111111,0.0266666666666667,0,450,1,0,assumed_station_transformer,SPC_XFMR_2025;NYISO_OCT_OPERATIONS;NYISO_2025_GOLD_BOOK,own450_or1350MVA_base_R005_X012_fixed_nominal_ratio_no_shunt_assumed,,0,0,,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00111111111111111,0.0266666666666667,0,450,298,1,100,230,345,450,finite_reference_MVA_treated_as_assumed_equipment_ceiling_not_terminal_truth,0,0,0,1,none_nonthermal,NaN,NaN
NY2025_SPC:TR2,9123,9124,0.00037037037037037,0.00888888888888889,0,1350,1,0,assumed_station_transformer,SPC_XFMR_2025;NYISO_OCT_OPERATIONS;NYISO_2025_GOLD_BOOK,own450_or1350MVA_base_R005_X012_fixed_nominal_ratio_no_shunt_assumed,,0,0,,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00037037037037037,0.00888888888888889,0,1350,299,1,100,345,230,1350,finite_reference_MVA_treated_as_assumed_equipment_ceiling_not_terminal_truth,0,0,0,1,none_nonthermal,NaN,NaN
NY2025_SPC:PLATTS_REGIONAL_EQ,49,9124,0.0156,0.1536,0,2500,1,0,inherited_regional_voltage_transforming_equivalent,NPCC_S7:BRANCH_ROW:220;SPC_WRY1;SPC_WPN1;SPC_WPN2;SPC_W1,relocate230kV_end_to_Willis_keep115_230_base_and_parent_R_X_B_whole_function_retired_once,,0,NaN,NPCC_S7:BRANCH_ROW:220,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0156,0.1536,0,2500,300,1,100,115,230,2500,finite_reference_MVA_treated_as_assumed_equipment_ceiling_not_terminal_truth,0,0,0,1,none_nonthermal,NaN,NaN
