interface_name,model_flow_mw,target_flow_mw,residual_mw,absolute_residual_mw,used_in_optimizer,exact_public_operator,variant_id,scenario_id,electrically_qualified
Moses_South,69.7203862432139,NaN,NaN,NaN,0,0,nominal,V2_2025_APR15_MIDDAY,1
Central_East,1010.81418983208,NaN,NaN,NaN,0,0,nominal,V2_2025_APR15_MIDDAY,1
Total_East_proxy,1346.72996808482,NaN,NaN,NaN,0,0,nominal,V2_2025_APR15_MIDDAY,1
UPNY_ConEd,1498.82316415611,NaN,NaN,NaN,0,0,nominal,V2_2025_APR15_MIDDAY,1
Dunwoodie_South,1134.03200089499,NaN,NaN,NaN,0,0,nominal,V2_2025_APR15_MIDDAY,1
Dysinger_East,-107.355686006434,NaN,NaN,NaN,0,0,nominal,V3_2025_JUL15_EVENING,1
West_Central,-477.886536103103,NaN,NaN,NaN,0,0,nominal,V3_2025_JUL15_EVENING,1
Moses_South,394.032132362659,NaN,NaN,NaN,0,0,nominal,V3_2025_JUL15_EVENING,1
Central_East,360.720409323536,NaN,NaN,NaN,0,0,nominal,V3_2025_JUL15_EVENING,1
Total_East_proxy,540.888165579539,NaN,NaN,NaN,0,0,nominal,V3_2025_JUL15_EVENING,1
UPNY_ConEd,1228.75914800043,NaN,NaN,NaN,0,0,nominal,V3_2025_JUL15_EVENING,1
Dunwoodie_South,753.177974749241,NaN,NaN,NaN,0,0,nominal,V3_2025_JUL15_EVENING,1
Dysinger_East,212.927827650321,NaN,NaN,NaN,0,0,nominal,V4_2025_JUL25_NIGHT,1
West_Central,-40.6309939784028,NaN,NaN,NaN,0,0,nominal,V4_2025_JUL25_NIGHT,1
Moses_South,-164.286070263136,NaN,NaN,NaN,0,0,nominal,V4_2025_JUL25_NIGHT,1
Central_East,199.357466892957,NaN,NaN,NaN,0,0,nominal,V4_2025_JUL25_NIGHT,1
Total_East_proxy,429.107723237432,NaN,NaN,NaN,0,0,nominal,V4_2025_JUL25_NIGHT,1
UPNY_ConEd,1005.55244751678,NaN,NaN,NaN,0,0,nominal,V4_2025_JUL25_NIGHT,1
Dunwoodie_South,731.048468428325,NaN,NaN,NaN,0,0,nominal,V4_2025_JUL25_NIGHT,1
Dysinger_East,-64.3815530718767,NaN,NaN,NaN,0,0,impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,1
West_Central,-457.69172629116,NaN,NaN,NaN,0,0,impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,1
Moses_South,817.666600717351,NaN,NaN,NaN,0,0,impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,1
Central_East,881.977467585826,NaN,NaN,NaN,0,0,impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,1
Total_East_proxy,1066.31125326716,NaN,NaN,NaN,0,0,impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,1
UPNY_ConEd,1766.7903834037,NaN,NaN,NaN,0,0,impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,1
Dunwoodie_South,1104.1663750801,NaN,NaN,NaN,0,0,impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,1
Dysinger_East,-62.8703860715623,NaN,NaN,NaN,0,0,impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,1
West_Central,-455.98668618918,NaN,NaN,NaN,0,0,impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,1
Moses_South,810.377288491592,NaN,NaN,NaN,0,0,impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,1
Central_East,860.215504882905,NaN,NaN,NaN,0,0,impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,1
Total_East_proxy,1044.36403961925,NaN,NaN,NaN,0,0,impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,1
