interface_name,model_flow_mw,used_in_optimizer,exact_public_operator,variant_id,scenario_id,electrically_qualified,target_flow_mw,actual_flow_mw,scale_factor_gamma,target_coverage_qualified,parent_model_flow_mw,parent_absolute_error_mw,diagnostic_score_qualified,residual_mw,absolute_error_mw,normalized_absolute_error_floor100,scope,topology_as_of,parameters_or_dispatch_fitted_to_interfaces
Dysinger_East,-63.6365548575826,0,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,1,139.77846695239117,392.9025,0.355758660106238,True,-63.3333240812348,203.111791033626,True,-203.41502180997378,203.41502180997378,1.4552672256682953,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
West_Central,-456.853912507459,0,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,1,-236.14133288761744,-663.7683333333333,0.355758660106238,True,-456.49027621044,220.34894332282255,True,-220.71257961984153,220.71257961984153,0.9346630550479758,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
Moses_South,814.158634416936,0,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,1,733.8986904508597,2062.911666666667,0.355758660106238,True,818.261323552102,84.3626331012423,True,80.25994396607632,80.25994396607632,0.1093610671477964,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
Central_East,871.419627527023,0,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,1,935.420851657989,2629.369166666667,0.355758660106238,True,869.19759072439,66.22326093359902,True,-64.00122413096608,64.00122413096608,0.06841971078314851,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
Total_East_proxy,1055.5618907673,0,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,1,1104.3487008917348,3104.2075,0.355758660106238,True,1051.51675496631,52.83194592542486,True,-48.78681012443485,48.78681012443485,0.044176997795207874,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
UPNY_ConEd,1759.30394301775,0,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,1,1823.5323237639504,5125.756666666667,0.355758660106238,True,1756.36756757375,67.16475619020048,True,-64.2283807462004,64.2283807462004,0.035221959001870994,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
Dunwoodie_South,1098.26200405517,0,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,1,976.94796712109,2746.0975,0.355758660106238,True,1095.95198959305,119.00402247196008,True,121.31403693408015,121.31403693408015,0.12417655905623438,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
Dysinger_East,820.36154387042,0,0,nominal,S2_2025_WINTER_PEAK_PUBLIC,1,758.8077259692981,2132.9283333333333,0.355758660106238,True,820.24849296937,61.4407670000719,True,61.553817901121874,61.553817901121874,0.08111912384984386,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
West_Central,506.605918544904,0,0,nominal,S2_2025_WINTER_PEAK_PUBLIC,1,451.9326774860579,1270.335,0.355758660106238,True,506.47343523012,54.54075774406209,True,54.67324105884609,54.67324105884609,0.12097651659750307,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
Moses_South,123.437922048525,0,0,nominal,S2_2025_WINTER_PEAK_PUBLIC,1,-3.043811802758955,-8.555833333333334,0.355758660106238,True,124.286264406919,127.33007620967796,True,126.48173385128395,126.48173385128395,1.2648173385128394,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
Central_East,942.767908105484,0,0,nominal,S2_2025_WINTER_PEAK_PUBLIC,1,811.0242033063912,2279.7033333333334,0.355758660106238,True,943.795025317811,132.7708220114198,True,131.74370479909282,131.74370479909282,0.1624411506611009,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
Total_East_proxy,1364.0773645299,0,0,nominal,S2_2025_WINTER_PEAK_PUBLIC,1,1491.6735304436493,4192.9366666666665,0.355758660106238,True,1364.80321710336,126.87031334028916,True,-127.59616591374925,127.59616591374925,0.08553893550407103,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
UPNY_ConEd,1691.84034337366,0,0,nominal,S2_2025_WINTER_PEAK_PUBLIC,1,1694.201599262229,4762.221666666666,0.355758660106238,True,1692.25461339348,1.946985868748925,True,-2.3612558885688486,2.3612558885688486,0.0013937278123200337,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
Dunwoodie_South,1157.71162940019,0,0,nominal,S2_2025_WINTER_PEAK_PUBLIC,1,1018.6215365659348,2863.2375,0.355758660106238,True,1158.03364387154,139.41210730560533,True,139.0900928342553,139.0900928342553,0.1365473709727048,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
Dysinger_East,298.497466912644,0,0,nominal,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,1,119.6609373010386,336.3542499999999,0.355758660106238,True,298.495364738867,178.83442743782842,True,178.83652961160539,178.83652961160539,1.4945272337429132,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
West_Central,335.015728877894,0,0,nominal,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,1,148.51447660995996,417.4585,0.355758660106238,True,335.011041762716,186.49656515275603,True,186.50125226793403,186.50125226793403,1.2557782683888645,revisited_year_end_topology_counterfactual_not_historical_as_operated_or_fresh_holdout,2025-12-31,False
