variant_id,scenario_id,qualified_interfaces,mean_absolute_error_mw,max_absolute_error_mw,mean_normalized_error_floor100,parent_mean_absolute_error_mw
nominal,S1_2025_SUMMER_PEAK_PUBLIC,7,114.67399961879616,220.71257961984153,0.3958980820715042,116.14962185412504
nominal,S2_2025_WINTER_PEAK_PUBLIC,7,91.92857317813116,139.0900928342553,0.26469059484434043,92.04454706855358
nominal,S3_2025_SHOULDER_LIGHT_LOAD_EXACT,7,156.38346127194595,326.436648004997,0.5501405859222549,156.51291207061692
nominal,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,7,97.51630566582187,205.2068375134843,0.42195140953360183,99.07031150792376
nominal,S6_2025_LOW_TOTAL_EAST_PUBLIC,7,103.77233902517538,189.13368461296585,0.5557269595464857,103.84628325982602
nominal,V1_2025_JAN15_EVENING,7,133.4601047391132,289.9478439417869,0.16533883454518067,133.96523172216652
nominal,V2_2025_APR15_MIDDAY,7,184.936316489739,353.6688886782807,0.6780756800205422,185.1225800364542
nominal,V3_2025_JUL15_EVENING,7,175.52033469817516,397.27389549423367,0.5735825204779601,175.6315163797267
nominal,V4_2025_JUL25_NIGHT,7,171.0167744319258,470.7111734415253,0.4887585689335819,174.88666133306216
impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,7,112.13135767289998,221.55039340354259,0.3951231569334652,116.14962185412504
impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,7,117.33604811695396,219.84535330156254,0.3967270085244982,116.14962185412504
charging_000,S1_2025_SUMMER_PEAK_PUBLIC,7,115.11777905509567,220.61626635822356,0.3961415786765201,116.14962185412504
charging_150,S1_2025_SUMMER_PEAK_PUBLIC,7,114.64505386668142,220.71459333350757,0.39587101277766884,116.14962185412504
rating_080,S1_2025_SUMMER_PEAK_PUBLIC,7,120.57431283853573,218.29770867841356,0.3956749185999076,116.14962185412504
rating_120,S1_2025_SUMMER_PEAK_PUBLIC,7,114.67399902737722,220.71258258211557,0.39589808599728565,116.14962185412504
