parent_branch_key,parent_branch_row,historical_from_bus,historical_to_bus,historical_from_base_kv,historical_to_base_kv,old_status,new_status,disposition,replacement_branch_keys,historical_endpoint_voltage_may_differ_from_current_bus
NY2025:SMART_PATH:1,269,1220,48,230,230,1,0,whole_functional_replacement_not_individual_circuit_retirement_crosswalk,NY2025_SPC:MH2;NY2025_SPC:MH3;NY2025_SPC:HA2;NY2025_SPC:LINE11;NY2025_SPC:LINE13;NY2025_SPC:AT2;NY2025_SPC:AT3;NY2025_SPC:TR2,1
NY2025:SMART_PATH:2,270,1220,48,230,230,1,0,whole_functional_replacement_not_individual_circuit_retirement_crosswalk,NY2025_SPC:MH2;NY2025_SPC:MH3;NY2025_SPC:HA2;NY2025_SPC:LINE11;NY2025_SPC:LINE13;NY2025_SPC:AT2;NY2025_SPC:AT3;NY2025_SPC:TR2,1
NY2025:SMART_PATH:3,271,1220,44,230,230,1,0,whole_functional_replacement_not_individual_circuit_retirement_crosswalk,NY2025_SPC:MH2;NY2025_SPC:MH3;NY2025_SPC:HA2;NY2025_SPC:LINE11;NY2025_SPC:LINE13;NY2025_SPC:AT2;NY2025_SPC:AT3;NY2025_SPC:TR2,1
NY2025:SMART_PATH:4,272,1220,44,230,230,1,0,whole_functional_replacement_not_individual_circuit_retirement_crosswalk,NY2025_SPC:MH2;NY2025_SPC:MH3;NY2025_SPC:HA2;NY2025_SPC:LINE11;NY2025_SPC:LINE13;NY2025_SPC:AT2;NY2025_SPC:AT3;NY2025_SPC:TR2,1
NPCC_S7:BRANCH_ROW:220,220,49,48,115,230,1,0,relocated_regional_equivalent_whole_parent_row_retired,NY2025_SPC:HW2;NY2025_SPC:TR2;NY2025_SPC:PLATTS_REGIONAL_EQ,0
