generator_key,generator_row,model_bus,source_public_pmax_mw,gamma2019,benchmark_pmax_mw,assumed_qmin_mvar,assumed_qmax_mvar,landing_policy,capacity_source,reactive_assumption,dispatch_policy
NY2019:INDIAN_POINT:2,36,77,1025.9,0.358662225381536,367.951577018918,-120.939834841615,120.939834841615,compact_Buchanan_physical_zoneH_sensitivity,NYgrid_updateOpCond_2019_Capnuclear_1025.9_1039.9,assumed_symmetric_Q_at_0.95_power_factor_and_Pmax_not_verified_capability_curve,PG_initial_zero_snapshot_source_prior_assigned_later_PMIN0_no_mustrun_claim
NY2019:INDIAN_POINT:3,37,77,1039.9,0.358662225381536,372.972848174259,-122.590246858168,122.590246858168,compact_Buchanan_physical_zoneH_sensitivity,NYgrid_updateOpCond_2019_Capnuclear_1025.9_1039.9,assumed_symmetric_Q_at_0.95_power_factor_and_Pmax_not_verified_capability_curve,PG_initial_zero_snapshot_source_prior_assigned_later_PMIN0_no_mustrun_claim
