scenario_id,fleet_variant,generator_row,generator_key,bus_id,raw_source_pg_benchmark_mw,raw_source_pg_public_mw,pmin_mw,pmax_mw,raw_prior_outside_bounds,dispatch_clipped,allocation_basis
S2_2019_WINTER_PEAK_PUBLIC,paper74,1,NPCC_S7:GEN_ROW:10:BUS:42,42,141.426410258129,394.31643549215,0,568.003995,0,0,existing_zonal_source_prior_inherited_within_zone_headroom_allocation
S2_2019_WINTER_PEAK_PUBLIC,paper74,2,NPCC_S7:GEN_ROW:11:BUS:47,47,562.477594034074,1568.26549948416,0,944.920662,0,0,existing_zonal_source_prior_inherited_within_zone_headroom_allocation
S2_2019_WINTER_PEAK_PUBLIC,paper74,3,NPCC_S7:GEN_ROW:12:BUS:48,48,23.8463175040944,66.4868386369021,0,40.0600457,0,0,existing_zonal_source_prior_inherited_within_zone_headroom_allocation
S2_2019_WINTER_PEAK_PUBLIC,paper74,4,NPCC_S7:GEN_ROW:13:BUS:50,50,799.50078474621,2229.11900994235,0,1105.24857748821,0,0,existing_zonal_source_prior_inherited_within_zone_headroom_allocation
S2_2019_WINTER_PEAK_PUBLIC,paper74,5,NPCC_S7:GEN_ROW:14:BUS:51,51,211.85880265946,590.691708428702,0,292.878562141814,0,0,existing_zonal_source_prior_inherited_within_zone_headroom_allocation
S2_2019_WINTER_PEAK_PUBLIC,paper74,6,NPCC_S7:GEN_ROW:15:BUS:53,53,237.817423954103,663.067942828713,0,288.8,0,0,existing_zonal_source_prior_inherited_within_zone_headroom_allocation
S2_2019_WINTER_PEAK_PUBLIC,paper74,7,NPCC_S7:GEN_ROW:16:BUS:54,54,190.061256427088,529.91712808592,0,197.192650893643,0,0,existing_zonal_source_prior_inherited_within_zone_headroom_allocation
S2_2019_WINTER_PEAK_PUBLIC,paper74,8,NPCC_S7:GEN_ROW:17:BUS:54,54,190.061256427088,529.91712808592,0,197.192650893643,0,0,existing_zonal_source_prior_inherited_within_zone_headroom_allocation
S2_2019_WINTER_PEAK_PUBLIC,paper74,9,NPCC_S7:GEN_ROW:18:BUS:55,55,190.061256427088,529.91712808592,0,197.192650893643,0,0,existing_zonal_source_prior_inherited_within_zone_headroom_allocation
S2_2019_WINTER_PEAK_PUBLIC,paper74,10,NPCC_S7:GEN_ROW:19:BUS:56,56,477.188977464408,1330.46901428436,0,495.093851384339,0,0,existing_zonal_source_prior_inherited_within_zone_headroom_allocation
S2_2019_WINTER_PEAK_PUBLIC,paper74,11,NPCC_S7:GEN_ROW:20:BUS:57,57,13.7989408056896,38.4733596938194,0,14.3166985641929,0,0,existing_zonal_source_prior_inherited_within_zone_headroom_allocation
