scenario_id,zone,source_prior_public_mw,source_prior_benchmark_mw,online_generator_count,allocatable_headroom_mw,online_pmin_mw,online_pmax_mw,raw_generator_prior_mw,bounded_generator_prior_mw,unallocated_source_prior_mw,clipped_source_prior_mw,total_unrepresented_prior_mw,zone_sigma_mw,effective_coherent_zone_sigma_mw,generator_sigma_floor_count,allocation_status,source_method,source_coverage_qualified,observed_zonal_generation,named_source_subset_mw,named_bounded_generator_prior_mw,generic_source_residual_mw
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,H,2079.88498124868,745.976175912287,0,0,0,0,0,0,745.976175912287,0,745.976175912287,111.896426386843,Inf,0,no_online_generator_source_total_unallocated,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,745.976175912287
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,I,0,0,1,565.099092,0,565.099092,0,0,0,0,0,50,50,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,J,1203.35506941523,431.598007120619,5,4197.07746,0,4197.07746,431.598007120619,431.598007120619,5.6843418860808e-14,0,5.6843418860808e-14,64.7397010680928,64.7397010680928,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,431.598007120619
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,K,406.351485948973,145.742928237552,3,2384.929342,0,2384.929342,145.742928237552,145.742928237552,0,0,0,50,50,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,145.742928237552
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,A,2381.49069274412,854.150751585022,7,1292.8,0,1292.8,854.150751585022,854.150751585022,1.13686837721616e-13,0,1.13686837721616e-13,128.122612737753,128.122612737753,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,854.150751585022
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,B,633.103220405026,227.070209926684,1,288.8,0,288.8,227.070209926684,227.070209926684,2.8421709430404e-14,0,2.8421709430404e-14,50,50,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,227.070209926684
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,C,4614.33023039156,1654.98594907753,6,2511.2,0,2511.2,1654.98594907753,1654.98594907753,-4.54747350886464e-13,0,-4.54747350886464e-13,248.24789236163,248.24789236163,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,1654.98594907753
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,D,1075.54793765714,385.758416824633,2,984.9807077,0,984.9807077,385.758416824633,385.758416824633,5.6843418860808e-14,0,5.6843418860808e-14,57.8637625236949,57.8637625236949,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,385.758416824633
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,E,242.095482407562,86.8305044751126,2,600,0,600,86.8305044751126,86.8305044751126,0,0,0,50,50,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,86.8305044751126
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,F,2740.13541413881,982.783065481784,5,2168.003995,0,2168.003995,982.783065481784,982.783065481784,0,0,0,147.417459822268,147.417459822268,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,982.783065481784
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,G,1530.31395396861,548.865808262797,3,2200,0,2200,548.865808262797,548.865808262797,1.13686837721616e-13,0,1.13686837721616e-13,82.3298712394196,82.3298712394196,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,548.865808262797
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,H,2023.8221692205,725.868562989113,0,0,0,0,0,0,725.868562989113,0,725.868562989113,108.880284448367,Inf,0,no_online_generator_source_total_unallocated,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,725.868562989113
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,I,0,0,1,565.099092,0,565.099092,0,0,0,0,0,50,50,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,0
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,J,7841.67180547372,2812.51146046285,5,4197.07746,0,4197.07746,2812.51146046285,2812.51146046285,0,0,0,421.876719069428,421.876719069428,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,2812.51146046285
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,K,3310.90576025961,1187.49682800326,3,2384.929342,0,2384.929342,1187.49682800326,1187.49682800326,0,0,0,178.124524200489,178.124524200489,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,1187.49682800326
S1_2019_SUMMER_PEAK_PUBLIC,A,3188.40096577481,1143.55898579343,7,1292.8,0,1292.8,1143.55898579343,1143.55898579343,2.27373675443232e-13,0,2.27373675443232e-13,171.533847869015,171.533847869015,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,1143.55898579343
S1_2019_SUMMER_PEAK_PUBLIC,B,682.564961082164,244.81026790919,1,288.8,0,288.8,244.81026790919,244.81026790919,-2.8421709430404e-14,0,-2.8421709430404e-14,50,50,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,244.81026790919
S1_2019_SUMMER_PEAK_PUBLIC,C,4224.7314076981,1515.25156832427,6,2511.2,0,2511.2,1515.25156832427,1515.25156832427,-2.27373675443232e-13,0,-2.27373675443232e-13,227.28773524864,227.28773524864,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,1515.25156832427
S1_2019_SUMMER_PEAK_PUBLIC,D,1301.71611418568,466.876398328843,2,984.9807077,0,984.9807077,466.876398328843,466.876398328843,5.6843418860808e-14,0,5.6843418860808e-14,70.0314597493265,70.0314597493265,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,466.876398328843
S1_2019_SUMMER_PEAK_PUBLIC,E,505.378269432876,181.260094774265,2,600,0,600,181.260094774265,181.260094774265,0,0,0,50,50,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,181.260094774265
S1_2019_SUMMER_PEAK_PUBLIC,F,3217.98076511988,1154.16814245287,5,2168.003995,0,2168.003995,1154.16814245287,1154.16814245287,0,0,0,173.125221367931,173.125221367931,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,1154.16814245287
S1_2019_SUMMER_PEAK_PUBLIC,G,1806.21402910283,647.820743193371,3,2200,0,2200,647.820743193371,647.820743193371,0,0,0,97.1731114790056,97.1731114790056,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,647.820743193371
S1_2019_SUMMER_PEAK_PUBLIC,H,2008.67317291484,720.435190261826,0,0,0,0,0,0,720.435190261826,0,720.435190261826,108.065278539274,Inf,0,no_online_generator_source_total_unallocated,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,720.435190261826
S1_2019_SUMMER_PEAK_PUBLIC,I,0,0,1,565.099092,0,565.099092,0,0,0,0,0,50,50,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,0
S1_2019_SUMMER_PEAK_PUBLIC,J,6633.28281081288,2379.10797451124,5,4197.07746,0,4197.07746,2379.10797451124,2379.10797451124,0,0,0,356.866196176685,356.866196176685,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,2379.10797451124
S1_2019_SUMMER_PEAK_PUBLIC,K,3601.41917054261,1291.69301423854,3,2384.929342,0,2384.929342,1291.69301423854,1291.69301423854,-2.27373675443232e-13,0,-2.27373675443232e-13,193.753952135781,193.753952135781,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,1291.69301423854
S6_2019_LOW_TOTAL_EAST_PUBLIC,A,1681.73023596772,603.173108923598,7,1292.8,0,1292.8,603.173108923598,603.173108923598,1.13686837721616e-13,0,1.13686837721616e-13,90.4759663385397,90.4759663385398,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,603.173108923598
S6_2019_LOW_TOTAL_EAST_PUBLIC,B,579.11978702035,207.7083915752,1,288.8,0,288.8,207.7083915752,207.7083915752,0,0,0,50,50,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,207.7083915752
S6_2019_LOW_TOTAL_EAST_PUBLIC,C,2859.6047965238,1025.63222003294,6,2511.2,0,2511.2,1025.63222003294,1025.63222003294,0,0,0,153.844833004941,153.844833004941,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,1025.63222003294
S6_2019_LOW_TOTAL_EAST_PUBLIC,D,849.376159027684,304.639143382891,2,984.9807077,0,984.9807077,304.639143382891,304.639143382891,5.6843418860808e-14,0,5.6843418860808e-14,50,50,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,304.639143382891
S6_2019_LOW_TOTAL_EAST_PUBLIC,E,215.951195242886,77.4535362596162,2,600,0,600,77.4535362596162,77.4535362596162,0,0,0,50,50,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,77.4535362596162
S6_2019_LOW_TOTAL_EAST_PUBLIC,F,1928.1019108232,691.537322098242,5,2168.003995,0,2168.003995,691.537322098242,691.537322098242,1.13686837721616e-13,0,1.13686837721616e-13,103.730598314736,103.730598314736,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,691.537322098242
S6_2019_LOW_TOTAL_EAST_PUBLIC,G,732.262543678941,262.634913479433,3,2200,0,2200,262.634913479433,262.634913479433,0,0,0,50,50,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,262.634913479433
S6_2019_LOW_TOTAL_EAST_PUBLIC,H,2028.86092660409,727.67577492547,0,0,0,0,0,0,727.67577492547,0,727.67577492547,109.15136623882,Inf,0,no_online_generator_source_total_unallocated,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,727.67577492547
S6_2019_LOW_TOTAL_EAST_PUBLIC,I,0,0,1,565.099092,0,565.099092,0,0,0,0,0,50,50,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,0
S6_2019_LOW_TOTAL_EAST_PUBLIC,J,2861.08958338628,1026.16475699326,5,4197.07746,0,4197.07746,1026.16475699326,1026.16475699326,0,0,0,153.924713548988,153.924713548988,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,1026.16475699326
S6_2019_LOW_TOTAL_EAST_PUBLIC,K,950.569528391701,340.933382432845,3,2384.929342,0,2384.929342,340.933382432845,340.933382432845,-5.6843418860808e-14,0,-5.6843418860808e-14,51.1400073649267,51.1400073649267,0,represented_within_zone,EPA_grid_gross_share_times_P63_combined_fossil_plus_NRC_EIA_nonfossil,1,0,0,0,340.933382432845
