branch_row,full_branch_row,branch_key,from_bus,to_bus,status,role
1,33,NPCC_S7:BRANCH_ROW:33,37,38,1,inherited_NPCC_or_S7_equivalent
2,34,NPCC_S7:BRANCH_ROW:34,37,39,1,inherited_NPCC_or_S7_equivalent
3,35,NPCC_S7:BRANCH_ROW:35,37,40,1,inherited_NPCC_or_S7_equivalent
4,36,NPCC_S7:BRANCH_ROW:36,37,43,1,inherited_NPCC_or_S7_equivalent
5,37,NPCC_S7:BRANCH_ROW:37,38,69,1,inherited_NPCC_or_S7_equivalent
6,38,NPCC_S7:BRANCH_ROW:38,39,73,1,inherited_NPCC_or_S7_equivalent
7,39,NPCC_S7:BRANCH_ROW:39,39,73,1,inherited_NPCC_or_S7_equivalent
8,40,NPCC_S7:BRANCH_ROW:40,40,44,1,inherited_NPCC_or_S7_equivalent
9,41,NPCC_S7:BRANCH_ROW:41,41,42,1,inherited_NPCC_or_S7_equivalent
10,42,NPCC_S7:BRANCH_ROW:42,41,45,1,inherited_NPCC_or_S7_equivalent
11,43,NPCC_S7:BRANCH_ROW:43,43,44,1,inherited_NPCC_or_S7_equivalent
12,44,NPCC_S7:BRANCH_ROW:44,43,50,1,inherited_NPCC_or_S7_equivalent
13,45,NPCC_S7:BRANCH_ROW:45,43,50,1,inherited_NPCC_or_S7_equivalent
14,46,NPCC_S7:BRANCH_ROW:46,44,45,1,inherited_NPCC_or_S7_equivalent
15,47,NPCC_S7:BRANCH_ROW:47,44,48,1,inherited_NPCC_or_S7_equivalent
16,48,NPCC_S7:BRANCH_ROW:48,45,46,1,inherited_NPCC_or_S7_equivalent
17,49,NPCC_S7:BRANCH_ROW:49,45,51,1,inherited_NPCC_or_S7_equivalent
18,50,NPCC_S7:BRANCH_ROW:50,45,71,1,inherited_NPCC_or_S7_equivalent
19,51,NPCC_S7:BRANCH_ROW:51,46,47,1,inherited_NPCC_or_S7_equivalent
20,52,NPCC_S7:BRANCH_ROW:52,46,49,1,inherited_NPCC_or_S7_equivalent
