model_bus,zone,parent_pd_mw,pd_gross_mw,qd_gross_mvar,p_boundary_mw,q_boundary_mvar,pd_effective_mw,qd_effective_mvar,within_zone_allocation_weight,assumed_q_over_p,scenario_id,timestamp,legacy_raw_source_pg_mw,legacy_bounded_prior_pg_mw,legacy_solved_pg_mw
37,F,0,0,0,-74.0425884699897,0,74.0425884699897,0,0,0.250623624353469,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,74.6965222972399,74.6965222972399,79.8175632998876
38,F,0,0,0,0,0,0,0,0,0.250623624353469,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,124.494203828733,124.494203828733,132.995720190147
39,G,0,116.041576399942,29.0827604530434,0,0,116.041576399942,29.0827604530434,0.2,0.250623624353469,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,75.9933309673802,75.9933309673802,79.9052461772389
40,F,0,0,0,0,0,0,0,0,0.250623624353469,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,0,0,0
41,F,809.143671,591.387796508571,91.360134439674,0,0,591.387796508571,91.360134439674,0.798175598482101,0.154484307892461,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,74.6965222972399,74.6965222972399,79.9060883394468
42,F,204.597757,149.536628684606,12.4249782837957,0,0,149.536628684606,12.4249782837957,0.201824401517899,0.0830898649587835,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,265.920614086863,265.920614086863,284.388337474312
43,E,0,0,0,0,0,0,0,0,0.250623624353469,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,143.088118594991,143.088118594991,152.210792989118
44,E,0,0,0,0,0,0,0,0,0.250623624353469,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,71.5440592974956,71.5440592974956,76.112009652149
45,E,295.9154,507.973309807869,29.1824834622794,0,0,507.973309807869,29.1824834622794,1,0.0574488519353842,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,0,0,0
46,D,26.5861492,8.11989541529433,-12.9802760284671,0,0,8.11989541529433,-12.9802760284671,0.0303030303168461,-1.59857675063375,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,0,0,0
47,D,610.325512,186.404555599423,30.5418259493343,0,0,186.404555599423,30.5418259493343,0.695652174150916,0.163846993176323,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,562.477594034074,562.477594034074,596.539021166843
48,D,0,0,0,174.459284129335,0,-174.459284129335,0,0,0.250623624353469,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,23.8463175040944,23.8463175040944,25.3134158313999
49,D,240.431262,73.4320975678279,5.19211041138683,0,0,73.4320975678279,5.19211041138683,0.274044795532238,0.0707062794521288,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,0,0,0
50,C,0,0,0,0,0,0,0,0,0.250623624353469,S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,799.50078474621,799.50078474621,973.24076496655
