"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"04/21/2025 00:00:00","EDT","CAPITL",61757,1007.3782
"04/21/2025 00:00:00","EDT","CENTRL",61754,1433.329
"04/21/2025 00:00:00","EDT","DUNWOD",61760,531.0233
"04/21/2025 00:00:00","EDT","GENESE",61753,797.4987
"04/21/2025 00:00:00","EDT","HUD VL",61758,810.4204
"04/21/2025 00:00:00","EDT","LONGIL",61762,1606.6425
"04/21/2025 00:00:00","EDT","MHK VL",61756,660.0386
"04/21/2025 00:00:00","EDT","MILLWD",61759,197.3033
"04/21/2025 00:00:00","EDT","N.Y.C.",61761,4156.44
"04/21/2025 00:00:00","EDT","NORTH",61755,563.8313
"04/21/2025 00:00:00","EDT","WEST",61752,1485.6979
"04/21/2025 01:00:00","EDT","CAPITL",61757,987.5805
"04/21/2025 01:00:00","EDT","CENTRL",61754,1407.582
"04/21/2025 01:00:00","EDT","DUNWOD",61760,508.9481
"04/21/2025 01:00:00","EDT","GENESE",61753,780.6079
"04/21/2025 01:00:00","EDT","HUD VL",61758,784.6508
"04/21/2025 01:00:00","EDT","LONGIL",61762,1537.5426
"04/21/2025 01:00:00","EDT","MHK VL",61756,652.3807
"04/21/2025 01:00:00","EDT","MILLWD",61759,188.8197
"04/21/2025 01:00:00","EDT","N.Y.C.",61761,3992.7466
"04/21/2025 01:00:00","EDT","NORTH",61755,567.2496
"04/21/2025 01:00:00","EDT","WEST",61752,1468.077
"04/21/2025 02:00:00","EDT","CAPITL",61757,982.3348
"04/21/2025 02:00:00","EDT","CENTRL",61754,1384.5106
"04/21/2025 02:00:00","EDT","DUNWOD",61760,491.1176
"04/21/2025 02:00:00","EDT","GENESE",61753,771.9145
"04/21/2025 02:00:00","EDT","HUD VL",61758,770.2162
"04/21/2025 02:00:00","EDT","LONGIL",61762,1502.5178
"04/21/2025 02:00:00","EDT","MHK VL",61756,648.969
"04/21/2025 02:00:00","EDT","MILLWD",61759,183.2779
"04/21/2025 02:00:00","EDT","N.Y.C.",61761,3883.3574
"04/21/2025 02:00:00","EDT","NORTH",61755,567.188
"04/21/2025 02:00:00","EDT","WEST",61752,1452.7345
"04/21/2025 03:00:00","EDT","CAPITL",61757,987.2915
"04/21/2025 03:00:00","EDT","CENTRL",61754,1395.8374
"04/21/2025 03:00:00","EDT","DUNWOD",61760,482.7809
"04/21/2025 03:00:00","EDT","GENESE",61753,773.8391
"04/21/2025 03:00:00","EDT","HUD VL",61758,762.68
"04/21/2025 03:00:00","EDT","LONGIL",61762,1490.0211
"04/21/2025 03:00:00","EDT","MHK VL",61756,653.1964
"04/21/2025 03:00:00","EDT","MILLWD",61759,183.1918
"04/21/2025 03:00:00","EDT","N.Y.C.",61761,3816.5579
"04/21/2025 03:00:00","EDT","NORTH",61755,565.1748
"04/21/2025 03:00:00","EDT","WEST",61752,1455.7171
"04/21/2025 04:00:00","EDT","CAPITL",61757,1020.8468
"04/21/2025 04:00:00","EDT","CENTRL",61754,1423.5028
"04/21/2025 04:00:00","EDT","DUNWOD",61760,483.057
"04/21/2025 04:00:00","EDT","GENESE",61753,797.2228
"04/21/2025 04:00:00","EDT","HUD VL",61758,776.1597
"04/21/2025 04:00:00","EDT","LONGIL",61762,1524.0016
"04/21/2025 04:00:00","EDT","MHK VL",61756,677.0604
"04/21/2025 04:00:00","EDT","MILLWD",61759,187.7383
"04/21/2025 04:00:00","EDT","N.Y.C.",61761,3842.8092
"04/21/2025 04:00:00","EDT","NORTH",61755,571.5859
"04/21/2025 04:00:00","EDT","WEST",61752,1479.4714
"04/21/2025 05:00:00","EDT","CAPITL",61757,1094.5276
"04/21/2025 05:00:00","EDT","CENTRL",61754,1523.5392
"04/21/2025 05:00:00","EDT","DUNWOD",61760,512.0871
"04/21/2025 05:00:00","EDT","GENESE",61753,859.509
"04/21/2025 05:00:00","EDT","HUD VL",61758,816.4968
"04/21/2025 05:00:00","EDT","LONGIL",61762,1630.784
"04/21/2025 05:00:00","EDT","MHK VL",61756,727.9023
"04/21/2025 05:00:00","EDT","MILLWD",61759,204.9272
"04/21/2025 05:00:00","EDT","N.Y.C.",61761,4043.7826
"04/21/2025 05:00:00","EDT","NORTH",61755,584.4631
"04/21/2025 05:00:00","EDT","WEST",61752,1540.8536
"04/21/2025 06:00:00","EDT","CAPITL",61757,1173.5027
"04/21/2025 06:00:00","EDT","CENTRL",61754,1660.4667
"04/21/2025 06:00:00","EDT","DUNWOD",61760,575.9696
"04/21/2025 06:00:00","EDT","GENESE",61753,930.3895
"04/21/2025 06:00:00","EDT","HUD VL",61758,873.4073
"04/21/2025 06:00:00","EDT","LONGIL",61762,1743.949
"04/21/2025 06:00:00","EDT","MHK VL",61756,786.0549
"04/21/2025 06:00:00","EDT","MILLWD",61759,236.6
"04/21/2025 06:00:00","EDT","N.Y.C.",61761,4416.0815
"04/21/2025 06:00:00","EDT","NORTH",61755,598.0597
"04/21/2025 06:00:00","EDT","WEST",61752,1624.7296
"04/21/2025 07:00:00","EDT","CAPITL",61757,1175.672
"04/21/2025 07:00:00","EDT","CENTRL",61754,1714.9858
"04/21/2025 07:00:00","EDT","DUNWOD",61760,615.6748
"04/21/2025 07:00:00","EDT","GENESE",61753,949.9852
"04/21/2025 07:00:00","EDT","HUD VL",61758,909.4913
"04/21/2025 07:00:00","EDT","LONGIL",61762,1800.9388
"04/21/2025 07:00:00","EDT","MHK VL",61756,775.2002
"04/21/2025 07:00:00","EDT","MILLWD",61759,248.6503
"04/21/2025 07:00:00","EDT","N.Y.C.",61761,4801.9072
"04/21/2025 07:00:00","EDT","NORTH",61755,597.8183
"04/21/2025 07:00:00","EDT","WEST",61752,1685.9536
"04/21/2025 08:00:00","EDT","CAPITL",61757,1094.1664
"04/21/2025 08:00:00","EDT","CENTRL",61754,1699.1342
"04/21/2025 08:00:00","EDT","DUNWOD",61760,638.0196
"04/21/2025 08:00:00","EDT","GENESE",61753,958.9865
"04/21/2025 08:00:00","EDT","HUD VL",61758,917.5176
"04/21/2025 08:00:00","EDT","LONGIL",61762,1816.9303
"04/21/2025 08:00:00","EDT","MHK VL",61756,724.5387
"04/21/2025 08:00:00","EDT","MILLWD",61759,252.9784
"04/21/2025 08:00:00","EDT","N.Y.C.",61761,5070.9446
"04/21/2025 08:00:00","EDT","NORTH",61755,585.1762
"04/21/2025 08:00:00","EDT","WEST",61752,1743.5605
"04/21/2025 09:00:00","EDT","CAPITL",61757,965.6524
