interface_name,fixed_scale_mw,min_scale_mw,available_limit_count,missing_limit_count,source,note
Dysinger_East,1231.31610688274,500,5,1,median_available_scaled_p32_target_limit,Fixed scale for objective normalization; not a branch rating.
West_Central,4634.5681465926,500,3,3,median_available_scaled_p32_target_limit,Fixed scale for objective normalization; not a branch rating.
Moses_South,1124.88579191751,500,6,0,median_available_scaled_p32_target_limit,Fixed scale for objective normalization; not a branch rating.
Central_East,1392.92634591109,500,5,1,median_available_scaled_p32_target_limit,Fixed scale for objective normalization; not a branch rating.
Total_East_proxy,2905.13643967645,500,5,1,median_available_scaled_p32_target_limit,Fixed scale for objective normalization; not a branch rating.
UPNY_ConEd,2999.1759695476,500,6,0,median_available_scaled_p32_target_limit,Fixed scale for objective normalization; not a branch rating.
Dunwoodie_South,1935.84206726617,500,6,0,median_available_scaled_p32_target_limit,Fixed scale for objective normalization; not a branch rating.
