scenario_id,timestamp,interface_timestamp,interface_name,aggregate_name,zone_boundary,nyiso_interface_name,nyiso_flow_mw,nyiso_limit_mw,nyiso_utilization,scale_factor_gamma,target_flow_mw,target_limit_mw,source,note
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29 18:00,Dysinger_East,Dysinger_East,A-B,DYSINGER EAST,335.69,3200,0.104903125,0.355758660106238,119.424624611063,1138.42771233996,P32_scaled,P-32 Dysinger East mapped to the reduced West-Genesee cut
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29 18:00,West_Central,West_Central,B-C,WEST CENTRAL,-699.97,NaN,NaN,0.355758660106238,-249.020389314563,NaN,P32_scaled,P-32 West Central mapped to the reduced Genesee-Central cut
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29 18:00,Moses_South,Moses_South,D-E,MOSES SOUTH,2005.74,3150,0.636742857142857,0.355758660106238,713.559374921485,1120.63977933465,P32_scaled,P-32 Moses South public interface
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29 18:00,Central_East,Central_East,E-F,CENTRAL EAST - VC,2585.53,3375,0.766082962962963,0.355758660106238,919.824688464481,1200.68547785855,P32_scaled,P-32 Central East - VC mapped to NY-lite Central East proxy
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29 18:00,Total_East_proxy,Total_East_proxy,F-G,TOTAL EAST,2993.23,7550,0.396454304635762,0.355758660106238,1064.86749418979,2685.97788380209,P32_scaled,P-32 Total East mapped to NY-lite F-G proxy
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29 18:00,UPNY_ConEd,UPNY_ConEd,G-H,UPNY CONED,5304.23,7630,0.695180865006553,0.355758660106238,1887.02575769531,2714.43857661059,P32_scaled,P-32 UPNY ConEd mapped to NY-lite G-H proxy
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,2025-07-29 18:00,Dunwoodie_South,Dunwoodie_South,I-J,SPR/DUN-SOUTH,2849.5,4600,0.61945652173913,0.355758660106238,1013.73430197272,1636.48983648869,P32_scaled,P-32 Sprain Brook/Dunwoodie South mapped to NY-lite I-J proxy
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22 18:00,Dysinger_East,Dysinger_East,A-B,DYSINGER EAST,2087.96,3200,0.6524875,0.463503164975757,967.776068342782,1483.21012792242,P32_scaled,P-32 Dysinger East mapped to the reduced West-Genesee cut
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22 18:00,West_Central,West_Central,B-C,WEST CENTRAL,1208.16,9999,0.120828082808281,0.463503164975757,559.985983797111,4634.5681465926,P32_scaled,P-32 West Central mapped to the reduced Genesee-Central cut
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22 18:00,Moses_South,Moses_South,D-E,MOSES SOUTH,-120.41,1600,-0.07525625,0.463503164975757,-55.8104160947309,741.605063961212,P32_scaled,P-32 Moses South public interface
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22 18:00,Central_East,Central_East,E-F,CENTRAL EAST - VC,2162.52,3285,0.658301369863014,0.463503164975757,1002.33486432337,1522.60789694536,P32_scaled,P-32 Central East - VC mapped to NY-lite Central East proxy
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22 18:00,Total_East_proxy,Total_East_proxy,F-G,TOTAL EAST,4068.36,7550,0.538855629139073,0.463503164975757,1885.69773626077,3499.44889556697,P32_scaled,P-32 Total East mapped to NY-lite F-G proxy
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22 18:00,UPNY_ConEd,UPNY_ConEd,G-H,UPNY CONED,4716.32,7090,0.665207334273625,0.463503164975757,2186.02924703846,3286.23743967812,P32_scaled,P-32 UPNY ConEd mapped to NY-lite G-H proxy
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,2025-01-22 18:00,Dunwoodie_South,Dunwoodie_South,I-J,SPR/DUN-SOUTH,2778.42,4600,0.604004347826087,0.463503164975757,1287.80646363194,2132.11455888848,P32_scaled,P-32 Sprain Brook/Dunwoodie South mapped to NY-lite I-J proxy
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,2025-04-20 14:03,Dysinger_East,Dysinger_East,A-B,DYSINGER EAST,350.46,3200,0.10951875,0.985684340068165,345.442933820289,3154.18988821813,P32_scaled,P-32 Dysinger East mapped to the reduced West-Genesee cut; P-32 nearest timestamp offset 3 minutes
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,2025-04-20 14:03,West_Central,West_Central,B-C,WEST CENTRAL,451.24,9999,0.0451285128512851,0.985684340068165,444.780201612359,9855.85771634158,P32_scaled,P-32 West Central mapped to the reduced Genesee-Central cut; P-32 nearest timestamp offset 3 minutes
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,2025-04-20 14:03,Moses_South,Moses_South,D-E,MOSES SOUTH,-18.29,1600,-0.01143125,0.985684340068165,-18.0281665798467,1577.09494410906,P32_scaled,P-32 Moses South public interface; P-32 nearest timestamp offset 3 minutes
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,2025-04-20 14:03,Central_East,Central_East,E-F,CENTRAL EAST - VC,1627.78,2615,0.622478011472275,0.985684340068165,1604.47725507616,2577.56454927825,P32_scaled,P-32 Central East - VC mapped to NY-lite Central East proxy; P-32 nearest timestamp offset 3 minutes
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,2025-04-20 14:03,Total_East_proxy,Total_East_proxy,F-G,TOTAL EAST,3207.33,7550,0.424811920529801,0.985684340068165,3161.41495443083,7441.91676751464,P32_scaled,P-32 Total East mapped to NY-lite F-G proxy; P-32 nearest timestamp offset 3 minutes
