scenario_id,timestamp,external_interface_name,p32_interface_name,ny_boundary_bus,direction_positive,nyiso_flow_mw,nyiso_limit_mw,scale_factor_gamma,target_flow_mw,target_limit_mw,target_q_mvar,equivalent_type,q_mode,v_setpoint,qmin_mvar,qmax_mvar,note
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,NE_NY_NORTHFIELD,SCH - NE - NY,37,import_into_ny,205.68,1400,0.463503164975757,38.1333323888855,259.561772386424,9.557113971978,boundary_generator,limited_q_support,1.03,-500,500,Approximate New England path via New Scotland/Northfield; source=20250101ExternalLimitsFlows_csv.zip
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,NE_NY_PV,SCH - NE - NY,73,import_into_ny,205.68,1400,0.463503164975757,57.1999985833283,389.342658579636,14.335670957967,boundary_generator,limited_q_support,1.03,-500,500,Approximate New England path via Pleasant Valley/Southington; source=20250101ExternalLimitsFlows_csv.zip
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,OH_NY_NIAGARA,SCH - OH - NY,54,import_into_ny,1894.09,2200,0.463503164975757,877.916709748932,1019.70696294667,220.026667677749,boundary_generator,limited_q_support,1.03,-750,750,Approximate Ontario/IESO path at Niagara West; source=20250101ExternalLimitsFlows_csv.zip
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,PJM_NY_WATERCURE,SCH - PJ - NY,66,import_into_ny,1408.15,1700,0.463503164975757,228.438693616214,275.784383160576,57.2521333366672,boundary_generator,limited_q_support,1.03,-750,750,Approximate PJM path via Homer City/Watcure; source=20250101ExternalLimitsFlows_csv.zip
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,PJM_NY_WRHL,SCH - PJ - NY,67,import_into_ny,1408.15,1700,0.463503164975757,97.9022972640919,118.193307068818,24.5366285728574,boundary_generator,limited_q_support,1.03,-500,500,Approximate PJM path via E Tomano/WRHL; source=20250101ExternalLimitsFlows_csv.zip
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,PJM_NY_RAMAPO,SCH - PJ - NY,75,import_into_ny,1408.15,1700,0.463503164975757,163.170495440153,196.988845114697,40.8943809547623,boundary_generator,limited_q_support,1.03,-500,500,Approximate PJM path via Branchburg/Ramapo; source=20250101ExternalLimitsFlows_csv.zip
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,PJM_NY_GOETHALS,SCH - PJ - NY,81,import_into_ny,1408.15,1700,0.463503164975757,163.170495440153,196.988845114697,40.8943809547623,boundary_generator,limited_q_support,1.03,-500,500,Approximate PJM path via Linden/Goethals; source=20250101ExternalLimitsFlows_csv.zip
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,HQ_NY_MOSES,SCH - HQ - NY,48,import_into_ny,-490,490,0.985684340068165,-482.985326633401,482.985326633401,-121.047533070407,boundary_generator,limited_q_support,1.03,-500,500,Mapped to Moses East / northern HVDC proxy; source=20250401ExternalLimitsFlows_csv.zip
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,NE_NY_NORTHFIELD,SCH - NE - NY,37,import_into_ny,241.72,1400,0.985684340068165,95.3038474725107,551.983230438172,23.8853956683908,boundary_generator,limited_q_support,1.03,-500,500,Approximate New England path via New Scotland/Northfield; source=20250401ExternalLimitsFlows_csv.zip
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,NE_NY_PV,SCH - NE - NY,73,import_into_ny,241.72,1400,0.985684340068165,142.955771208766,827.974845657258,35.8280935025862,boundary_generator,limited_q_support,1.03,-500,500,Approximate New England path via Pleasant Valley/Southington; source=20250401ExternalLimitsFlows_csv.zip
