test,passed
NY_only_51_bus_case_with_hard_200_cap,1
all_original_46_NPCC_NY_buses,1
92_branch_records_87_active_35_generators,1
one_connected_network,1
ten_fixed_boundary_ties,1
gross_benchmark_load_preserved,1
boundary_counted_once,1
NY_hardware_and_capability_frozen,1
bounded_NY_AC_audit,1
matched_full_reference_voltage,1
fixed_dispatch_replay,1
no_external_boundary_response_or_thermal_claim,1
