device_key,source_bus,source_gen_row,device_family,canonical_status,source_p_mw,source_q_mvar,source_gs_mw,source_bs_mvar,added_to_benchmark,raw_generator_status,source_pmin_mw,source_pmax_mw,source_qmin_mvar,source_qmax_mvar,policy
PERFORM2019:BUS:651,651,NaN,source_bus_load_and_shunt,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,excluded_preserve_inherited_NPCC_benchmark_injection_and_control_records
PERFORM2019:BUS:858,858,NaN,source_bus_load_and_shunt,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,excluded_preserve_inherited_NPCC_benchmark_injection_and_control_records
PERFORM2019:BUS:902,902,NaN,source_bus_load_and_shunt,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,excluded_preserve_inherited_NPCC_benchmark_injection_and_control_records
PERFORM2019:BUS:897,897,NaN,source_bus_load_and_shunt,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,excluded_preserve_inherited_NPCC_benchmark_injection_and_control_records
PERFORM2019:BUS:1519,1519,NaN,source_bus_load_and_shunt,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,excluded_preserve_inherited_NPCC_benchmark_injection_and_control_records
PERFORM2019:BUS:774,774,NaN,source_bus_load_and_shunt,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,excluded_preserve_inherited_NPCC_benchmark_injection_and_control_records
PERFORM2019:BUS:900,900,NaN,source_bus_load_and_shunt,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,excluded_preserve_inherited_NPCC_benchmark_injection_and_control_records
PERFORM2019:GEN:651:X,651,292,external_boundary_proxy,1,-800.37899,42.484131,0,0,0,1,-800.37899,-800.37899,-9900,9900,excluded_preserve_inherited_NPCC_benchmark_injection_and_control_records
PERFORM2019:GEN:774:C1,774,332,native_generation,0,0,0,0,0,0,0,9.3,23.4,-16.38,17.550001,excluded_preserve_inherited_NPCC_benchmark_injection_and_control_records
PERFORM2019:GEN:900:1,900,357,native_generation,0,0,0,0,0,0,0,759.000015,1011.99999,-556.599998,708.400011,excluded_preserve_inherited_NPCC_benchmark_injection_and_control_records
PERFORM2019:GEN:900:2,900,358,native_generation,0,0,0,0,0,0,0,973.999977,1298.99998,-714.499998,909.300041,excluded_preserve_inherited_NPCC_benchmark_injection_and_control_records
