source_branch_row,device_key,source_from_bus,source_to_bus,raw_circuit_id,source_device_role,canonical_status,raw_status,raw_converted_branch_row,identity_confidence,individual_circuit_identity_resolved,raw_identity_candidates,raw_canonical_parameters_match,raw_parameter_max_abs_difference,source_r_pu,source_x_pu,source_b_pu,source_rate_a_mva,source_rate_b_mva,source_rate_c_mva,source_tap,source_shift_deg,raw_transformer_control_mode,raw_regulated_bus,overhead_thermal_eligible,policy
1068,PERFORM2019:AC:529:651:1,529,651,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1046,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:529:651:1,1,0,1e-05,0.00011,0.00273,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1069,PERFORM2019:AC:529:651:2,529,651,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,1047,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:529:651:2,1,0,1e-05,0.00014,0.0035,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1072,PERFORM2019:AC:530:858:1,530,858,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1048,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:530:858:1,1,0,0.00024,0.00373,0.09633,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1111,PERFORM2019:AC:547:897:1,547,897,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1084,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:547:897:1,1,0,0.00028,0.00424,0.10951,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1112,PERFORM2019:AC:547:897:2,547,897,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,1085,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:547:897:2,1,0,0.00028,0.00432,0.11162,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1113,PERFORM2019:AC:547:897:3,547,897,3,ac_branch_unresolved_line_cable_or_equivalent,1,1,1086,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:547:897:3,1,0,0.00028,0.0043,0.11121,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1114,PERFORM2019:AC:547:900:1,547,900,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1087,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:547:900:1,1,0,0.0006,0.00919,0.23757,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1386,PERFORM2019:AC:651:817:1,651,817,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1325,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:651:817:1;PERFORM2019:AC:651:817:2,1,0,0.00116,0.01776,0.45921,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1387,PERFORM2019:AC:651:817:2,651,817,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,1326,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:651:817:1;PERFORM2019:AC:651:817:2,1,0,0.00116,0.01776,0.45921,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1388,PERFORM2019:AC:651:818:1,651,818,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1327,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:651:818:1,1,0,0.00115,0.01759,0.45472,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
