boundary_key,full_branch_row,ny_bus,neighbor_bus,ny_is_from_terminal,online,p_injection_mw,q_injection_mvar,ny_zone,sign_and_model_policy,input_provenance
NPCC_BENCHMARK:BOUNDARY:25,25,37,29,0,1,260.398687091408,-99.8887507828816,F,fixed_matched_NY_terminal_PQ_positive_into_NY,assumed_NPCC_benchmark_reference_not_observed_interchange
NPCC_BENCHMARK:BOUNDARY:32,32,73,35,0,1,217.79253847785,-312.974420488531,G,fixed_matched_NY_terminal_PQ_positive_into_NY,assumed_NPCC_benchmark_reference_not_observed_interchange
NPCC_BENCHMARK:BOUNDARY:63,63,54,102,1,1,-243.667945263153,-26.0912078104916,A,fixed_matched_NY_terminal_PQ_positive_into_NY,assumed_NPCC_benchmark_reference_not_observed_interchange
NPCC_BENCHMARK:BOUNDARY:64,64,54,103,1,1,-280.407720077528,-29.6879253942055,A,fixed_matched_NY_terminal_PQ_positive_into_NY,assumed_NPCC_benchmark_reference_not_observed_interchange
NPCC_BENCHMARK:BOUNDARY:72,72,60,140,1,1,-0.000578077416993729,8.45386399986513,A,fixed_matched_NY_terminal_PQ_positive_into_NY,assumed_NPCC_benchmark_reference_not_observed_interchange
NPCC_BENCHMARK:BOUNDARY:80,80,66,134,1,1,769.360918182763,36.3087476040885,C,fixed_matched_NY_terminal_PQ_positive_into_NY,assumed_NPCC_benchmark_reference_not_observed_interchange
NPCC_BENCHMARK:BOUNDARY:83,83,67,138,1,1,44.8737055888326,-56.9265725213444,C,fixed_matched_NY_terminal_PQ_positive_into_NY,assumed_NPCC_benchmark_reference_not_observed_interchange
NPCC_BENCHMARK:BOUNDARY:93,93,75,124,1,1,-713.19467799278,68.8829684888394,G,fixed_matched_NY_terminal_PQ_positive_into_NY,assumed_NPCC_benchmark_reference_not_observed_interchange
NPCC_BENCHMARK:BOUNDARY:99,99,81,125,1,1,-1163.08189891107,-83.3608549063347,J,fixed_matched_NY_terminal_PQ_positive_into_NY,assumed_NPCC_benchmark_reference_not_observed_interchange
NPCC_BENCHMARK:BOUNDARY:221,221,48,100,1,1,-316.518938047611,-107.210736688098,D,fixed_matched_NY_terminal_PQ_positive_into_NY,assumed_NPCC_benchmark_reference_not_observed_interchange
