source_branch_row,device_key,source_from_bus,source_to_bus,raw_circuit_id,source_device_role,canonical_status,raw_status,raw_converted_branch_row,identity_confidence,individual_circuit_identity_resolved,raw_identity_candidates,raw_canonical_parameters_match,raw_parameter_max_abs_difference,source_r_pu,source_x_pu,source_b_pu,source_rate_a_mva,source_rate_b_mva,source_rate_c_mva,source_tap,source_shift_deg,raw_transformer_control_mode,raw_regulated_bus,overhead_thermal_eligible,model_branch_row,model_from_bus,model_to_bus,source_base_mva,source_angle_min_deg,source_angle_max_deg,model_angle_min_deg,model_angle_max_deg,angle_policy,source_sha256_lf_normalized,replacement_family,dlr_eligible,thermal_identity_policy
1389,PERFORM2019:AC:651:858:1,651,858,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1328,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:651:858:1,1,0,0.00035,0.00527,0.13611,1216,2454,1804,0,0,0,0,0,247,73,858,100,0,0,-360,360,source_0_0_and_model_minus360_plus360_both_unrestricted,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca,Pleasant_Valley_East_Fishkill_Wood_Millwood,0,electrical_source_identity_only_conductor_weather_and_equipment_type_unqualified
1390,PERFORM2019:AC:651:858:2,651,858,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,1329,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:651:858:2,1,0,0.00035,0.00527,0.13612,1216,2454,1804,0,0,0,0,0,248,73,858,100,0,0,-360,360,source_0_0_and_model_minus360_plus360_both_unrestricted,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca,Pleasant_Valley_East_Fishkill_Wood_Millwood,0,electrical_source_identity_only_conductor_weather_and_equipment_type_unqualified
1391,PERFORM2019:AC:651:902:1,651,902,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1330,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:651:902:1,1,0,0.00081,0.01237,0.31971,1216,2454,1804,0,0,0,0,0,249,73,9002,100,0,0,-360,360,source_0_0_and_model_minus360_plus360_both_unrestricted,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca,Pleasant_Valley_East_Fishkill_Wood_Millwood,0,electrical_source_identity_only_conductor_weather_and_equipment_type_unqualified
1392,PERFORM2019:AC:651:902:2,651,902,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,1331,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:651:902:2,1,0,0.00081,0.01237,0.31972,1216,2454,1804,0,0,0,0,0,250,73,9002,100,0,0,-360,360,source_0_0_and_model_minus360_plus360_both_unrestricted,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca,Pleasant_Valley_East_Fishkill_Wood_Millwood,0,electrical_source_identity_only_conductor_weather_and_equipment_type_unqualified
1689,PERFORM2019:AC:858:902:1,858,902,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1613,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:858:902:1,1,0,0.00047,0.00713,0.18428,1216,2454,1804,0,0,0,0,0,251,858,9002,100,0,0,-360,360,source_0_0_and_model_minus360_plus360_both_unrestricted,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca,Pleasant_Valley_East_Fishkill_Wood_Millwood,0,electrical_source_identity_only_conductor_weather_and_equipment_type_unqualified
1690,PERFORM2019:AC:858:902:2,858,902,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,1614,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:858:902:2,1,0,0.00047,0.00713,0.18426,1216,2454,1804,0,0,0,0,0,252,858,9002,100,0,0,-360,360,source_0_0_and_model_minus360_plus360_both_unrestricted,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca,Pleasant_Valley_East_Fishkill_Wood_Millwood,0,electrical_source_identity_only_conductor_weather_and_equipment_type_unqualified
1734,PERFORM2019:AC:897:902:1,902,897,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1657,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:897:902:1,1,0,0.00037,0.00563,0.14565,1216,2454,1804,0,0,0,0,0,253,9002,74,100,0,0,-360,360,source_0_0_and_model_minus360_plus360_both_unrestricted,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca,Pleasant_Valley_East_Fishkill_Wood_Millwood,0,electrical_source_identity_only_conductor_weather_and_equipment_type_unqualified
1735,PERFORM2019:AC:897:902:2,902,897,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,1658,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:897:902:2,1,0,0.00037,0.00563,0.14542,1216,2454,1804,0,0,0,0,0,254,9002,74,100,0,0,-360,360,source_0_0_and_model_minus360_plus360_both_unrestricted,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca,Pleasant_Valley_East_Fishkill_Wood_Millwood,0,electrical_source_identity_only_conductor_weather_and_equipment_type_unqualified
1577,PERFORM2019:AC:774:1519:1,1519,774,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1505,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:774:1519:1,1,0,0.00018,0.00276,0.07125,1216,2454,1804,0,0,0,0,0,255,76,774,100,0,0,-360,360,source_0_0_and_model_minus360_plus360_both_unrestricted,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca,Ramapo_Ladentown_Buchanan,0,electrical_source_identity_only_conductor_weather_and_equipment_type_unqualified
1576,PERFORM2019:AC:774:900:1,774,900,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1504,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:774:900:1,1,0,0.00035,0.00541,0.13993,1725,1725,2500,0,0,0,0,0,256,774,77,100,0,0,-360,360,source_0_0_and_model_minus360_plus360_both_unrestricted,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca,Ramapo_Ladentown_Buchanan,0,electrical_source_identity_only_conductor_weather_and_equipment_type_unqualified
