source_bus,model_bus,source_bus_name,parent_bus_name,source_base_kv,physical_zone,added_terminal,mapping_basis,operating_policy
651,73,PLEASANT VALLEY,PLEASANT VLY,345,G,0,registered_Pleasant_Valley_name_alias,retain_NPCC_benchmark_devices_source_devices_not_imported
858,858,E. FISHKILL,,345,G,1,new_original_source_terminal,zero_injection_PQ_transit_terminal_source_devices_excluded
902,9002,WOOD STREET,WOOD STREET,345,G,0,exact_name_voltage,retain_NPCC_benchmark_devices_source_devices_not_imported
897,74,MILLWOOD,MILLWOOD,345,H,0,exact_name_voltage,retain_NPCC_benchmark_devices_source_devices_not_imported
1519,76,RAMAPO,RAMAPO,345,G,0,exact_name_voltage,retain_NPCC_benchmark_devices_source_devices_not_imported
774,774,LADENTOWN,,345,G,1,new_original_source_terminal,zero_injection_PQ_transit_terminal_source_devices_excluded
900,77,BUCHANAN,BUCHANAN,345,H,0,exact_name_voltage,retain_NPCC_benchmark_devices_source_devices_not_imported
