solver,opf_start,primary_attempt,solver_success,bounded_audit_pass,independent_PF_pass,hardware_frozen,accepted_benchmark,max_nodal_p_mismatch_mw,max_nodal_q_mismatch_mvar,replay_dispatch_adjustment_mw,replay_voltage_adjustment_pu,full_NPCC_dispatch_L1_movement_mw,solver_error,replay_error
MIPS,0,1,1,1,1,1,1,2.67482459435087e-05,0.000312210557581238,8.20555295604208e-05,3.28593063869675e-09,12460.5447195134,,
MIPS,2,0,1,1,1,1,1,3.12911282094319e-05,0.000368858146543971,9.8917208219973e-05,3.43324813023571e-09,12460.5358141152,,
IPOPT,0,0,1,1,1,1,1,9.49542271087012e-05,0.000385719185715061,0.000239320998616677,1.86180787453694e-08,12460.5499837513,,
IPOPT,2,0,1,1,1,1,1,9.49542313719576e-05,0.000385719192081524,0.00023932064186738,1.86180977301831e-08,12460.5499837573,,
