pooled_rank,timestamp,interface,observed_mw,corrected_operator_mw,signed_error_mw,absolute_error_mw,actual_flow_error_pct,positive_limit_mw,paper_signed_error_pct,opposite_direction,FlowMWH_imputed,fall_dst_ambiguous_hour,sample_count,distinct_timestamp_count
1,2019-01-08 15:00:00,Dysinger East,1471.67833333,1467.33403172,-4.34430161441,4.34430161441,0.295193692535,3150,0.137914336965,False,False,False,12,12
1,2019-01-08 15:00:00,West Central,844.62,875.306104639,30.6861046395,30.6861046395,3.6331255049,9999,-0.306891735568,False,False,False,12,12
1,2019-01-08 15:00:00,Total East,4738.215,4856.35355752,118.138557517,118.138557517,2.49331356886,6800,-1.73733172819,False,False,False,12,12
1,2019-01-08 15:00:00,Moses South,1996.77083333,2078.00510013,81.234266795,81.234266795,4.06828191994,3000,-2.70780889317,False,False,False,12,12
1,2019-01-08 15:00:00,Central East,2725.35583333,2772.48434474,47.1285114109,47.1285114109,1.7292608486,2840,-1.65945462714,False,False,False,12,12
1,2019-01-08 15:00:00,UpNY-Coned,2106.41666667,2153.1527548,46.7360881298,46.7360881298,2.21874849688,5700,-0.819931370698,False,False,False,12,12
1,2019-01-08 15:00:00,Dun/SPR-South,2422.56083333,2419.48333333,-3.07749999999,3.07749999999,0.127034993617,4600,0.0669021739128,False,False,False,12,12
2,2019-10-30 12:00:00,Dysinger East,538.903333333,541.929873072,3.02653973821,3.02653973821,0.561610877315,3150,-0.09608062661,False,False,False,12,12
2,2019-10-30 12:00:00,West Central,-8.435,37.0461324722,45.4811324722,45.4811324722,539.195405716,9999,-0.454856810403,True,False,False,12,12
2,2019-10-30 12:00:00,Total East,3934.20166667,3940.48945111,6.28778444149,6.28778444149,0.159823643378,6800,-0.0924674182572,False,False,False,12,12
2,2019-10-30 12:00:00,Moses South,1805.6025,1715.38211115,-90.2203888533,90.2203888533,4.99669162251,2850,3.16562767906,False,False,False,12,12
2,2019-10-30 12:00:00,Central East,2025.96333333,2131.37632942,105.412996091,105.412996091,5.20310483197,2605,-4.04656414935,False,False,False,12,12
2,2019-10-30 12:00:00,UpNY-Coned,2426.3125,2404.9628921,-21.3496079027,21.3496079027,0.879919956835,5700,0.374554524609,False,False,False,12,12
2,2019-10-30 12:00:00,Dun/SPR-South,3346.33416667,3316.03333333,-30.3008333333,30.3008333333,0.905493349563,4600,0.658713768116,False,False,False,12,12
3,2019-10-10 16:00:00,Dysinger East,636.859166667,582.569919532,-54.2892471344,54.2892471344,8.52452943695,3150,1.723468163,False,False,False,12,12
3,2019-10-10 16:00:00,West Central,175.378333333,150.61744191,-24.7608914238,24.7608914238,14.1185578362,9999,0.247633677605,False,False,False,12,12
3,2019-10-10 16:00:00,Total East,3689.325,3699.72606343,10.4010634338,10.4010634338,0.281923209092,6800,-0.152956815203,False,False,False,12,12
3,2019-10-10 16:00:00,Moses South,1483.5075,1458.71233452,-24.7951654847,24.7951654847,1.67138794275,2850,0.870005806481,False,False,False,12,12
3,2019-10-10 16:00:00,Central East,1942.59583333,1972.49262946,29.8967961237,29.8967961237,1.53901267627,2545,-1.17472676321,False,False,False,12,12
3,2019-10-10 16:00:00,UpNY-Coned,2301.24333333,2190.91494162,-110.328391714,110.328391714,4.79429489773,5700,1.93558581955,False,False,False,12,12
3,2019-10-10 16:00:00,Dun/SPR-South,2917.05583333,2945.64666667,28.5908333334,28.5908333334,0.980126365997,4350,-0.657260536399,False,False,False,12,12
