pooled_rank,timestamp,interfaces,sum_absolute_error_mw,sum_absolute_observed_mw,mean_absolute_error_mw,max_interface_error_pct,defined_point_percentages,opposite_direction_interfaces,imputed_interface_observations,ambiguous_interface_observations,minimum_sample_count,minimum_distinct_timestamp_count,pooled_proportional_error_pct,minimax_rank
1,2019-01-08 15:00:00,7,331.345330107,16305.6175,47.3350471581,4.06828191994,7,0,0,0,12,12,2.03209311212,1
2,2019-10-30 12:00:00,7,302.079282832,14085.7525,43.1541832617,539.195405716,7,1,0,0,12,12,2.14457326885,8292
3,2019-10-10 16:00:00,7,283.062388648,13145.965,40.4374840926,14.1185578362,7,0,0,0,12,12,2.15322639797,402
4,2019-01-11 19:00:00,7,431.799848045,18979.5008333,61.6856925779,7.27639718774,7,0,0,0,12,12,2.27508537678,28
5,2019-09-02 12:00:00,7,383.903262244,16674.7183333,54.8433231777,10.7665238057,7,0,0,0,12,12,2.30230732879,147
6,2019-02-21 16:00:00,7,384.994045554,16311.9858333,54.9991493648,14.0700843861,7,0,0,0,12,12,2.36019114709,397
7,2019-02-01 15:00:00,7,466.795714802,19021.5508333,66.6851021146,5.52908480639,7,0,0,0,12,12,2.45403605044,3
8,2019-10-03 07:00:00,7,401.673028121,15869.8808333,57.3818611602,12.4274514673,7,0,0,0,12,12,2.53103997654,243
9,2019-12-28 20:00:00,7,370.821982246,14475.2125,52.9745688923,7.01337633396,7,0,0,0,12,12,2.56177228656,22
10,2019-08-23 00:00:00,7,423.268636952,16393.0766667,60.466948136,23.4071353861,7,0,0,0,12,12,2.58199632417,1602
11,2019-12-12 13:00:00,7,426.904913247,16464.065,60.9864161781,9.70858919525,7,0,0,0,10,10,2.59294963453,105
12,2019-02-02 08:00:00,7,461.831302964,17731.8408333,65.9759004234,11.11800821,7,0,0,0,12,12,2.60453106536,172
13,2019-02-21 17:00:00,7,413.181029074,15785.1375,59.0258612962,12.2164019411,7,0,0,0,12,12,2.61753202387,223
14,2019-02-05 18:00:00,7,407.548982834,15423.3275,58.2212832621,5.99454226526,7,0,0,0,12,12,2.64241930177,4
15,2019-08-23 17:00:00,7,433.629909611,15974.7666667,61.9471299444,6.90751868799,7,0,0,0,12,12,2.71446787711,17
16,2019-08-06 01:00:00,7,449.041271823,16198.5491667,64.1487531176,6.9106287318,7,0,0,0,12,12,2.77210796599,18
17,2019-07-29 01:00:00,7,457.911376468,16464.9425,65.415910924,22.3782540417,7,0,0,0,12,12,2.78112952091,1467
18,2019-11-20 23:00:00,7,377.89865899,13532.4975,53.9855227128,48.1425383953,7,0,0,0,12,12,2.79252709257,4054
19,2019-02-05 17:00:00,7,431.891642905,15435.9216667,61.6988061293,43.4924545479,7,0,0,0,12,12,2.79796472301,3699
20,2019-10-10 12:00:00,7,357.401973748,12599.53,51.0574248212,1292.79691553,7,0,0,0,12,12,2.83662941196,8546
21,2019-07-15 00:00:00,7,511.035796322,18014.73,73.0051137603,10.1000273966,7,0,0,0,12,12,2.83676633689,122
22,2019-02-03 08:00:00,7,443.539472294,15615.1358333,63.3627817563,9.98311658629,7,0,0,0,12,12,2.84044581506,116
23,2019-12-28 08:00:00,7,386.884090476,13482.5658333,55.2691557822,35.3324436487,7,0,0,0,12,12,2.86951382443,2977
24,2019-02-12 20:00:00,7,484.731262089,16822.0666667,69.2473231556,30.499023953,7,0,0,0,12,12,2.88152027747,2476
25,2019-02-04 21:00:00,7,521.018391257,17997.275,74.431198751,13.2858333117,7,0,0,0,12,12,2.89498488664,325
26,2019-06-08 18:00:00,7,420.451634234,14315.3266667,60.0645191762,21.3985537637,7,0,0,0,12,12,2.93707327834,1325
27,2019-02-05 07:00:00,7,473.738964444,16052.0675,67.6769949206,12.6545527778,7,0,0,0,12,12,2.95126446761,259
28,2019-10-07 13:00:00,7,412.514104719,13900.4908333,58.9305863885,17.1370676135,7,0,0,0,12,12,2.96762258013,745
29,2019-03-02 06:00:00,7,394.065690236,12834.04,56.2950986052,7.30059430485,7,0,0,0,12,12,3.07047266672,29
