iteration,max_temperature_fixed_point_error_c,max_equilibrium_temperature_c,max_heat_balance_residual_w_m,max_series_ampacity_fraction,bounded_AC_pass
1,44.205650735128,48.3114748597163,148.359653512917,0.654743823498956,1
2,22.1023898026149,48.7724182387017,73.2512615819281,0.662812089623403,1
3,11.0509832461373,48.9927347679202,36.4219702301204,0.666626053229162,1
4,5.52538409759425,49.1044764746029,18.1634629616579,0.668550183494736,1
5,2.76263804483399,49.1605488248289,9.07021293457941,0.669513142460699,1
6,1.38129205650523,49.1885337684023,4.53224193145967,0.669993101524565,1
7,0.690632602420461,49.2024627272457,2.26539177825854,0.670231833195748,1
8,0.345309626418945,49.2093861926164,1.13250454015601,0.670350456918921,1
9,0.172651497159379,49.212825215524,0.566199615625608,0.670409370019911,1
10,0.0863241017486516,49.2145328731005,0.283084211489492,0.670438621122582,1
11,0.0431612331630866,49.2153806743659,0.141536993439308,0.670453142839184,1
12,0.0215802105938856,49.2158015476387,0.0707666154835729,0.670460351698136,1
13,0.0107899037357129,49.2160104728144,0.0353825378070827,0.670463930203157,1
14,0.00539485180057753,49.216114182985,0.0176909276078168,0.670465706559355,1
15,0.00269737622129185,49.2161656640476,0.00884530457482402,0.670466588328997,1
