scenario_id,nyiso_zone_letter,nyiso_zone_name,target_load_mw,target_load_share,source,status,note,timestamp,nyiso_load_mw
S2_2025_WINTER_PEAK_PUBLIC,A,WEST,930.721354169112,NaN,P58C_scaled,ready,NYISO load 2008.02 MW scaled by gamma 0.46350316,2025-01-22 18:00,2008.0151
S2_2025_WINTER_PEAK_PUBLIC,B,GENESE,693.312159348906,NaN,P58C_scaled,ready,NYISO load 1495.81 MW scaled by gamma 0.46350316,2025-01-22 18:00,1495.8089
S2_2025_WINTER_PEAK_PUBLIC,C,CENTRL,1131.40543191626,NaN,P58C_scaled,ready,NYISO load 2440.99 MW scaled by gamma 0.46350316,2025-01-22 18:00,2440.9875
S2_2025_WINTER_PEAK_PUBLIC,D,NORTH,257.652139346724,NaN,P58C_scaled,ready,NYISO load 555.88 MW scaled by gamma 0.46350316,2025-01-22 18:00,555.88
S2_2025_WINTER_PEAK_PUBLIC,E,MHK VL,620.716578688692,NaN,P58C_scaled,ready,NYISO load 1339.19 MW scaled by gamma 0.46350316,2025-01-22 18:00,1339.1852
S2_2025_WINTER_PEAK_PUBLIC,F,CAPITL,871.04166000348,NaN,P58C_scaled,ready,NYISO load 1879.26 MW scaled by gamma 0.46350316,2025-01-22 18:00,1879.2572
S2_2025_WINTER_PEAK_PUBLIC,G,HUD VL,763.133766267373,NaN,P58C_scaled,ready,NYISO load 1646.45 MW scaled by gamma 0.46350316,2025-01-22 18:00,1646.4478
S2_2025_WINTER_PEAK_PUBLIC,H,MILLWD,252.133160811041,NaN,P58C_scaled,ready,NYISO load 543.973 MW scaled by gamma 0.46350316,2025-01-22 18:00,543.9729
S2_2025_WINTER_PEAK_PUBLIC,I,DUNWOD,450.569665360907,NaN,P58C_scaled,ready,NYISO load 972.096 MW scaled by gamma 0.46350316,2025-01-22 18:00,972.0962
S2_2025_WINTER_PEAK_PUBLIC,J,N.Y.C.,3459.55499275624,NaN,P58C_scaled,ready,NYISO load 7463.93 MW scaled by gamma 0.46350316,2025-01-22 18:00,7463.9296
S2_2025_WINTER_PEAK_PUBLIC,K,LONGIL,1471.97889003126,NaN,P58C_scaled,ready,NYISO load 3175.77 MW scaled by gamma 0.46350316,2025-01-22 18:00,3175.7688
