variant_id,scenario_id,attempt,solver,opf_start,mips_cost_multiplier,prior_weight,interface_scale_mw,electrical_baseline_qualified,hardware_frozen,bounded_solver_success,bounded_audit_passed,fresh_pf_success,fresh_pf_audit_passed,bounded_P_residual_mw,bounded_Q_residual_mvar,fresh_pf_P_adjustment_mw,fresh_pf_VM_adjustment_pu,proxy_MAE_mw,proxy_max_error_mw,solver_error,replay_error
nominal,S1_2025_SUMMER_PEAK_PUBLIC,1,MIPS,0,1,0.001,500,1,1,1,1,1,1,7.58823045998724e-06,1.96235132534639e-05,8.60391304513541e-06,1.4719458985013e-10,2.0170246104737,3.20732563873162,,
impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,1,MIPS,0,1,0.001,500,1,1,1,1,1,1,2.67621899752157e-07,4.71512407784758e-07,1.96143957964523e-07,1.54209978120434e-12,1.97813575543102,3.2065907510846,,
impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,1,MIPS,0,1,0.001,500,1,1,1,1,1,1,1.65186048661781e-06,3.92538277083077e-06,2.01626960460999e-06,3.50095508139248e-11,2.0510736659969,3.20328864186695,,
charging_zero,S1_2025_SUMMER_PEAK_PUBLIC,1,MIPS,0,1,0.001,500,1,1,1,1,1,1,2.0430093172763e-08,4.52544099971419e-08,2.1127618765604e-08,4.29878355134861e-13,2.02465161319517,3.20876015386216,,
charging_150,S1_2025_SUMMER_PEAK_PUBLIC,1,MIPS,0,1,0.001,500,1,1,1,1,1,1,8.40244257460654e-06,1.95028322877988e-05,9.02325427887263e-06,1.53933754631908e-10,2.00871505501362,3.20667056323691,,
RCC_announced_paths_off,S1_2025_SUMMER_PEAK_PUBLIC,1,MIPS,0,1,0.001,500,1,1,1,1,1,1,6.17050443452172e-06,1.27427583720419e-05,6.14878103988303e-06,1.19288134925455e-10,2.01464388810355,3.19673279544963,,
Astoria_retirement_not_assumed,S1_2025_SUMMER_PEAK_PUBLIC,1,MIPS,0,1,0.001,500,1,1,1,1,1,1,7.46596612088979e-06,1.31302753061391e-05,6.70371827027338e-06,1.46458956074014e-10,1.97000366603461,3.1401983029391,,
South_Fork_zero_available,S1_2025_SUMMER_PEAK_PUBLIC,1,MIPS,0,1,0.001,500,0,1,0,0,0,0,2.99278739676206e-11,6.56918963670705e-11,0,0,2.01743178007226,3.20051104796721,,bounded_audit_failed
South_Fork_zero_available,S1_2025_SUMMER_PEAK_PUBLIC,2,IPOPT,0,1,0.001,500,1,1,1,1,1,1,1.88720150617883e-11,5.98300555200352e-11,8.5265128291212e-14,2.22044604925031e-16,2.0151022283856,3.2063866410565,,
